DATE,CPILFESL
2004-01-01,194.600
2004-02-01,194.9
2004-03-01,195.5
2004-04-01,195.9
2004-05-01,196.2
2004-06-01,196.600
2004-07-01,196.8
2004-08-01,196.9
2004-09-01,197.5
2004-10-01,197.9
2004-11-01,198.3
2004-12-01,198.600
2005-01-01,199.0
2005-02-01,199.400
2005-03-01,200.100
2005-04-01,200.200
2005-05-01,200.5
2005-06-01,200.6
2005-07-01,200.9
2005-08-01,201.100
2005-09-01,201.300
2005-10-01,202.0
2005-11-01,202.5
2005-12-01,202.800
2006-01-01,203.2
2006-02-01,203.6
2006-03-01,204.300
2006-04-01,204.800
2006-05-01,205.400
2006-06-01,205.900
2006-07-01,206.300
2006-08-01,206.800
2006-09-01,207.200
2006-10-01,207.6
2006-11-01,207.800
2006-12-01,208.1
2007-01-01,208.600
2007-02-01,209.135
2007-03-01,209.418
2007-04-01,209.747
2007-05-01,210.058
2007-06-01,210.392
2007-07-01,210.773
2007-08-01,211.119
2007-09-01,211.554
2007-10-01,212.077
2007-11-01,212.660
2007-12-01,213.168
2008-01-01,213.771
2008-02-01,213.939
2008-03-01,214.420
2008-04-01,214.560
2008-05-01,214.936
2008-06-01,215.424
2008-07-01,215.965
2008-08-01,216.393
2008-09-01,216.713
2008-10-01,216.788
2008-11-01,216.947
2008-12-01,216.925
2009-01-01,217.346
2009-02-01,217.792
2009-03-01,218.253
2009-04-01,218.706
2009-05-01,218.904
2009-06-01,219.112
2009-07-01,219.263
2009-08-01,219.496
2009-09-01,219.920
2009-10-01,220.501
2009-11-01,220.666
2009-12-01,220.881
2010-01-01,220.633
2010-02-01,220.731
2010-03-01,220.783
2010-04-01,220.822
2010-05-01,220.962
2010-06-01,221.194
2010-07-01,221.363
2010-08-01,221.509
2010-09-01,221.711
2010-10-01,221.830
2010-11-01,222.149
2010-12-01,222.343
2011-01-01,222.803
2011-02-01,223.213
2011-03-01,223.454
2011-04-01,223.727
2011-05-01,224.175
2011-06-01,224.697
2011-07-01,225.218
2011-08-01,225.862
2011-09-01,226.118
2011-10-01,226.506
2011-11-01,226.899
2011-12-01,227.405
2012-01-01,227.877
2012-02-01,228.034
2012-03-01,228.478
2012-04-01,228.905
2012-05-01,229.224
2012-06-01,229.623
2012-07-01,229.970
2012-08-01,230.233
2012-09-01,230.659
2012-10-01,231.024
2012-11-01,231.330
2012-12-01,231.725
2013-01-01,232.229
2013-02-01,232.569
2013-03-01,232.794
2013-04-01,232.832
2013-05-01,232.996
2013-06-01,233.350
2013-07-01,233.880
2013-08-01,234.336
2013-09-01,234.700
2013-10-01,234.921
2013-11-01,235.359
2013-12-01,235.759
2014-01-01,235.961
2014-02-01,236.185
2014-03-01,236.625
2014-04-01,237.072
2014-05-01,237.529
2014-06-01,237.837
2014-07-01,238.195
2014-08-01,238.405
2014-09-01,238.786
2014-10-01,239.191
2014-11-01,239.458
2014-12-01,239.584
2015-01-01,239.811
2015-02-01,240.172
2015-03-01,240.755
2015-04-01,241.346
2015-05-01,241.688
2015-06-01,242.064
2015-07-01,242.565
2015-08-01,242.817
2015-09-01,243.316
2015-10-01,243.768
2015-11-01,244.241
2015-12-01,244.547
2016-01-01,244.955
2016-02-01,245.510
2016-03-01,245.913
2016-04-01,246.551
2016-05-01,247.137
2016-06-01,247.540
2016-07-01,247.829
2016-08-01,248.423
2016-09-01,248.842
2016-10-01,249.142
2016-11-01,249.481
2016-12-01,249.920
2017-01-01,250.467
2017-02-01,250.998
2017-03-01,250.944
2017-04-01,251.227
2017-05-01,251.430
2017-06-01,251.746
2017-07-01,251.985
2017-08-01,252.535
2017-09-01,252.812
2017-10-01,253.526
2017-11-01,253.816
2017-12-01,254.344
2018-01-01,255.072
2018-02-01,255.568
2018-03-01,256.128
2018-04-01,256.603
2018-05-01,257.151
2018-06-01,257.449
2018-07-01,257.848
2018-08-01,258.028
2018-09-01,258.505
2018-10-01,258.997
2018-11-01,259.455
2018-12-01,259.934
2019-01-01,260.534
2019-02-01,260.885
2019-03-01,261.382
2019-04-01,261.958
2019-05-01,262.321
2019-06-01,262.945
2019-07-01,263.491
2019-08-01,264.135
2019-09-01,264.588
2019-10-01,265.019
2019-11-01,265.461
2019-12-01,265.742
2020-01-01,266.418
2020-02-01,267.083
2020-03-01,266.916
2020-04-01,265.771
2020-05-01,265.606
2020-06-01,266.088
2020-07-01,267.552
2020-08-01,268.662
2020-09-01,269.152
2020-10-01,269.332
2020-11-01,269.816
2020-12-01,269.984
2021-01-01,270.114
2021-02-01,270.522
2021-03-01,271.347
2021-04-01,273.669
2021-05-01,275.715
2021-06-01,277.922
2021-07-01,278.794
2021-08-01,279.306
2021-09-01,280.017
2021-10-01,281.705
2021-11-01,283.179
2021-12-01,284.770
2022-01-01,286.431
2022-02-01,287.878
2022-03-01,288.811
