DATE,A939RX0Q048SBEA
1/1/2004,48633
4/1/2004,48905
7/1/2004,49243
10/1/2004,49623
1/1/2005,50068
4/1/2005,50204
7/1/2005,50470
10/1/2005,50629
1/1/2006,51200
4/1/2006,51210
7/1/2006,51155
10/1/2006,51455
1/1/2007,51492
4/1/2007,51705
7/1/2007,51882
10/1/2007,52066
1/1/2008,51740
4/1/2008,51923
7/1/2008,51523
10/1/2008,50281
1/1/2009,49594
4/1/2009,49408
7/1/2009,49473
10/1/2009,49886
1/1/2010,50036
4/1/2010,50424
7/1/2010,50706
10/1/2010,50859
1/1/2011,50646
4/1/2011,50897
7/1/2011,50769
10/1/2011,51232
1/1/2012,51559
4/1/2012,51702
7/1/2012,51684
10/1/2012,51634
1/1/2013,51998
4/1/2013,51982
7/1/2013,52284
10/1/2013,52544
1/1/2014,52266
4/1/2014,52840
7/1/2014,53340
10/1/2014,53464
1/1/2015,53806
4/1/2015,54021
7/1/2015,54081
10/1/2015,54045
1/1/2016,54267
4/1/2016,54334
7/1/2016,54549
10/1/2016,54714
1/1/2017,54889
4/1/2017,55111
7/1/2017,55408
10/1/2017,55835
1/1/2018,56192
4/1/2018,56586
7/1/2018,56770
10/1/2018,56813
1/1/2019,57093
4/1/2019,57480
7/1/2019,57789
10/1/2019,57977
1/1/2020,57165
4/1/2020,52031
7/1/2020,55933
10/1/2020,56533
1/1/2021,57405
4/1/2021,58335
7/1/2021,58619
10/1/2021,59553
1/1/2022,59297
