Month,Economy: (United States),cpi_rate
200402,50,0.001541624
200403,47,0.003078502
200404,60,0.002046036
200405,44,0.001531394
200406,32,0.002038736
200407,31,0.001017294
200408,30,0.00050813
200409,42,0.003047232
200410,46,0.002025316
200411,51,0.002021223
200412,40,0.001512859
200501,38,0.002014099
200502,39,0.00201005
200503,39,0.003510532
200504,44,0.00049975
200505,41,0.001498501
200506,32,0.000498753
200507,23,0.001495513
200508,30,0.00099552
200509,37,0.00099453
200510,36,0.003477397
200511,40,0.002475248
200512,32,0.001481481
200601,30,0.001972387
200602,37,0.001968504
200603,35,0.003438114
200604,40,0.002447381
200605,35,0.002929688
200606,25,0.002434275
200607,21,0.001942691
200608,22,0.002423655
200609,28,0.001934236
200610,30,0.001930502
200611,31,0.000963391
200612,26,0.001443696
200701,26,0.002402691
200702,29,0.002564717
200703,30,0.001353193
200704,30,0.001571021
200705,31,0.001482739
200706,21,0.001590037
200707,20,0.001810905
200708,23,0.001641576
200709,33,0.002060449
200710,36,0.002472182
200711,40,0.002749002
200712,31,0.00238879
200801,48,0.002828755
200802,50,0.000785888
200803,55,0.002248304
200804,63,0.000652924
200805,61,0.001752424
200806,42,0.002270443
200807,36,0.002511327
200808,32,0.001981803
200809,80,0.001478791
200810,100,0.00034608
200811,82,0.000733435
200812,68,0.000101407
200901,66,0.001940763
200902,92,0.002052028
200903,83,0.002116699
200904,65,0.002075573
200905,61,0.000905325
200906,45,0.000950188
200907,44,0.000689145
200908,38,0.001062651
200909,48,0.001931698
200910,53,0.00264187
200911,55,0.000748296
200912,41,0.000974323
201001,40,0.001122777
201002,53,0.000444177
201003,51,0.000235581
201004,56,0.000176644
201005,52,0.000633995
201006,36,0.001049954
201007,32,0.000764035
201008,39,0.00065955
201009,43,0.000911927
201010,46,0.000536735
201011,48,0.001438038
201012,37,0.000873288
201101,29,0.002068876
201102,35,0.001840191
201103,36,0.001079686
201104,37,0.001221728
201105,30,0.00200244
201106,26,0.002328538
201107,26,0.002318678
201108,30,0.002859452
201109,33,0.001133435
201110,34,0.001715918
201111,35,0.001735053
201112,28,0.002230067
201201,27,0.002075592
201202,30,0.000688968
201203,27,0.001947078
201204,31,0.001868889
201205,28,0.001393591
201206,24,0.001740655
201207,22,0.001511173
201208,23,0.001143627
201209,31,0.001850299
201210,33,0.001582423
201211,32,0.001324538
201212,26,0.001707517
201301,24,0.002174992
201302,30,0.001464072
201303,27,0.000967455
201304,29,0.000163234
201305,26,0.000704371
201306,19,0.001519339
201307,19,0.002271266
201308,19,0.001949718
201309,27,0.001553325
201310,30,0.000941628
201311,27,0.001864457
201312,24,0.001699531
201401,23,0.000856807
201402,28,0.000949309
201403,26,0.001862946
201404,28,0.001889065
201405,26,0.001927684
201406,20,0.001296684
201407,17,0.001505233
201408,19,0.000881631
201409,28,0.001598121
201410,29,0.001696079
201411,28,0.001116263
201412,26,0.000526188
201501,28,0.000947476
201502,28,0.001505352
201503,28,0.002427427
201504,30,0.002454778
201505,27,0.001417053
201506,22,0.001555725
201507,23,0.002069701
201508,26,0.001038897
201509,32,0.002055046
201510,30,0.001857667
201511,29,0.00194037
201512,26,0.001252861
201601,28,0.001668391
201602,31,0.002265722
201603,27,0.001641481
201604,29,0.002594413
201605,27,0.00237679
201606,22,0.001630674
201607,17,0.001167488
201608,19,0.002396814
201609,25,0.001686639
201610,25,0.001205584
201611,27,0.00136067
201612,22,0.001759653
201701,22,0.0021887
201702,25,0.00212004
201703,25,0.000215141
201704,24,0.001127742
201705,22,0.000808034
201706,17,0.001256811
201707,14,0.00094937
201708,17,0.00218267
201709,22,0.001096878
201710,24,0.002824233
201711,23,0.001143867
201712,20,0.002080247
201801,21,0.002862265
201802,25,0.001944549
201803,22,0.002191198
201804,24,0.001854541
201805,22,0.002135595
201806,17,0.001158852
201807,16,0.001549822
201808,18,0.000698086
201809,24,0.001848637
201810,26,0.001903251
201811,23,0.00176836
201812,22,0.001846178
201901,22,0.002308278
201902,24,0.001347233
201903,23,0.001905054
201904,24,0.002203671
201905,22,0.001385718
201906,16,0.002378765
201907,16,0.00207648
201908,20,0.002444106
201909,23,0.001715032
201910,23,0.001628948
201911,22,0.001667805
201912,20,0.001058536
202001,20,0.002543821
202002,26,0.002496078
202003,54,0.000625274
202004,68,0.004289739
202005,40,0.000620835
202006,22,0.001814718
202007,20,0.005501939
202008,20,0.004148726
202009,29,0.001823853
202010,24,0.000668767
202011,20,0.001797039
202012,20,0.000622647
202101,23,0.00048151
202102,22,0.001510473
202103,29,0.00304966
202104,22,0.008557309
202105,20,0.007476185
202106,15,0.008004642
202107,15,0.003137571
202108,15,0.001836481
202109,19,0.002545595
202110,21,0.006028205
202111,20,0.005232424
202112,18,0.005618354
202201,18,0.005832777
202202,22,0.005051827
202203,23,0.003240956
