Month,Inflation: (United States),cpi_rate
200402,38,0.001541624
200403,45,0.003078502
200404,48,0.002046036
200405,39,0.001531394
200406,38,0.002038736
200407,32,0.001017294
200408,30,0.00050813
200409,31,0.003047232
200410,38,0.002025316
200411,42,0.002021223
200412,35,0.001512859
200501,34,0.002014099
200502,39,0.00201005
200503,38,0.003510532
200504,41,0.00049975
200505,36,0.001498501
200506,32,0.000498753
200507,28,0.001495513
200508,29,0.00099552
200509,34,0.00099453
200510,39,0.003477397
200511,39,0.002475248
200512,31,0.001481481
200601,33,0.001972387
200602,35,0.001968504
200603,35,0.003438114
200604,41,0.002447381
200605,39,0.002929688
200606,34,0.002434275
200607,27,0.001942691
200608,27,0.002423655
200609,30,0.001934236
200610,32,0.001930502
200611,33,0.000963391
200612,31,0.001443696
200701,28,0.002402691
200702,35,0.002564717
200703,31,0.001353193
200704,34,0.001571021
200705,33,0.001482739
200706,27,0.001590037
200707,27,0.001810905
200708,27,0.001641576
200709,32,0.002060449
200710,36,0.002472182
200711,39,0.002749002
200712,34,0.00238879
200801,40,0.002828755
200802,42,0.000785888
200803,44,0.002248304
200804,48,0.000652924
200805,41,0.001752424
200806,43,0.002270443
200807,39,0.002511327
200808,34,0.001981803
200809,39,0.001478791
200810,47,0.00034608
200811,40,0.000733435
200812,35,0.000101407
200901,34,0.001940763
200902,40,0.002052028
200903,43,0.002116699
200904,39,0.002075573
200905,35,0.000905325
200906,35,0.000950188
200907,28,0.000689145
200908,28,0.001062651
200909,33,0.001931698
200910,35,0.00264187
200911,36,0.000748296
200912,32,0.000974323
201001,33,0.001122777
201002,36,0.000444177
201003,36,0.000235581
201004,36,0.000176644
201005,34,0.000633995
201006,27,0.001049954
201007,24,0.000764035
201008,25,0.00065955
201009,28,0.000911927
201010,34,0.000536735
201011,40,0.001438038
201012,31,0.000873288
201101,29,0.002068876
201102,35,0.001840191
201103,32,0.001079686
201104,39,0.001221728
201105,30,0.00200244
201106,25,0.002328538
201107,25,0.002318678
201108,25,0.002859452
201109,27,0.001133435
201110,28,0.001715918
201111,28,0.001735053
201112,25,0.002230067
201201,25,0.002075592
201202,28,0.000688968
201203,28,0.001947078
201204,29,0.001868889
201205,26,0.001393591
201206,22,0.001740655
201207,20,0.001511173
201208,20,0.001143627
201209,28,0.001850299
201210,31,0.001582423
201211,27,0.001324538
201212,24,0.001707517
201301,26,0.002174992
201302,32,0.001464072
201303,30,0.000967455
201304,35,0.000163234
201305,29,0.000704371
201306,21,0.001519339
201307,20,0.002271266
201308,20,0.001949718
201309,26,0.001553325
201310,33,0.000941628
201311,32,0.001864457
201312,31,0.001699531
201401,29,0.000856807
201402,33,0.000949309
201403,34,0.001862946
201404,38,0.001889065
201405,36,0.001927684
201406,24,0.001296684
201407,23,0.001505233
201408,22,0.000881631
201409,30,0.001598121
201410,36,0.001696079
201411,34,0.001116263
201412,31,0.000526188
201501,34,0.000947476
201502,35,0.001505352
201503,36,0.002427427
201504,39,0.002454778
201505,36,0.001417053
201506,24,0.001555725
201507,24,0.002069701
201508,23,0.001038897
201509,34,0.002055046
201510,36,0.001857667
201511,37,0.00194037
201512,37,0.001252861
201601,31,0.001668391
201602,37,0.002265722
201603,36,0.001641481
201604,38,0.002594413
201605,33,0.00237679
201606,22,0.001630674
201607,20,0.001167488
201608,20,0.002396814
201609,29,0.001686639
201610,33,0.001205584
201611,36,0.00136067
201612,34,0.001759653
201701,31,0.0021887
201702,36,0.00212004
201703,38,0.000215141
201704,36,0.001127742
201705,34,0.000808034
201706,24,0.001256811
201707,23,0.00094937
201708,23,0.00218267
201709,30,0.001096878
201710,36,0.002824233
201711,37,0.001143867
201712,35,0.002080247
201801,34,0.002862265
201802,44,0.001944549
201803,37,0.002191198
201804,39,0.001854541
201805,37,0.002135595
201806,27,0.001158852
201807,29,0.001549822
201808,30,0.000698086
201809,36,0.001848637
201810,39,0.001903251
201811,38,0.00176836
201812,35,0.001846178
201901,34,0.002308278
201902,39,0.001347233
201903,39,0.001905054
201904,41,0.002203671
201905,38,0.001385718
201906,28,0.002378765
201907,29,0.00207648
201908,27,0.002444106
201909,33,0.001715032
201910,37,0.001628948
201911,38,0.001667805
201912,35,0.001058536
202001,33,0.002543821
202002,39,0.002496078
202003,36,0.000625274
202004,40,0.004289739
202005,37,0.000620835
202006,30,0.001814718
202007,31,0.005501939
202008,32,0.004148726
202009,37,0.001823853
202010,36,0.000668767
202011,32,0.001797039
202012,37,0.000622647
202101,41,0.00048151
202102,52,0.001510473
202103,51,0.00304966
202104,48,0.008557309
202105,73,0.007476185
202106,58,0.008004642
202107,49,0.003137571
202108,42,0.001836481
202109,45,0.002545595
202110,64,0.006028205
202111,84,0.005232424
202112,73,0.005618354
202201,78,0.005832777
202202,89,0.005051827
202203,89,0.003240956
