Month,Economy: (United States),cpi_rate
2004-02,50,0.002147075
2004-03,47,0.002142475
2004-04,60,0.001603421
2004-05,44,0.004268943
2004-06,32,0.003719447
2004-07,31,0.001058761
2004-08,30,0.000528821
2004-09,42,0.003171247
2004-10,46,0.005268704
2004-11,51,0.004716981
2004-12,40,0
2005-01,38,-0.000521648
2005-02,39,0.004175365
2005-03,39,0.003638254
2005-04,44,0.003107198
2005-05,41,-0.000516262
2005-06,32,0.000516529
2005-07,23,0.006195147
2005-08,30,0.006157004
2005-09,37,0.013768485
2005-10,36,0.001509054
2005-11,40,-0.005022602
2005-12,32,0
2006-01,30,0.006057547
2006-02,37,0.000501756
2006-03,35,0.001504514
2006-04,40,0.005007511
2006-05,35,0.002989537
2006-06,25,0.002483855
2006-07,21,0.005450942
2006-08,22,0.004435683
2006-09,28,-0.004906771
2006-10,30,-0.00443787
2006-11,31,0.000495295
2006-12,26,0.005445545
2007-01,26,0.001659281
2007-02,29,0.003878351
2007-03,30,0.005200121
2007-04,30,0.003000662
2007-05,31,0.004132994
2007-06,21,0.002316752
2007-07,20,0.001780596
2007-08,23,0.000308281
2007-09,33,0.004237553
2007-10,36,0.003083238
2007-11,40,0.007858884
2007-12,31,0.002898015
2008-01,48,0.003447705
2008-02,50,0.002417827
2008-03,55,0.003578028
2008-04,63,0.002314381
2008-05,61,0.005917492
2008-06,42,0.010478235
2008-07,36,0.007141445
2008-08,32,-0.001488476
2008-09,80,0.000855092
2008-10,100,-0.008598437
2008-11,82,-0.017705477
2008-12,68,-0.008233522
2009-01,66,0.002530771
2009-02,92,0.003642661
2009-03,83,-0.000987283
2009-04,65,0.001007083
2009-05,61,0.001471494
2009-06,45,0.008299612
2009-07,44,-0.000297965
2009-08,38,0.003348453
2009-09,48,0.001930887
2009-10,53,0.003001932
2009-11,55,0.003348591
2009-12,41,0.000520176
2010-01,40,0.000648732
2010-02,53,-0.000951777
2010-03,51,0.000331368
2010-04,56,0.000230041
2010-05,52,-0.000519772
2010-06,36,-0.000418795
