Category: All categories

Month,annual inflation rate: (United States)
2004-01,44
2004-02,26
2004-03,100
2004-04,42
2004-05,15
2004-06,0
2004-07,24
2004-08,15
2004-09,35
2004-10,14
2004-11,22
2004-12,33
2005-01,52
2005-02,30
2005-03,26
2005-04,95
2005-05,21
2005-06,22
2005-07,37
2005-08,55
2005-09,42
2005-10,22
2005-11,54
2005-12,25
2006-01,49
2006-02,74
2006-03,28
2006-04,44
2006-05,31
2006-06,15
2006-07,43
2006-08,36
2006-09,49
2006-10,30
2006-11,47
2006-12,44
2007-01,36
2007-02,25
2007-03,40
2007-04,43
2007-05,30
2007-06,27
2007-07,44
2007-08,40
2007-09,38
2007-10,36
2007-11,32
2007-12,33
2008-01,33
2008-02,32
2008-03,42
2008-04,48
2008-05,18
2008-06,31
2008-07,20
2008-08,33
2008-09,38
2008-10,26
2008-11,34
2008-12,20
2009-01,27
2009-02,32
2009-03,33
2009-04,35
2009-05,20
2009-06,20
2009-07,31
2009-08,17
2009-09,31
2009-10,33
2009-11,31
2009-12,15
2010-01,31
2010-02,37
2010-03,26
2010-04,40
2010-05,22
2010-06,30
2010-07,20
2010-08,19
2010-09,25
2010-10,24
2010-11,26
2010-12,32
2011-01,27
2011-02,49
2011-03,31
2011-04,30
2011-05,26
2011-06,28
2011-07,21
2011-08,11
2011-09,27
2011-10,36
2011-11,28
2011-12,22
2012-01,20
2012-02,37
2012-03,27
2012-04,30
2012-05,21
2012-06,20
2012-07,20
2012-08,15
2012-09,36
2012-10,44
2012-11,34
2012-12,24
2013-01,25
2013-02,43
2013-03,29
2013-04,35
2013-05,32
2013-06,27
2013-07,19
2013-08,15
2013-09,36
2013-10,38
2013-11,32
2013-12,26
2014-01,21
2014-02,45
2014-03,42
2014-04,36
2014-05,31
2014-06,22
2014-07,27
2014-08,20
2014-09,35
2014-10,39
2014-11,31
2014-12,29
2015-01,21
2015-02,43
2015-03,38
2015-04,40
2015-05,28
2015-06,25
2015-07,22
2015-08,27
2015-09,42
2015-10,42
2015-11,31
2015-12,27
2016-01,23
2016-02,48
2016-03,52
2016-04,44
2016-05,33
2016-06,24
2016-07,26
2016-08,17
2016-09,30
2016-10,48
2016-11,33
2016-12,25
2017-01,23
2017-02,69
2017-03,53
2017-04,43
2017-05,32
2017-06,29
2017-07,20
2017-08,14
2017-09,31
2017-10,48
2017-11,38
2017-12,32
2018-01,28
2018-02,52
2018-03,53
2018-04,52
2018-05,30
2018-06,27
2018-07,29
2018-08,17
2018-09,33
2018-10,52
2018-11,41
2018-12,42
2019-01,31
2019-02,51
2019-03,48
2019-04,55
2019-05,27
2019-06,36
2019-07,31
2019-08,18
2019-09,47
2019-10,64
2019-11,47
2019-12,30
2020-01,32
2020-02,56
2020-03,42
2020-04,60
2020-05,35
2020-06,30
2020-07,32
2020-08,17
2020-09,54
2020-10,76
2020-11,52
2020-12,29
2021-01,29
2021-02,49
2021-03,59
2021-04,53
2021-05,42
2021-06,27
2021-07,25
2021-08,21
2021-09,49
2021-10,67
2021-11,61
2021-12,50
2022-01,42
2022-02,56
2022-03,66
2022-04,54
2022-05,46
