Category: All categories

Month,average inflation rate: (United States)
2004-01,34
2004-02,34
2004-03,100
2004-04,43
2004-05,40
2004-06,41
2004-07,94
2004-08,19
2004-09,27
2004-10,65
2004-11,66
2004-12,42
2005-01,37
2005-02,39
2005-03,33
2005-04,53
2005-05,27
2005-06,21
2005-07,21
2005-08,26
2005-09,36
2005-10,50
2005-11,46
2005-12,54
2006-01,34
2006-02,40
2006-03,22
2006-04,47
2006-05,44
2006-06,37
2006-07,32
2006-08,42
2006-09,38
2006-10,42
2006-11,53
2006-12,46
2007-01,27
2007-02,46
2007-03,48
2007-04,39
2007-05,56
2007-06,31
2007-07,39
2007-08,51
2007-09,23
2007-10,58
2007-11,74
2007-12,40
2008-01,51
2008-02,34
2008-03,52
2008-04,62
2008-05,40
2008-06,37
2008-07,14
2008-08,30
2008-09,34
2008-10,36
2008-11,37
2008-12,41
2009-01,47
2009-02,30
2009-03,39
2009-04,37
2009-05,24
2009-06,32
2009-07,36
2009-08,27
2009-09,41
2009-10,37
2009-11,60
2009-12,39
2010-01,32
2010-02,48
2010-03,49
2010-04,47
2010-05,31
2010-06,31
2010-07,21
2010-08,29
2010-09,35
2010-10,35
2010-11,39
2010-12,32
2011-01,45
2011-02,45
2011-03,36
2011-04,50
2011-05,27
2011-06,30
2011-07,34
2011-08,29
2011-09,26
2011-10,38
2011-11,30
2011-12,37
2012-01,32
2012-02,59
2012-03,39
2012-04,45
2012-05,30
2012-06,31
2012-07,35
2012-08,22
2012-09,58
2012-10,48
2012-11,38
2012-12,47
2013-01,45
2013-02,57
2013-03,42
2013-04,50
2013-05,44
2013-06,33
2013-07,38
2013-08,32
2013-09,47
2013-10,51
2013-11,49
2013-12,40
2014-01,40
2014-02,66
2014-03,58
2014-04,48
2014-05,49
2014-06,29
2014-07,39
2014-08,39
2014-09,49
2014-10,58
2014-11,55
2014-12,51
2015-01,49
2015-02,57
2015-03,51
2015-04,63
2015-05,47
2015-06,44
2015-07,47
2015-08,36
2015-09,63
2015-10,63
2015-11,50
2015-12,41
2016-01,40
2016-02,59
2016-03,62
2016-04,63
2016-05,47
2016-06,37
2016-07,35
2016-08,35
2016-09,40
2016-10,52
2016-11,49
2016-12,52
2017-01,43
2017-02,66
2017-03,68
2017-04,67
2017-05,42
2017-06,41
2017-07,38
2017-08,31
2017-09,49
2017-10,59
2017-11,64
2017-12,55
2018-01,53
2018-02,69
2018-03,69
2018-04,69
2018-05,50
2018-06,36
2018-07,48
2018-08,42
2018-09,65
2018-10,76
2018-11,62
2018-12,51
2019-01,43
2019-02,78
2019-03,69
2019-04,77
2019-05,54
2019-06,39
2019-07,46
2019-08,46
2019-09,56
2019-10,71
2019-11,65
2019-12,56
2020-01,51
2020-02,71
2020-03,58
2020-04,59
2020-05,46
2020-06,48
2020-07,48
2020-08,41
2020-09,62
2020-10,90
2020-11,69
2020-12,49
2021-01,54
2021-02,72
2021-03,71
2021-04,78
2021-05,65
2021-06,50
2021-07,41
2021-08,40
2021-09,67
2021-10,78
2021-11,86
2021-12,73
2022-01,77
2022-02,82
2022-03,83
2022-04,100
2022-05,78
