Category: All categories

Month,calculating cpi: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,68
2004-05,0
2004-06,0
2004-07,33
2004-08,0
2004-09,56
2004-10,58
2004-11,89
2004-12,0
2005-01,23
2005-02,24
2005-03,21
2005-04,24
2005-05,0
2005-06,22
2005-07,0
2005-08,0
2005-09,56
2005-10,53
2005-11,0
2005-12,0
2006-01,0
2006-02,47
2006-03,28
2006-04,29
2006-05,14
2006-06,15
2006-07,14
2006-08,39
2006-09,26
2006-10,84
2006-11,47
2006-12,0
2007-01,21
2007-02,33
2007-03,30
2007-04,30
2007-05,37
2007-06,20
2007-07,19
2007-08,18
2007-09,27
2007-10,40
2007-11,16
2007-12,17
2008-01,58
2008-02,60
2008-03,7
2008-04,58
2008-05,37
2008-06,16
2008-07,44
2008-08,15
2008-09,20
2008-10,19
2008-11,41
2008-12,7
2009-01,13
2009-02,53
2009-03,48
2009-04,24
2009-05,6
2009-06,32
2009-07,25
2009-08,6
2009-09,53
2009-10,39
2009-11,29
2009-12,34
2010-01,27
2010-02,66
2010-03,53
2010-04,56
2010-05,26
2010-06,21
2010-07,9
2010-08,9
2010-09,43
2010-10,51
2010-11,21
2010-12,20
2011-01,19
2011-02,56
2011-03,81
2011-04,19
2011-05,9
2011-06,26
2011-07,29
2011-08,3
2011-09,45
2011-10,47
2011-11,37
2011-12,19
2012-01,23
2012-02,52
2012-03,37
2012-04,39
2012-05,12
2012-06,16
2012-07,12
2012-08,12
2012-09,44
2012-10,54
2012-11,33
2012-12,18
2013-01,25
2013-02,63
2013-03,51
2013-04,36
2013-05,42
2013-06,17
2013-07,13
2013-08,2
2013-09,37
2013-10,77
2013-11,19
2013-12,26
2014-01,21
2014-02,63
2014-03,42
2014-04,55
2014-05,28
2014-06,12
2014-07,9
2014-08,13
2014-09,46
2014-10,64
2014-11,33
2014-12,28
2015-01,23
2015-02,53
2015-03,32
2015-04,11
2015-05,33
2015-06,30
2015-07,11
2015-08,9
2015-09,30
2015-10,100
2015-11,25
2015-12,19
2016-01,32
2016-02,57
2016-03,55
2016-04,56
2016-05,27
2016-06,25
2016-07,7
2016-08,7
2016-09,43
2016-10,59
2016-11,50
2016-12,14
2017-01,30
2017-02,63
2017-03,47
2017-04,31
2017-05,32
2017-06,19
2017-07,17
2017-08,10
2017-09,33
2017-10,55
2017-11,15
2017-12,19
2018-01,31
2018-02,43
2018-03,47
2018-04,21
2018-05,21
2018-06,11
2018-07,8
2018-08,5
2018-09,31
2018-10,51
2018-11,32
2018-12,32
2019-01,9
2019-02,31
2019-03,34
2019-04,21
2019-05,18
2019-06,17
2019-07,9
2019-08,4
2019-09,42
2019-10,41
2019-11,14
2019-12,17
2020-01,16
2020-02,33
2020-03,46
2020-04,34
2020-05,24
2020-06,17
2020-07,10
2020-08,10
2020-09,33
2020-10,34
2020-11,20
2020-12,16
2021-01,14
2021-02,39
2021-03,51
2021-04,20
2021-05,16
2021-06,7
2021-07,7
2021-08,9
2021-09,30
2021-10,32
2021-11,24
2021-12,25
2022-01,6
2022-02,31
2022-03,32
2022-04,21
2022-05,17
