Category: All categories

Month,calculating inflation: (United States)
2004-01,100
2004-02,20
2004-03,25
2004-04,57
2004-05,17
2004-06,36
2004-07,18
2004-08,0
2004-09,16
2004-10,16
2004-11,17
2004-12,44
2005-01,39
2005-02,27
2005-03,12
2005-04,53
2005-05,12
2005-06,12
2005-07,36
2005-08,0
2005-09,42
2005-10,0
2005-11,40
2005-12,48
2006-01,26
2006-02,9
2006-03,39
2006-04,41
2006-05,23
2006-06,8
2006-07,32
2006-08,36
2006-09,44
2006-10,54
2006-11,53
2006-12,27
2007-01,23
2007-02,62
2007-03,45
2007-04,45
2007-05,26
2007-06,28
2007-07,21
2007-08,10
2007-09,65
2007-10,49
2007-11,31
2007-12,28
2008-01,61
2008-02,51
2008-03,45
2008-04,40
2008-05,37
2008-06,43
2008-07,50
2008-08,8
2008-09,45
2008-10,76
2008-11,46
2008-12,23
2009-01,14
2009-02,52
2009-03,44
2009-04,27
2009-05,31
2009-06,21
2009-07,24
2009-08,24
2009-09,53
2009-10,41
2009-11,29
2009-12,9
2010-01,21
2010-02,49
2010-03,37
2010-04,64
2010-05,9
2010-06,43
2010-07,19
2010-08,3
2010-09,27
2010-10,29
2010-11,45
2010-12,24
2011-01,26
2011-02,30
2011-03,47
2011-04,30
2011-05,18
2011-06,15
2011-07,26
2011-08,19
2011-09,34
2011-10,45
2011-11,36
2011-12,28
2012-01,22
2012-02,33
2012-03,32
2012-04,38
2012-05,16
2012-06,15
2012-07,14
2012-08,20
2012-09,37
2012-10,57
2012-11,37
2012-12,9
2013-01,29
2013-02,58
2013-03,42
2013-04,26
2013-05,23
2013-06,13
2013-07,15
2013-08,18
2013-09,41
2013-10,59
2013-11,39
2013-12,38
2014-01,33
2014-02,46
2014-03,33
2014-04,50
2014-05,29
2014-06,16
2014-07,9
2014-08,12
2014-09,44
2014-10,49
2014-11,32
2014-12,21
2015-01,28
2015-02,55
2015-03,50
2015-04,36
2015-05,28
2015-06,13
2015-07,13
2015-08,14
2015-09,47
2015-10,53
2015-11,33
2015-12,23
2016-01,28
2016-02,66
2016-03,48
2016-04,53
2016-05,21
2016-06,14
2016-07,6
2016-08,13
2016-09,43
2016-10,57
2016-11,31
2016-12,23
2017-01,26
2017-02,51
2017-03,44
2017-04,37
2017-05,28
2017-06,21
2017-07,14
2017-08,13
2017-09,28
2017-10,42
2017-11,31
2017-12,25
2018-01,28
2018-02,56
2018-03,30
2018-04,17
2018-05,27
2018-06,15
2018-07,16
2018-08,15
2018-09,31
2018-10,45
2018-11,24
2018-12,25
2019-01,19
2019-02,39
2019-03,28
2019-04,32
2019-05,24
2019-06,16
2019-07,17
2019-08,10
2019-09,24
2019-10,27
2019-11,24
2019-12,17
2020-01,11
2020-02,47
2020-03,26
2020-04,39
2020-05,25
2020-06,27
2020-07,15
2020-08,11
2020-09,32
2020-10,44
2020-11,25
2020-12,16
2021-01,16
2021-02,36
2021-03,39
2021-04,31
2021-05,21
2021-06,16
2021-07,10
2021-08,10
2021-09,37
2021-10,35
2021-11,31
2021-12,17
2022-01,22
2022-02,37
2022-03,26
2022-04,20
2022-05,25
