Category: All categories

Month,consumer price index inflation: (United States)
2004-01,100
2004-02,85
2004-03,17
2004-04,76
2004-05,52
2004-06,41
2004-07,12
2004-08,44
2004-09,42
2004-10,43
2004-11,55
2004-12,25
2005-01,60
2005-02,63
2005-03,39
2005-04,49
2005-05,36
2005-06,41
2005-07,28
2005-08,8
2005-09,38
2005-10,39
2005-11,34
2005-12,22
2006-01,37
2006-02,38
2006-03,55
2006-04,52
2006-05,36
2006-06,41
2006-07,37
2006-08,12
2006-09,46
2006-10,45
2006-11,33
2006-12,29
2007-01,19
2007-02,41
2007-03,32
2007-04,26
2007-05,22
2007-06,15
2007-07,33
2007-08,21
2007-09,17
2007-10,24
2007-11,45
2007-12,31
2008-01,41
2008-02,32
2008-03,48
2008-04,32
2008-05,27
2008-06,35
2008-07,28
2008-08,23
2008-09,25
2008-10,43
2008-11,22
2008-12,14
2009-01,24
2009-02,24
2009-03,15
2009-04,35
2009-05,17
2009-06,25
2009-07,22
2009-08,6
2009-09,21
2009-10,17
2009-11,26
2009-12,21
2010-01,20
2010-02,30
2010-03,31
2010-04,16
2010-05,17
2010-06,10
2010-07,12
2010-08,8
2010-09,13
2010-10,19
2010-11,23
2010-12,12
2011-01,15
2011-02,23
2011-03,18
2011-04,28
2011-05,16
2011-06,13
2011-07,14
2011-08,11
2011-09,22
2011-10,29
2011-11,15
2011-12,17
2012-01,11
2012-02,23
2012-03,23
2012-04,20
2012-05,14
2012-06,13
2012-07,14
2012-08,8
2012-09,26
2012-10,26
2012-11,19
2012-12,13
2013-01,17
2013-02,20
2013-03,21
2013-04,30
2013-05,23
2013-06,12
2013-07,8
2013-08,8
2013-09,16
2013-10,22
2013-11,21
2013-12,14
2014-01,18
2014-02,34
2014-03,26
2014-04,24
2014-05,16
2014-06,12
2014-07,16
2014-08,9
2014-09,18
2014-10,26
2014-11,24
2014-12,24
2015-01,19
2015-02,23
2015-03,27
2015-04,22
2015-05,23
2015-06,13
2015-07,9
2015-08,10
2015-09,25
2015-10,30
2015-11,25
2015-12,23
2016-01,13
2016-02,27
2016-03,19
2016-04,30
2016-05,14
2016-06,11
2016-07,9
2016-08,10
2016-09,21
2016-10,24
2016-11,20
2016-12,16
2017-01,18
2017-02,32
2017-03,27
2017-04,25
2017-05,16
2017-06,10
2017-07,7
2017-08,8
2017-09,18
2017-10,33
2017-11,20
2017-12,18
2018-01,17
2018-02,29
2018-03,23
2018-04,30
2018-05,19
2018-06,14
2018-07,12
2018-08,8
2018-09,24
2018-10,29
2018-11,21
2018-12,14
2019-01,15
2019-02,25
2019-03,26
2019-04,22
2019-05,19
2019-06,8
2019-07,10
2019-08,6
2019-09,19
2019-10,30
2019-11,21
2019-12,15
2020-01,13
2020-02,22
2020-03,21
2020-04,26
2020-05,22
2020-06,13
2020-07,11
2020-08,7
2020-09,25
2020-10,42
2020-11,19
2020-12,12
2021-01,12
2021-02,26
2021-03,34
2021-04,24
2021-05,24
2021-06,16
2021-07,11
2021-08,9
2021-09,20
2021-10,32
2021-11,41
2021-12,18
2022-01,19
2022-02,29
2022-03,26
2022-04,29
2022-05,30
