Category: All categories

Month,consumer price index: (United States)
2004-01,100
2004-02,81
2004-03,61
2004-04,77
2004-05,73
2004-06,51
2004-07,60
2004-08,61
2004-09,64
2004-10,66
2004-11,63
2004-12,63
2005-01,76
2005-02,82
2005-03,66
2005-04,71
2005-05,59
2005-06,50
2005-07,44
2005-08,45
2005-09,58
2005-10,56
2005-11,54
2005-12,51
2006-01,55
2006-02,55
2006-03,53
2006-04,54
2006-05,46
2006-06,50
2006-07,43
2006-08,44
2006-09,46
2006-10,47
2006-11,49
2006-12,38
2007-01,45
2007-02,50
2007-03,39
2007-04,41
2007-05,33
2007-06,33
2007-07,31
2007-08,32
2007-09,38
2007-10,39
2007-11,37
2007-12,32
2008-01,42
2008-02,40
2008-03,42
2008-04,41
2008-05,34
2008-06,36
2008-07,36
2008-08,30
2008-09,34
2008-10,40
2008-11,36
2008-12,32
2009-01,33
2009-02,33
2009-03,24
2009-04,28
2009-05,24
2009-06,24
2009-07,21
2009-08,22
2009-09,28
2009-10,29
2009-11,26
2009-12,22
2010-01,25
2010-02,26
2010-03,25
2010-04,21
2010-05,17
2010-06,15
2010-07,13
2010-08,16
2010-09,18
2010-10,19
2010-11,19
2010-12,14
2011-01,20
2011-02,23
2011-03,21
2011-04,20
2011-05,18
2011-06,16
2011-07,14
2011-08,14
2011-09,17
2011-10,19
2011-11,16
2011-12,14
2012-01,16
2012-02,19
2012-03,16
2012-04,16
2012-05,15
2012-06,12
2012-07,12
2012-08,12
2012-09,16
2012-10,17
2012-11,15
2012-12,13
2013-01,15
2013-02,16
2013-03,16
2013-04,16
2013-05,13
2013-06,10
2013-07,10
2013-08,9
2013-09,13
2013-10,16
2013-11,13
2013-12,11
2014-01,14
2014-02,16
2014-03,14
2014-04,14
2014-05,13
2014-06,12
2014-07,11
2014-08,10
2014-09,14
2014-10,16
2014-11,13
2014-12,13
2015-01,15
2015-02,15
2015-03,15
2015-04,13
2015-05,13
2015-06,11
2015-07,11
2015-08,9
2015-09,15
2015-10,16
2015-11,12
2015-12,12
2016-01,11
2016-02,14
2016-03,11
2016-04,13
2016-05,11
2016-06,7
2016-07,6
2016-08,7
2016-09,12
2016-10,12
2016-11,11
2016-12,9
2017-01,10
2017-02,13
2017-03,12
2017-04,12
2017-05,10
2017-06,7
2017-07,6
2017-08,6
2017-09,11
2017-10,13
2017-11,11
2017-12,10
2018-01,11
2018-02,14
2018-03,12
2018-04,12
2018-05,10
2018-06,8
2018-07,7
2018-08,7
2018-09,11
2018-10,13
2018-11,10
2018-12,9
2019-01,10
2019-02,12
2019-03,11
2019-04,12
2019-05,11
2019-06,7
2019-07,7
2019-08,6
2019-09,11
2019-10,12
2019-11,10
2019-12,8
2020-01,9
2020-02,12
2020-03,9
2020-04,10
2020-05,9
2020-06,6
2020-07,6
2020-08,5
2020-09,9
2020-10,13
2020-11,8
2020-12,6
2021-01,7
2021-02,10
2021-03,10
2021-04,10
2021-05,13
2021-06,9
2021-07,8
2021-08,7
2021-09,10
2021-10,13
2021-11,14
2021-12,11
2022-01,11
2022-02,14
2022-03,11
2022-04,12
2022-05,15
