Category: All categories

Month,core cpi: (United States)
2004-01,25
2004-02,24
2004-03,0
2004-04,47
2004-05,0
2004-06,22
2004-07,22
2004-08,20
2004-09,77
2004-10,0
2004-11,20
2004-12,18
2005-01,16
2005-02,17
2005-03,57
2005-04,33
2005-05,0
2005-06,15
2005-07,15
2005-08,14
2005-09,26
2005-10,36
2005-11,37
2005-12,12
2006-01,10
2006-02,21
2006-03,48
2006-04,70
2006-05,28
2006-06,100
2006-07,29
2006-08,63
2006-09,27
2006-10,33
2006-11,41
2006-12,65
2007-01,22
2007-02,46
2007-03,41
2007-04,21
2007-05,32
2007-06,41
2007-07,6
2007-08,6
2007-09,37
2007-10,44
2007-11,38
2007-12,23
2008-01,35
2008-02,36
2008-03,35
2008-04,30
2008-05,10
2008-06,69
2008-07,30
2008-08,5
2008-09,18
2008-10,21
2008-11,9
2008-12,14
2009-01,26
2009-02,5
2009-03,29
2009-04,21
2009-05,26
2009-06,4
2009-07,13
2009-08,21
2009-09,16
2009-10,19
2009-11,39
2009-12,27
2010-01,18
2010-02,45
2010-03,20
2010-04,14
2010-05,39
2010-06,18
2010-07,6
2010-08,18
2010-09,11
2010-10,8
2010-11,33
2010-12,22
2011-01,17
2011-02,37
2011-03,23
2011-04,57
2011-05,32
2011-06,18
2011-07,15
2011-08,18
2011-09,22
2011-10,24
2011-11,17
2011-12,15
2012-01,14
2012-02,23
2012-03,13
2012-04,26
2012-05,12
2012-06,14
2012-07,7
2012-08,15
2012-09,20
2012-10,14
2012-11,11
2012-12,8
2013-01,27
2013-02,20
2013-03,18
2013-04,17
2013-05,14
2013-06,13
2013-07,13
2013-08,8
2013-09,12
2013-10,20
2013-11,12
2013-12,11
2014-01,18
2014-02,17
2014-03,21
2014-04,8
2014-05,16
2014-06,9
2014-07,15
2014-08,12
2014-09,20
2014-10,24
2014-11,13
2014-12,13
2015-01,13
2015-02,12
2015-03,20
2015-04,26
2015-05,22
2015-06,19
2015-07,14
2015-08,25
2015-09,25
2015-10,30
2015-11,21
2015-12,29
2016-01,17
2016-02,30
2016-03,18
2016-04,21
2016-05,13
2016-06,13
2016-07,10
2016-08,10
2016-09,17
2016-10,20
2016-11,14
2016-12,14
2017-01,9
2017-02,22
2017-03,20
2017-04,19
2017-05,18
2017-06,16
2017-07,11
2017-08,11
2017-09,15
2017-10,32
2017-11,20
2017-12,14
2018-01,14
2018-02,30
2018-03,17
2018-04,16
2018-05,9
2018-06,17
2018-07,7
2018-08,15
2018-09,26
2018-10,33
2018-11,23
2018-12,14
2019-01,13
2019-02,22
2019-03,13
2019-04,17
2019-05,24
2019-06,16
2019-07,21
2019-08,17
2019-09,32
2019-10,17
2019-11,14
2019-12,9
2020-01,12
2020-02,22
2020-03,11
2020-04,16
2020-05,21
2020-06,14
2020-07,13
2020-08,12
2020-09,21
2020-10,18
2020-11,9
2020-12,9
2021-01,11
2021-02,19
2021-03,25
2021-04,27
2021-05,33
2021-06,37
2021-07,23
2021-08,13
2021-09,33
2021-10,27
2021-11,24
2021-12,30
2022-01,25
2022-02,46
2022-03,27
2022-04,54
2022-05,56
