Category: All categories

Month,core inflation: (United States)
2004-01,37
2004-02,37
2004-03,47
2004-04,89
2004-05,33
2004-06,0
2004-07,17
2004-08,62
2004-09,29
2004-10,30
2004-11,31
2004-12,28
2005-01,12
2005-02,64
2005-03,33
2005-04,25
2005-05,45
2005-06,34
2005-07,0
2005-08,21
2005-09,49
2005-10,92
2005-11,75
2005-12,18
2006-01,72
2006-02,25
2006-03,44
2006-04,100
2006-05,22
2006-06,92
2006-07,82
2006-08,89
2006-09,34
2006-10,88
2006-11,56
2006-12,37
2007-01,49
2007-02,52
2007-03,52
2007-04,63
2007-05,49
2007-06,72
2007-07,58
2007-08,33
2007-09,56
2007-10,58
2007-11,50
2007-12,43
2008-01,69
2008-02,47
2008-03,42
2008-04,60
2008-05,84
2008-06,69
2008-07,70
2008-08,38
2008-09,18
2008-10,42
2008-11,36
2008-12,18
2009-01,47
2009-02,28
2009-03,32
2009-04,29
2009-05,20
2009-06,26
2009-07,19
2009-08,22
2009-09,40
2009-10,44
2009-11,30
2009-12,21
2010-01,11
2010-02,23
2010-03,43
2010-04,20
2010-05,32
2010-06,15
2010-07,5
2010-08,15
2010-09,16
2010-10,26
2010-11,25
2010-12,25
2011-01,37
2011-02,52
2011-03,74
2011-04,61
2011-05,40
2011-06,43
2011-07,25
2011-08,31
2011-09,25
2011-10,45
2011-11,25
2011-12,19
2012-01,30
2012-02,30
2012-03,12
2012-04,26
2012-05,14
2012-06,16
2012-07,19
2012-08,21
2012-09,27
2012-10,20
2012-11,17
2012-12,17
2013-01,27
2013-02,20
2013-03,18
2013-04,22
2013-05,21
2013-06,20
2013-07,18
2013-08,6
2013-09,10
2013-10,24
2013-11,19
2013-12,28
2014-01,19
2014-02,29
2014-03,15
2014-04,22
2014-05,24
2014-06,13
2014-07,18
2014-08,16
2014-09,29
2014-10,30
2014-11,11
2014-12,16
2015-01,30
2015-02,33
2015-03,26
2015-04,37
2015-05,26
2015-06,23
2015-07,20
2015-08,30
2015-09,37
2015-10,43
2015-11,32
2015-12,30
2016-01,21
2016-02,36
2016-03,35
2016-04,35
2016-05,25
2016-06,14
2016-07,22
2016-08,20
2016-09,34
2016-10,30
2016-11,27
2016-12,23
2017-01,16
2017-02,31
2017-03,27
2017-04,26
2017-05,24
2017-06,24
2017-07,12
2017-08,22
2017-09,21
2017-10,41
2017-11,36
2017-12,20
2018-01,25
2018-02,41
2018-03,29
2018-04,37
2018-05,23
2018-06,22
2018-07,15
2018-08,19
2018-09,28
2018-10,33
2018-11,29
2018-12,27
2019-01,20
2019-02,28
2019-03,28
2019-04,40
2019-05,33
2019-06,16
2019-07,29
2019-08,13
2019-09,29
2019-10,26
2019-11,33
2019-12,22
2020-01,16
2020-02,22
2020-03,27
2020-04,27
2020-05,21
2020-06,19
2020-07,11
2020-08,17
2020-09,24
2020-10,37
2020-11,17
2020-12,15
2021-01,17
2021-02,28
2021-03,41
2021-04,28
2021-05,38
2021-06,36
2021-07,25
2021-08,25
2021-09,38
2021-10,46
2021-11,41
2021-12,47
2022-01,42
2022-02,46
2022-03,44
2022-04,74
2022-05,69
