Category: All categories

Month,cost push inflation: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,22
2004-06,0
2004-07,23
2004-08,21
2004-09,20
2004-10,0
2004-11,0
2004-12,19
2005-01,16
2005-02,35
2005-03,0
2005-04,17
2005-05,61
2005-06,0
2005-07,0
2005-08,0
2005-09,13
2005-10,37
2005-11,0
2005-12,0
2006-01,11
2006-02,22
2006-03,30
2006-04,31
2006-05,10
2006-06,31
2006-07,10
2006-08,0
2006-09,28
2006-10,17
2006-11,42
2006-12,34
2007-01,15
2007-02,24
2007-03,14
2007-04,50
2007-05,7
2007-06,7
2007-07,0
2007-08,6
2007-09,13
2007-10,17
2007-11,28
2007-12,41
2008-01,10
2008-02,16
2008-03,68
2008-04,36
2008-05,52
2008-06,11
2008-07,11
2008-08,31
2008-09,24
2008-10,31
2008-11,39
2008-12,14
2009-01,5
2009-02,38
2009-03,30
2009-04,39
2009-05,35
2009-06,13
2009-07,18
2009-08,22
2009-09,17
2009-10,40
2009-11,49
2009-12,40
2010-01,27
2010-02,20
2010-03,29
2010-04,41
2010-05,43
2010-06,12
2010-07,21
2010-08,17
2010-09,6
2010-10,38
2010-11,40
2010-12,52
2011-01,22
2011-02,26
2011-03,40
2011-04,48
2011-05,33
2011-06,17
2011-07,26
2011-08,4
2011-09,18
2011-10,58
2011-11,47
2011-12,47
2012-01,19
2012-02,42
2012-03,54
2012-04,61
2012-05,44
2012-06,21
2012-07,13
2012-08,5
2012-09,24
2012-10,47
2012-11,64
2012-12,35
2013-01,17
2013-02,34
2013-03,50
2013-04,63
2013-05,51
2013-06,24
2013-07,11
2013-08,9
2013-09,25
2013-10,71
2013-11,69
2013-12,59
2014-01,30
2014-02,38
2014-03,51
2014-04,77
2014-05,74
2014-06,26
2014-07,12
2014-08,20
2014-09,28
2014-10,72
2014-11,63
2014-12,45
2015-01,28
2015-02,45
2015-03,68
2015-04,87
2015-05,88
2015-06,26
2015-07,13
2015-08,7
2015-09,26
2015-10,59
2015-11,85
2015-12,100
2016-01,43
2016-02,42
2016-03,68
2016-04,84
2016-05,62
2016-06,19
2016-07,10
2016-08,11
2016-09,18
2016-10,55
2016-11,70
2016-12,46
2017-01,29
2017-02,41
2017-03,71
2017-04,72
2017-05,92
2017-06,9
2017-07,18
2017-08,8
2017-09,21
2017-10,60
2017-11,73
2017-12,64
2018-01,33
2018-02,40
2018-03,67
2018-04,87
2018-05,77
2018-06,25
2018-07,13
2018-08,7
2018-09,25
2018-10,63
2018-11,65
2018-12,74
2019-01,31
2019-02,48
2019-03,52
2019-04,77
2019-05,73
2019-06,24
2019-07,19
2019-08,10
2019-09,35
2019-10,74
2019-11,47
2019-12,33
2020-01,31
2020-02,48
2020-03,58
2020-04,56
2020-05,41
2020-06,16
2020-07,18
2020-08,13
2020-09,22
2020-10,52
2020-11,47
2020-12,39
2021-01,24
2021-02,29
2021-03,67
2021-04,51
2021-05,52
2021-06,18
2021-07,13
2021-08,6
2021-09,17
2021-10,35
2021-11,51
2021-12,33
2022-01,19
2022-02,37
2022-03,57
2022-04,51
2022-05,58
