Category: All categories

Month,cpi increase: (United States)
2004-01,61
2004-02,15
2004-03,0
2004-04,0
2004-05,26
2004-06,14
2004-07,0
2004-08,0
2004-09,36
2004-10,74
2004-11,13
2004-12,56
2005-01,20
2005-02,31
2005-03,35
2005-04,20
2005-05,27
2005-06,37
2005-07,37
2005-08,34
2005-09,24
2005-10,52
2005-11,54
2005-12,36
2006-01,26
2006-02,13
2006-03,30
2006-04,31
2006-05,29
2006-06,25
2006-07,30
2006-08,22
2006-09,33
2006-10,56
2006-11,66
2006-12,15
2007-01,36
2007-02,43
2007-03,38
2007-04,26
2007-05,40
2007-06,50
2007-07,16
2007-08,34
2007-09,45
2007-10,44
2007-11,41
2007-12,56
2008-01,53
2008-02,48
2008-03,44
2008-04,37
2008-05,31
2008-06,49
2008-07,50
2008-08,47
2008-09,86
2008-10,85
2008-11,67
2008-12,63
2009-01,87
2009-02,65
2009-03,46
2009-04,52
2009-05,34
2009-06,32
2009-07,42
2009-08,26
2009-09,28
2009-10,36
2009-11,32
2009-12,41
2010-01,25
2010-02,35
2010-03,51
2010-04,46
2010-05,23
2010-06,51
2010-07,28
2010-08,31
2010-09,26
2010-10,28
2010-11,34
2010-12,41
2011-01,43
2011-02,54
2011-03,42
2011-04,47
2011-05,18
2011-06,18
2011-07,39
2011-08,34
2011-09,19
2011-10,66
2011-11,37
2011-12,30
2012-01,45
2012-02,30
2012-03,30
2012-04,32
2012-05,26
2012-06,32
2012-07,36
2012-08,18
2012-09,31
2012-10,39
2012-11,45
2012-12,33
2013-01,41
2013-02,46
2013-03,43
2013-04,40
2013-05,29
2013-06,37
2013-07,32
2013-08,18
2013-09,56
2013-10,55
2013-11,41
2013-12,30
2014-01,45
2014-02,42
2014-03,53
2014-04,47
2014-05,33
2014-06,43
2014-07,40
2014-08,36
2014-09,37
2014-10,55
2014-11,31
2014-12,35
2015-01,45
2015-02,47
2015-03,44
2015-04,45
2015-05,26
2015-06,38
2015-07,39
2015-08,37
2015-09,43
2015-10,61
2015-11,46
2015-12,47
2016-01,42
2016-02,47
2016-03,60
2016-04,31
2016-05,37
2016-06,33
2016-07,27
2016-08,27
2016-09,49
2016-10,50
2016-11,29
2016-12,38
2017-01,42
2017-02,61
2017-03,59
2017-04,36
2017-05,27
2017-06,38
2017-07,25
2017-08,11
2017-09,43
2017-10,62
2017-11,46
2017-12,31
2018-01,31
2018-02,64
2018-03,53
2018-04,40
2018-05,40
2018-06,33
2018-07,32
2018-08,34
2018-09,37
2018-10,60
2018-11,40
2018-12,31
2019-01,39
2019-02,59
2019-03,53
2019-04,51
2019-05,39
2019-06,33
2019-07,38
2019-08,28
2019-09,43
2019-10,54
2019-11,55
2019-12,41
2020-01,47
2020-02,65
2020-03,49
2020-04,54
2020-05,37
2020-06,31
2020-07,24
2020-08,23
2020-09,56
2020-10,68
2020-11,56
2020-12,24
2021-01,34
2021-02,69
2021-03,60
2021-04,51
2021-05,57
2021-06,48
2021-07,46
2021-08,40
2021-09,77
2021-10,83
2021-11,74
2021-12,68
2022-01,70
2022-02,100
2022-03,78
2022-04,79
2022-05,76
