Category: All categories

Month,cpi index: (United States)
2004-01,99
2004-02,83
2004-03,58
2004-04,61
2004-05,89
2004-06,47
2004-07,65
2004-08,64
2004-09,78
2004-10,83
2004-11,100
2004-12,97
2005-01,99
2005-02,84
2005-03,62
2005-04,85
2005-05,55
2005-06,56
2005-07,40
2005-08,42
2005-09,83
2005-10,71
2005-11,68
2005-12,69
2006-01,66
2006-02,71
2006-03,61
2006-04,60
2006-05,63
2006-06,52
2006-07,50
2006-08,65
2006-09,70
2006-10,62
2006-11,83
2006-12,56
2007-01,57
2007-02,65
2007-03,71
2007-04,52
2007-05,56
2007-06,52
2007-07,49
2007-08,54
2007-09,55
2007-10,65
2007-11,45
2007-12,57
2008-01,75
2008-02,71
2008-03,72
2008-04,78
2008-05,60
2008-06,51
2008-07,59
2008-08,45
2008-09,46
2008-10,58
2008-11,60
2008-12,50
2009-01,72
2009-02,63
2009-03,67
2009-04,62
2009-05,67
2009-06,80
2009-07,78
2009-08,58
2009-09,67
2009-10,72
2009-11,89
2009-12,76
2010-01,86
2010-02,89
2010-03,83
2010-04,69
2010-05,60
2010-06,51
2010-07,43
2010-08,40
2010-09,38
2010-10,49
2010-11,38
2010-12,38
2011-01,43
2011-02,39
2011-03,47
2011-04,48
2011-05,38
2011-06,37
2011-07,34
2011-08,25
2011-09,33
2011-10,48
2011-11,39
2011-12,29
2012-01,33
2012-02,42
2012-03,33
2012-04,34
2012-05,29
2012-06,34
2012-07,35
2012-08,30
2012-09,36
2012-10,39
2012-11,30
2012-12,34
2013-01,36
2013-02,36
2013-03,35
2013-04,37
2013-05,33
2013-06,29
2013-07,25
2013-08,21
2013-09,33
2013-10,42
2013-11,31
2013-12,29
2014-01,34
2014-02,40
2014-03,36
2014-04,31
2014-05,26
2014-06,27
2014-07,31
2014-08,23
2014-09,33
2014-10,37
2014-11,27
2014-12,28
2015-01,26
2015-02,38
2015-03,39
2015-04,37
2015-05,30
2015-06,28
2015-07,23
2015-08,25
2015-09,33
2015-10,38
2015-11,26
2015-12,28
2016-01,23
2016-02,32
2016-03,22
2016-04,29
2016-05,19
2016-06,17
2016-07,17
2016-08,18
2016-09,24
2016-10,28
2016-11,24
2016-12,22
2017-01,23
2017-02,33
2017-03,30
2017-04,23
2017-05,21
2017-06,20
2017-07,15
2017-08,20
2017-09,24
2017-10,35
2017-11,24
2017-12,18
2018-01,24
2018-02,37
2018-03,28
2018-04,24
2018-05,19
2018-06,19
2018-07,17
2018-08,20
2018-09,31
2018-10,33
2018-11,28
2018-12,20
2019-01,23
2019-02,31
2019-03,25
2019-04,22
2019-05,21
2019-06,20
2019-07,17
2019-08,15
2019-09,24
2019-10,29
2019-11,20
2019-12,17
2020-01,18
2020-02,28
2020-03,22
2020-04,20
2020-05,18
2020-06,17
2020-07,20
2020-08,14
2020-09,24
2020-10,30
2020-11,18
2020-12,13
2021-01,18
2021-02,29
2021-03,30
2021-04,19
2021-05,28
2021-06,24
2021-07,22
2021-08,19
2021-09,27
2021-10,33
2021-11,31
2021-12,25
2022-01,28
2022-02,44
2022-03,35
2022-04,36
2022-05,41
