Category: All categories

Month,cpi inflation: (United States)
2004-01,34
2004-02,41
2004-03,26
2004-04,30
2004-05,41
2004-06,12
2004-07,14
2004-08,34
2004-09,31
2004-10,36
2004-11,35
2004-12,35
2005-01,14
2005-02,25
2005-03,21
2005-04,29
2005-05,22
2005-06,21
2005-07,28
2005-08,25
2005-09,30
2005-10,36
2005-11,32
2005-12,21
2006-01,28
2006-02,27
2006-03,34
2006-04,42
2006-05,26
2006-06,20
2006-07,17
2006-08,18
2006-09,21
2006-10,26
2006-11,26
2006-12,17
2007-01,21
2007-02,30
2007-03,28
2007-04,28
2007-05,24
2007-06,19
2007-07,21
2007-08,10
2007-09,17
2007-10,36
2007-11,30
2007-12,22
2008-01,40
2008-02,24
2008-03,33
2008-04,32
2008-05,32
2008-06,22
2008-07,30
2008-08,19
2008-09,26
2008-10,34
2008-11,26
2008-12,15
2009-01,31
2009-02,25
2009-03,27
2009-04,22
2009-05,18
2009-06,14
2009-07,17
2009-08,17
2009-09,24
2009-10,24
2009-11,27
2009-12,15
2010-01,25
2010-02,31
2010-03,30
2010-04,26
2010-05,19
2010-06,13
2010-07,13
2010-08,9
2010-09,19
2010-10,21
2010-11,22
2010-12,11
2011-01,20
2011-02,31
2011-03,25
2011-04,25
2011-05,20
2011-06,12
2011-07,14
2011-08,14
2011-09,23
2011-10,28
2011-11,24
2011-12,17
2012-01,17
2012-02,27
2012-03,19
2012-04,25
2012-05,18
2012-06,15
2012-07,16
2012-08,10
2012-09,25
2012-10,27
2012-11,19
2012-12,17
2013-01,20
2013-02,29
2013-03,23
2013-04,26
2013-05,18
2013-06,13
2013-07,12
2013-08,9
2013-09,20
2013-10,29
2013-11,17
2013-12,15
2014-01,19
2014-02,32
2014-03,23
2014-04,24
2014-05,17
2014-06,13
2014-07,16
2014-08,11
2014-09,27
2014-10,35
2014-11,21
2014-12,18
2015-01,19
2015-02,31
2015-03,30
2015-04,25
2015-05,21
2015-06,16
2015-07,15
2015-08,13
2015-09,27
2015-10,35
2015-11,26
2015-12,24
2016-01,20
2016-02,35
2016-03,26
2016-04,26
2016-05,17
2016-06,14
2016-07,13
2016-08,11
2016-09,24
2016-10,33
2016-11,23
2016-12,20
2017-01,18
2017-02,35
2017-03,32
2017-04,26
2017-05,20
2017-06,16
2017-07,15
2017-08,10
2017-09,25
2017-10,38
2017-11,25
2017-12,21
2018-01,21
2018-02,39
2018-03,29
2018-04,27
2018-05,20
2018-06,15
2018-07,14
2018-08,14
2018-09,30
2018-10,35
2018-11,24
2018-12,21
2019-01,20
2019-02,33
2019-03,30
2019-04,24
2019-05,23
2019-06,14
2019-07,13
2019-08,10
2019-09,25
2019-10,33
2019-11,25
2019-12,19
2020-01,17
2020-02,32
2020-03,23
2020-04,26
2020-05,24
2020-06,16
2020-07,16
2020-08,13
2020-09,30
2020-10,40
2020-11,19
2020-12,14
2021-01,17
2021-02,32
2021-03,35
2021-04,25
2021-05,31
2021-06,27
2021-07,22
2021-08,18
2021-09,31
2021-10,44
2021-11,38
2021-12,35
2022-01,50
2022-02,75
2022-03,50
2022-04,79
2022-05,100
