Category: All categories

Month,cpi is: (United States)
2004-01,11
2004-02,18
2004-03,14
2004-04,17
2004-05,19
2004-06,6
2004-07,3
2004-08,12
2004-09,20
2004-10,18
2004-11,9
2004-12,13
2005-01,19
2005-02,22
2005-03,15
2005-04,19
2005-05,17
2005-06,9
2005-07,26
2005-08,6
2005-09,15
2005-10,30
2005-11,11
2005-12,17
2006-01,21
2006-02,17
2006-03,16
2006-04,12
2006-05,13
2006-06,15
2006-07,7
2006-08,8
2006-09,16
2006-10,13
2006-11,13
2006-12,12
2007-01,11
2007-02,15
2007-03,12
2007-04,12
2007-05,17
2007-06,14
2007-07,9
2007-08,8
2007-09,13
2007-10,18
2007-11,22
2007-12,15
2008-01,18
2008-02,21
2008-03,25
2008-04,27
2008-05,13
2008-06,22
2008-07,11
2008-08,13
2008-09,13
2008-10,28
2008-11,24
2008-12,17
2009-01,24
2009-02,25
2009-03,26
2009-04,26
2009-05,27
2009-06,19
2009-07,12
2009-08,15
2009-09,28
2009-10,28
2009-11,35
2009-12,25
2010-01,22
2010-02,25
2010-03,29
2010-04,28
2010-05,23
2010-06,22
2010-07,12
2010-08,16
2010-09,22
2010-10,33
2010-11,27
2010-12,24
2011-01,20
2011-02,40
2011-03,35
2011-04,40
2011-05,29
2011-06,27
2011-07,29
2011-08,17
2011-09,30
2011-10,36
2011-11,31
2011-12,24
2012-01,32
2012-02,38
2012-03,32
2012-04,41
2012-05,25
2012-06,23
2012-07,26
2012-08,20
2012-09,40
2012-10,44
2012-11,36
2012-12,40
2013-01,31
2013-02,49
2013-03,41
2013-04,59
2013-05,36
2013-06,26
2013-07,24
2013-08,21
2013-09,44
2013-10,51
2013-11,41
2013-12,27
2014-01,28
2014-02,58
2014-03,41
2014-04,45
2014-05,28
2014-06,26
2014-07,26
2014-08,24
2014-09,45
2014-10,50
2014-11,43
2014-12,34
2015-01,35
2015-02,50
2015-03,46
2015-04,49
2015-05,38
2015-06,26
2015-07,24
2015-08,20
2015-09,51
2015-10,65
2015-11,40
2015-12,35
2016-01,31
2016-02,64
2016-03,49
2016-04,42
2016-05,36
2016-06,30
2016-07,28
2016-08,21
2016-09,45
2016-10,53
2016-11,46
2016-12,39
2017-01,39
2017-02,64
2017-03,58
2017-04,45
2017-05,38
2017-06,34
2017-07,24
2017-08,25
2017-09,42
2017-10,68
2017-11,51
2017-12,37
2018-01,36
2018-02,72
2018-03,55
2018-04,54
2018-05,40
2018-06,35
2018-07,31
2018-08,32
2018-09,52
2018-10,69
2018-11,45
2018-12,39
2019-01,38
2019-02,60
2019-03,56
2019-04,58
2019-05,40
2019-06,37
2019-07,31
2019-08,27
2019-09,55
2019-10,64
2019-11,53
2019-12,39
2020-01,39
2020-02,65
2020-03,52
2020-04,56
2020-05,45
2020-06,39
2020-07,38
2020-08,35
2020-09,66
2020-10,82
2020-11,54
2020-12,40
2021-01,32
2021-02,69
2021-03,72
2021-04,56
2021-05,55
2021-06,51
2021-07,39
2021-08,39
2021-09,62
2021-10,81
2021-11,66
2021-12,59
2022-01,57
2022-02,94
2022-03,77
2022-04,86
2022-05,100
