Category: All categories

Month,cpi rate: (United States)
2004-01,16
2004-02,48
2004-03,15
2004-04,35
2004-05,35
2004-06,14
2004-07,4
2004-08,27
2004-09,32
2004-10,40
2004-11,30
2004-12,36
2005-01,18
2005-02,42
2005-03,24
2005-04,24
2005-05,34
2005-06,20
2005-07,29
2005-08,16
2005-09,26
2005-10,30
2005-11,31
2005-12,21
2006-01,16
2006-02,25
2006-03,29
2006-04,35
2006-05,24
2006-06,33
2006-07,10
2006-08,13
2006-09,24
2006-10,31
2006-11,36
2006-12,22
2007-01,25
2007-02,33
2007-03,25
2007-04,17
2007-05,19
2007-06,11
2007-07,17
2007-08,13
2007-09,15
2007-10,36
2007-11,28
2007-12,25
2008-01,37
2008-02,31
2008-03,32
2008-04,31
2008-05,23
2008-06,17
2008-07,18
2008-08,15
2008-09,31
2008-10,35
2008-11,24
2008-12,25
2009-01,29
2009-02,30
2009-03,30
2009-04,29
2009-05,26
2009-06,15
2009-07,19
2009-08,18
2009-09,27
2009-10,24
2009-11,39
2009-12,22
2010-01,35
2010-02,42
2010-03,30
2010-04,27
2010-05,25
2010-06,14
2010-07,16
2010-08,7
2010-09,24
2010-10,25
2010-11,26
2010-12,20
2011-01,21
2011-02,34
2011-03,29
2011-04,25
2011-05,23
2011-06,17
2011-07,15
2011-08,13
2011-09,20
2011-10,31
2011-11,19
2011-12,16
2012-01,21
2012-02,32
2012-03,25
2012-04,29
2012-05,19
2012-06,13
2012-07,15
2012-08,8
2012-09,29
2012-10,38
2012-11,22
2012-12,16
2013-01,23
2013-02,36
2013-03,29
2013-04,30
2013-05,22
2013-06,15
2013-07,11
2013-08,11
2013-09,24
2013-10,38
2013-11,21
2013-12,18
2014-01,19
2014-02,35
2014-03,32
2014-04,29
2014-05,22
2014-06,15
2014-07,15
2014-08,9
2014-09,27
2014-10,43
2014-11,27
2014-12,22
2015-01,23
2015-02,37
2015-03,31
2015-04,30
2015-05,22
2015-06,20
2015-07,17
2015-08,12
2015-09,35
2015-10,44
2015-11,32
2015-12,24
2016-01,23
2016-02,47
2016-03,32
2016-04,34
2016-05,21
2016-06,16
2016-07,13
2016-08,10
2016-09,34
2016-10,43
2016-11,26
2016-12,24
2017-01,24
2017-02,50
2017-03,42
2017-04,39
2017-05,22
2017-06,18
2017-07,15
2017-08,11
2017-09,31
2017-10,48
2017-11,28
2017-12,22
2018-01,23
2018-02,47
2018-03,34
2018-04,30
2018-05,25
2018-06,18
2018-07,18
2018-08,16
2018-09,35
2018-10,46
2018-11,28
2018-12,23
2019-01,24
2019-02,46
2019-03,38
2019-04,32
2019-05,30
2019-06,18
2019-07,18
2019-08,14
2019-09,39
2019-10,41
2019-11,29
2019-12,21
2020-01,22
2020-02,41
2020-03,34
2020-04,35
2020-05,31
2020-06,20
2020-07,17
2020-08,16
2020-09,42
2020-10,54
2020-11,30
2020-12,18
2021-01,19
2021-02,41
2021-03,42
2021-04,27
2021-05,28
2021-06,22
2021-07,18
2021-08,17
2021-09,40
2021-10,51
2021-11,36
2021-12,33
2022-01,53
2022-02,87
2022-03,49
2022-04,59
2022-05,100
