Category: All categories

Month,cpi: (United States)
2004-01,92
2004-02,78
2004-03,80
2004-04,89
2004-05,86
2004-06,76
2004-07,71
2004-08,84
2004-09,84
2004-10,74
2004-11,69
2004-12,75
2005-01,77
2005-02,85
2005-03,77
2005-04,79
2005-05,72
2005-06,73
2005-07,71
2005-08,71
2005-09,75
2005-10,75
2005-11,72
2005-12,67
2006-01,79
2006-02,75
2006-03,71
2006-04,67
2006-05,71
2006-06,73
2006-07,62
2006-08,69
2006-09,69
2006-10,70
2006-11,65
2006-12,60
2007-01,64
2007-02,69
2007-03,66
2007-04,62
2007-05,62
2007-06,63
2007-07,59
2007-08,54
2007-09,59
2007-10,72
2007-11,57
2007-12,59
2008-01,73
2008-02,62
2008-03,70
2008-04,73
2008-05,66
2008-06,66
2008-07,70
2008-08,60
2008-09,62
2008-10,71
2008-11,62
2008-12,56
2009-01,75
2009-02,69
2009-03,69
2009-04,66
2009-05,61
2009-06,61
2009-07,61
2009-08,56
2009-09,60
2009-10,64
2009-11,61
2009-12,57
2010-01,58
2010-02,64
2010-03,68
2010-04,64
2010-05,60
2010-06,57
2010-07,53
2010-08,52
2010-09,55
2010-10,62
2010-11,56
2010-12,50
2011-01,51
2011-02,59
2011-03,59
2011-04,59
2011-05,50
2011-06,51
2011-07,51
2011-08,51
2011-09,54
2011-10,58
2011-11,53
2011-12,45
2012-01,51
2012-02,56
2012-03,50
2012-04,52
2012-05,49
2012-06,47
2012-07,44
2012-08,45
2012-09,52
2012-10,55
2012-11,46
2012-12,52
2013-01,54
2013-02,59
2013-03,54
2013-04,73
2013-05,50
2013-06,46
2013-07,45
2013-08,44
2013-09,52
2013-10,57
2013-11,50
2013-12,43
2014-01,50
2014-02,58
2014-03,49
2014-04,51
2014-05,46
2014-06,46
2014-07,45
2014-08,44
2014-09,51
2014-10,55
2014-11,48
2014-12,47
2015-01,48
2015-02,57
2015-03,53
2015-04,52
2015-05,48
2015-06,48
2015-07,45
2015-08,46
2015-09,52
2015-10,59
2015-11,47
2015-12,44
2016-01,44
2016-02,54
2016-03,48
2016-04,47
2016-05,45
2016-06,43
2016-07,39
2016-08,41
2016-09,47
2016-10,48
2016-11,44
2016-12,41
2017-01,44
2017-02,51
2017-03,50
2017-04,45
2017-05,45
2017-06,43
2017-07,40
2017-08,43
2017-09,45
2017-10,52
2017-11,47
2017-12,42
2018-01,44
2018-02,59
2018-03,49
2018-04,47
2018-05,44
2018-06,41
2018-07,40
2018-08,44
2018-09,48
2018-10,53
2018-11,45
2018-12,41
2019-01,46
2019-02,51
2019-03,48
2019-04,48
2019-05,45
2019-06,43
2019-07,42
2019-08,43
2019-09,51
2019-10,49
2019-11,45
2019-12,40
2020-01,42
2020-02,48
2020-03,39
2020-04,35
2020-05,34
2020-06,49
2020-07,37
2020-08,38
2020-09,43
2020-10,46
2020-11,34
2020-12,32
2021-01,34
2021-02,43
2021-03,44
2021-04,43
2021-05,50
2021-06,52
2021-07,45
2021-08,43
2021-09,49
2021-10,54
2021-11,50
2021-12,51
2022-01,55
2022-02,75
2022-03,61
2022-04,67
2022-05,100
