Category: All categories

Month,current cpi: (United States)
2004-01,24
2004-02,71
2004-03,0
2004-04,46
2004-05,63
2004-06,0
2004-07,0
2004-08,60
2004-09,19
2004-10,58
2004-11,100
2004-12,53
2005-01,47
2005-02,82
2005-03,56
2005-04,48
2005-05,57
2005-06,29
2005-07,43
2005-08,14
2005-09,50
2005-10,47
2005-11,12
2005-12,46
2006-01,31
2006-02,21
2006-03,66
2006-04,40
2006-05,19
2006-06,49
2006-07,10
2006-08,9
2006-09,88
2006-10,89
2006-11,88
2006-12,32
2007-01,56
2007-02,67
2007-03,47
2007-04,27
2007-05,44
2007-06,40
2007-07,38
2007-08,30
2007-09,66
2007-10,32
2007-11,54
2007-12,50
2008-01,74
2008-02,56
2008-03,45
2008-04,44
2008-05,30
2008-06,73
2008-07,50
2008-08,39
2008-09,50
2008-10,63
2008-11,74
2008-12,50
2009-01,60
2009-02,27
2009-03,57
2009-04,66
2009-05,67
2009-06,34
2009-07,33
2009-08,45
2009-09,59
2009-10,45
2009-11,74
2009-12,34
2010-01,47
2010-02,52
2010-03,44
2010-04,39
2010-05,44
2010-06,30
2010-07,22
2010-08,28
2010-09,27
2010-10,53
2010-11,60
2010-12,43
2011-01,42
2011-02,75
2011-03,37
2011-04,50
2011-05,31
2011-06,36
2011-07,20
2011-08,39
2011-09,39
2011-10,52
2011-11,36
2011-12,28
2012-01,30
2012-02,45
2012-03,31
2012-04,35
2012-05,24
2012-06,22
2012-07,35
2012-08,20
2012-09,34
2012-10,47
2012-11,29
2012-12,25
2013-01,35
2013-02,42
2013-03,30
2013-04,47
2013-05,55
2013-06,27
2013-07,25
2013-08,26
2013-09,43
2013-10,34
2013-11,44
2013-12,23
2014-01,35
2014-02,61
2014-03,35
2014-04,32
2014-05,29
2014-06,23
2014-07,25
2014-08,11
2014-09,30
2014-10,56
2014-11,31
2014-12,33
2015-01,31
2015-02,42
2015-03,43
2015-04,45
2015-05,39
2015-06,27
2015-07,33
2015-08,18
2015-09,33
2015-10,43
2015-11,38
2015-12,26
2016-01,28
2016-02,55
2016-03,41
2016-04,31
2016-05,35
2016-06,31
2016-07,14
2016-08,22
2016-09,21
2016-10,49
2016-11,37
2016-12,28
2017-01,33
2017-02,51
2017-03,52
2017-04,25
2017-05,33
2017-06,25
2017-07,14
2017-08,25
2017-09,35
2017-10,53
2017-11,36
2017-12,22
2018-01,23
2018-02,45
2018-03,36
2018-04,46
2018-05,39
2018-06,39
2018-07,25
2018-08,33
2018-09,36
2018-10,30
2018-11,35
2018-12,32
2019-01,45
2019-02,38
2019-03,49
2019-04,49
2019-05,36
2019-06,33
2019-07,26
2019-08,31
2019-09,41
2019-10,42
2019-11,30
2019-12,26
2020-01,20
2020-02,30
2020-03,43
2020-04,25
2020-05,27
2020-06,32
2020-07,29
2020-08,25
2020-09,38
2020-10,39
2020-11,21
2020-12,16
2021-01,23
2021-02,42
2021-03,47
2021-04,32
2021-05,38
2021-06,42
2021-07,31
2021-08,32
2021-09,56
2021-10,51
2021-11,55
2021-12,58
2022-01,43
2022-02,73
2022-03,71
2022-04,71
2022-05,93
