Category: All categories

Month,current inflation rate: (United States)
2004-01,89
2004-02,39
2004-03,55
2004-04,42
2004-05,73
2004-06,57
2004-07,23
2004-08,45
2004-09,66
2004-10,64
2004-11,78
2004-12,55
2005-01,35
2005-02,67
2005-03,71
2005-04,62
2005-05,35
2005-06,42
2005-07,33
2005-08,25
2005-09,62
2005-10,60
2005-11,45
2005-12,56
2006-01,52
2006-02,39
2006-03,44
2006-04,55
2006-05,63
2006-06,50
2006-07,39
2006-08,31
2006-09,49
2006-10,53
2006-11,44
2006-12,44
2007-01,62
2007-02,50
2007-03,35
2007-04,51
2007-05,41
2007-06,42
2007-07,28
2007-08,38
2007-09,47
2007-10,37
2007-11,41
2007-12,50
2008-01,55
2008-02,64
2008-03,46
2008-04,54
2008-05,45
2008-06,44
2008-07,43
2008-08,32
2008-09,51
2008-10,63
2008-11,59
2008-12,35
2009-01,29
2009-02,42
2009-03,36
2009-04,51
2009-05,42
2009-06,16
2009-07,25
2009-08,29
2009-09,36
2009-10,35
2009-11,36
2009-12,31
2010-01,35
2010-02,43
2010-03,48
2010-04,37
2010-05,28
2010-06,25
2010-07,32
2010-08,20
2010-09,38
2010-10,32
2010-11,36
2010-12,29
2011-01,40
2011-02,33
2011-03,39
2011-04,48
2011-05,29
2011-06,26
2011-07,26
2011-08,30
2011-09,40
2011-10,43
2011-11,25
2011-12,29
2012-01,26
2012-02,40
2012-03,34
2012-04,39
2012-05,28
2012-06,25
2012-07,25
2012-08,26
2012-09,35
2012-10,43
2012-11,33
2012-12,30
2013-01,27
2013-02,35
2013-03,37
2013-04,34
2013-05,34
2013-06,34
2013-07,21
2013-08,27
2013-09,27
2013-10,34
2013-11,30
2013-12,31
2014-01,26
2014-02,36
2014-03,28
2014-04,33
2014-05,32
2014-06,25
2014-07,25
2014-08,16
2014-09,29
2014-10,36
2014-11,29
2014-12,30
2015-01,31
2015-02,40
2015-03,39
2015-04,36
2015-05,32
2015-06,23
2015-07,19
2015-08,23
2015-09,30
2015-10,36
2015-11,37
2015-12,30
2016-01,22
2016-02,36
2016-03,28
2016-04,30
2016-05,23
2016-06,19
2016-07,14
2016-08,19
2016-09,22
2016-10,32
2016-11,26
2016-12,22
2017-01,21
2017-02,38
2017-03,36
2017-04,37
2017-05,25
2017-06,20
2017-07,20
2017-08,20
2017-09,26
2017-10,39
2017-11,32
2017-12,25
2018-01,26
2018-02,39
2018-03,32
2018-04,39
2018-05,31
2018-06,26
2018-07,27
2018-08,26
2018-09,38
2018-10,42
2018-11,35
2018-12,31
2019-01,32
2019-02,36
2019-03,42
2019-04,37
2019-05,30
2019-06,22
2019-07,25
2019-08,25
2019-09,32
2019-10,42
2019-11,30
2019-12,32
2020-01,28
2020-02,35
2020-03,32
2020-04,32
2020-05,30
2020-06,24
2020-07,23
2020-08,25
2020-09,35
2020-10,36
2020-11,35
2020-12,24
2021-01,27
2021-02,34
2021-03,40
2021-04,41
2021-05,44
2021-06,40
2021-07,40
2021-08,34
2021-09,47
2021-10,65
2021-11,73
2021-12,68
2022-01,69
2022-02,76
2022-03,91
2022-04,89
2022-05,100
