Category: All categories

Month,current inflation: (United States)
2004-01,72
2004-02,48
2004-03,52
2004-04,47
2004-05,73
2004-06,51
2004-07,28
2004-08,47
2004-09,63
2004-10,55
2004-11,72
2004-12,59
2005-01,47
2005-02,62
2005-03,77
2005-04,71
2005-05,38
2005-06,42
2005-07,25
2005-08,26
2005-09,67
2005-10,59
2005-11,55
2005-12,60
2006-01,50
2006-02,50
2006-03,46
2006-04,59
2006-05,48
2006-06,54
2006-07,36
2006-08,29
2006-09,47
2006-10,60
2006-11,57
2006-12,43
2007-01,54
2007-02,51
2007-03,41
2007-04,58
2007-05,46
2007-06,49
2007-07,33
2007-08,38
2007-09,48
2007-10,44
2007-11,49
2007-12,49
2008-01,54
2008-02,64
2008-03,48
2008-04,61
2008-05,52
2008-06,45
2008-07,52
2008-08,39
2008-09,55
2008-10,69
2008-11,58
2008-12,44
2009-01,35
2009-02,50
2009-03,44
2009-04,60
2009-05,39
2009-06,17
2009-07,27
2009-08,33
2009-09,43
2009-10,40
2009-11,39
2009-12,36
2010-01,33
2010-02,39
2010-03,50
2010-04,40
2010-05,37
2010-06,26
2010-07,32
2010-08,23
2010-09,35
2010-10,34
2010-11,38
2010-12,31
2011-01,37
2011-02,35
2011-03,38
2011-04,53
2011-05,35
2011-06,24
2011-07,24
2011-08,29
2011-09,41
2011-10,43
2011-11,29
2011-12,31
2012-01,24
2012-02,39
2012-03,35
2012-04,39
2012-05,29
2012-06,24
2012-07,23
2012-08,27
2012-09,33
2012-10,42
2012-11,34
2012-12,30
2013-01,25
2013-02,35
2013-03,36
2013-04,36
2013-05,33
2013-06,31
2013-07,21
2013-08,25
2013-09,27
2013-10,34
2013-11,32
2013-12,33
2014-01,26
2014-02,34
2014-03,29
2014-04,34
2014-05,34
2014-06,27
2014-07,26
2014-08,20
2014-09,31
2014-10,36
2014-11,30
2014-12,31
2015-01,31
2015-02,38
2015-03,38
2015-04,40
2015-05,33
2015-06,23
2015-07,20
2015-08,23
2015-09,33
2015-10,37
2015-11,35
2015-12,32
2016-01,22
2016-02,34
2016-03,29
2016-04,35
2016-05,26
2016-06,18
2016-07,17
2016-08,18
2016-09,23
2016-10,32
2016-11,28
2016-12,26
2017-01,24
2017-02,38
2017-03,35
2017-04,37
2017-05,29
2017-06,18
2017-07,20
2017-08,18
2017-09,25
2017-10,39
2017-11,30
2017-12,25
2018-01,23
2018-02,42
2018-03,31
2018-04,41
2018-05,30
2018-06,25
2018-07,28
2018-08,27
2018-09,36
2018-10,39
2018-11,33
2018-12,31
2019-01,30
2019-02,34
2019-03,41
2019-04,40
2019-05,30
2019-06,23
2019-07,23
2019-08,23
2019-09,30
2019-10,38
2019-11,29
2019-12,31
2020-01,27
2020-02,37
2020-03,32
2020-04,36
2020-05,30
2020-06,23
2020-07,21
2020-08,24
2020-09,35
2020-10,36
2020-11,35
2020-12,25
2021-01,27
2021-02,36
2021-03,41
2021-04,42
2021-05,49
2021-06,44
2021-07,41
2021-08,35
2021-09,49
2021-10,69
2021-11,74
2021-12,72
2022-01,74
2022-02,78
2022-03,95
2022-04,89
2022-05,100
