Category: All categories

Month,disinflation: (United States)
2004-01,0
2004-02,0
2004-03,38
2004-04,29
2004-05,0
2004-06,53
2004-07,0
2004-08,25
2004-09,71
2004-10,24
2004-11,25
2004-12,22
2005-01,19
2005-02,20
2005-03,35
2005-04,80
2005-05,36
2005-06,73
2005-07,18
2005-08,17
2005-09,16
2005-10,15
2005-11,15
2005-12,14
2006-01,0
2006-02,26
2006-03,12
2006-04,12
2006-05,23
2006-06,37
2006-07,48
2006-08,11
2006-09,33
2006-10,0
2006-11,20
2006-12,10
2007-01,0
2007-02,19
2007-03,42
2007-04,25
2007-05,16
2007-06,17
2007-07,23
2007-08,7
2007-09,30
2007-10,20
2007-11,40
2007-12,28
2008-01,6
2008-02,13
2008-03,37
2008-04,24
2008-05,18
2008-06,13
2008-07,12
2008-08,6
2008-09,11
2008-10,52
2008-11,81
2008-12,40
2009-01,32
2009-02,67
2009-03,41
2009-04,51
2009-05,37
2009-06,11
2009-07,16
2009-08,25
2009-09,20
2009-10,19
2009-11,34
2009-12,19
2010-01,31
2010-02,46
2010-03,42
2010-04,48
2010-05,41
2010-06,51
2010-07,60
2010-08,100
2010-09,41
2010-10,40
2010-11,78
2010-12,60
2011-01,31
2011-02,21
2011-03,33
2011-04,59
2011-05,27
2011-06,25
2011-07,28
2011-08,28
2011-09,31
2011-10,39
2011-11,37
2011-12,42
2012-01,13
2012-02,38
2012-03,45
2012-04,59
2012-05,41
2012-06,22
2012-07,15
2012-08,13
2012-09,38
2012-10,47
2012-11,45
2012-12,23
2013-01,18
2013-02,37
2013-03,34
2013-04,60
2013-05,56
2013-06,21
2013-07,28
2013-08,24
2013-09,21
2013-10,52
2013-11,55
2013-12,60
2014-01,34
2014-02,42
2014-03,53
2014-04,58
2014-05,42
2014-06,37
2014-07,18
2014-08,21
2014-09,32
2014-10,64
2014-11,54
2014-12,66
2015-01,53
2015-02,67
2015-03,48
2015-04,70
2015-05,48
2015-06,30
2015-07,27
2015-08,17
2015-09,62
2015-10,67
2015-11,46
2015-12,54
2016-01,31
2016-02,54
2016-03,36
2016-04,68
2016-05,36
2016-06,25
2016-07,11
2016-08,11
2016-09,32
2016-10,40
2016-11,45
2016-12,46
2017-01,20
2017-02,51
2017-03,46
2017-04,45
2017-05,56
2017-06,13
2017-07,12
2017-08,21
2017-09,30
2017-10,54
2017-11,44
2017-12,38
2018-01,28
2018-02,42
2018-03,45
2018-04,54
2018-05,43
2018-06,23
2018-07,19
2018-08,16
2018-09,49
2018-10,50
2018-11,53
2018-12,37
2019-01,17
2019-02,40
2019-03,37
2019-04,55
2019-05,54
2019-06,19
2019-07,15
2019-08,4
2019-09,50
2019-10,57
2019-11,52
2019-12,38
2020-01,29
2020-02,78
2020-03,50
2020-04,76
2020-05,76
2020-06,21
2020-07,44
2020-08,28
2020-09,51
2020-10,51
2020-11,44
2020-12,40
2021-01,19
2021-02,44
2021-03,46
2021-04,48
2021-05,39
2021-06,29
2021-07,29
2021-08,30
2021-09,27
2021-10,36
2021-11,34
2021-12,40
2022-01,20
2022-02,51
2022-03,45
2022-04,58
2022-05,47
