Category: All categories

Month,dollar inflation: (United States)
2004-01,56
2004-02,34
2004-03,78
2004-04,60
2004-05,42
2004-06,43
2004-07,32
2004-08,29
2004-09,22
2004-10,34
2004-11,63
2004-12,36
2005-01,32
2005-02,47
2005-03,60
2005-04,88
2005-05,62
2005-06,51
2005-07,33
2005-08,35
2005-09,40
2005-10,48
2005-11,53
2005-12,50
2006-01,44
2006-02,37
2006-03,35
2006-04,100
2006-05,62
2006-06,37
2006-07,33
2006-08,46
2006-09,38
2006-10,54
2006-11,44
2006-12,60
2007-01,39
2007-02,41
2007-03,55
2007-04,65
2007-05,45
2007-06,36
2007-07,47
2007-08,33
2007-09,64
2007-10,99
2007-11,59
2007-12,61
2008-01,74
2008-02,75
2008-03,99
2008-04,88
2008-05,72
2008-06,72
2008-07,56
2008-08,50
2008-09,82
2008-10,74
2008-11,59
2008-12,66
2009-01,41
2009-02,73
2009-03,66
2009-04,58
2009-05,45
2009-06,54
2009-07,46
2009-08,38
2009-09,48
2009-10,78
2009-11,74
2009-12,53
2010-01,37
2010-02,50
2010-03,54
2010-04,56
2010-05,38
2010-06,39
2010-07,33
2010-08,35
2010-09,30
2010-10,48
2010-11,51
2010-12,46
2011-01,55
2011-02,57
2011-03,53
2011-04,78
2011-05,51
2011-06,43
2011-07,37
2011-08,42
2011-09,42
2011-10,44
2011-11,46
2011-12,46
2012-01,40
2012-02,49
2012-03,48
2012-04,53
2012-05,44
2012-06,44
2012-07,39
2012-08,31
2012-09,41
2012-10,48
2012-11,36
2012-12,51
2013-01,40
2013-02,45
2013-03,39
2013-04,46
2013-05,46
2013-06,36
2013-07,34
2013-08,35
2013-09,39
2013-10,49
2013-11,44
2013-12,49
2014-01,35
2014-02,37
2014-03,42
2014-04,45
2014-05,53
2014-06,26
2014-07,32
2014-08,23
2014-09,42
2014-10,54
2014-11,47
2014-12,47
2015-01,44
2015-02,45
2015-03,52
2015-04,57
2015-05,38
2015-06,32
2015-07,35
2015-08,31
2015-09,46
2015-10,46
2015-11,41
2015-12,49
2016-01,40
2016-02,55
2016-03,42
2016-04,54
2016-05,47
2016-06,33
2016-07,32
2016-08,25
2016-09,41
2016-10,38
2016-11,50
2016-12,57
2017-01,40
2017-02,57
2017-03,51
2017-04,59
2017-05,49
2017-06,25
2017-07,35
2017-08,32
2017-09,40
2017-10,53
2017-11,55
2017-12,56
2018-01,55
2018-02,58
2018-03,47
2018-04,57
2018-05,49
2018-06,38
2018-07,39
2018-08,42
2018-09,44
2018-10,53
2018-11,50
2018-12,50
2019-01,38
2019-02,49
2019-03,49
2019-04,58
2019-05,44
2019-06,31
2019-07,34
2019-08,35
2019-09,37
2019-10,51
2019-11,53
2019-12,46
2020-01,38
2020-02,54
2020-03,60
2020-04,74
2020-05,53
2020-06,43
2020-07,50
2020-08,49
2020-09,55
2020-10,54
2020-11,58
2020-12,60
2021-01,66
2021-02,72
2021-03,77
2021-04,72
2021-05,89
2021-06,57
2021-07,50
2021-08,45
2021-09,60
2021-10,76
2021-11,84
2021-12,76
2022-01,61
2022-02,75
2022-03,85
2022-04,79
2022-05,82
