Category: All categories

Month,euro inflation: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,37
2004-05,100
2004-06,68
2004-07,35
2004-08,0
2004-09,30
2004-10,0
2004-11,32
2004-12,57
2005-01,25
2005-02,52
2005-03,22
2005-04,25
2005-05,23
2005-06,23
2005-07,23
2005-08,0
2005-09,0
2005-10,0
2005-11,39
2005-12,18
2006-01,33
2006-02,50
2006-03,45
2006-04,95
2006-05,45
2006-06,16
2006-07,31
2006-08,14
2006-09,14
2006-10,39
2006-11,0
2006-12,38
2007-01,34
2007-02,0
2007-03,43
2007-04,22
2007-05,80
2007-06,11
2007-07,20
2007-08,19
2007-09,48
2007-10,77
2007-11,86
2007-12,36
2008-01,55
2008-02,89
2008-03,87
2008-04,62
2008-05,47
2008-06,83
2008-07,32
2008-08,47
2008-09,43
2008-10,67
2008-11,74
2008-12,51
2009-01,20
2009-02,50
2009-03,45
2009-04,59
2009-05,33
2009-06,14
2009-07,33
2009-08,26
2009-09,19
2009-10,30
2009-11,31
2009-12,36
2010-01,40
2010-02,47
2010-03,38
2010-04,45
2010-05,65
2010-06,77
2010-07,21
2010-08,20
2010-09,57
2010-10,19
2010-11,64
2010-12,41
2011-01,32
2011-02,31
2011-03,45
2011-04,54
2011-05,28
2011-06,25
2011-07,28
2011-08,23
2011-09,40
2011-10,50
2011-11,41
2011-12,36
2012-01,17
2012-02,52
2012-03,36
2012-04,41
2012-05,55
2012-06,46
2012-07,17
2012-08,8
2012-09,33
2012-10,38
2012-11,18
2012-12,20
2013-01,14
2013-02,30
2013-03,27
2013-04,58
2013-05,42
2013-06,15
2013-07,12
2013-08,7
2013-09,28
2013-10,11
2013-11,39
2013-12,23
2014-01,30
2014-02,30
2014-03,32
2014-04,62
2014-05,33
2014-06,42
2014-07,8
2014-08,10
2014-09,48
2014-10,28
2014-11,39
2014-12,39
2015-01,42
2015-02,37
2015-03,61
2015-04,65
2015-05,25
2015-06,23
2015-07,35
2015-08,27
2015-09,24
2015-10,25
2015-11,42
2015-12,32
2016-01,9
2016-02,47
2016-03,37
2016-04,45
2016-05,35
2016-06,36
2016-07,20
2016-08,10
2016-09,23
2016-10,23
2016-11,34
2016-12,23
2017-01,15
2017-02,33
2017-03,28
2017-04,45
2017-05,25
2017-06,25
2017-07,21
2017-08,27
2017-09,25
2017-10,36
2017-11,40
2017-12,19
2018-01,38
2018-02,32
2018-03,40
2018-04,48
2018-05,29
2018-06,28
2018-07,21
2018-08,14
2018-09,23
2018-10,24
2018-11,32
2018-12,19
2019-01,16
2019-02,32
2019-03,23
2019-04,36
2019-05,29
2019-06,19
2019-07,16
2019-08,10
2019-09,42
2019-10,23
2019-11,28
2019-12,31
2020-01,18
2020-02,28
2020-03,31
2020-04,41
2020-05,32
2020-06,24
2020-07,26
2020-08,26
2020-09,20
2020-10,32
2020-11,30
2020-12,32
2021-01,26
2021-02,33
2021-03,34
2021-04,51
2021-05,46
2021-06,47
2021-07,33
2021-08,8
2021-09,18
2021-10,27
2021-11,41
2021-12,48
2022-01,27
2022-02,51
2022-03,62
2022-04,55
2022-05,72
