Category: All categories

Month,fed inflation: (United States)
2004-01,5
2004-02,13
2004-03,0
2004-04,26
2004-05,20
2004-06,8
2004-07,8
2004-08,11
2004-09,4
2004-10,26
2004-11,11
2004-12,7
2005-01,24
2005-02,15
2005-03,16
2005-04,21
2005-05,16
2005-06,17
2005-07,16
2005-08,13
2005-09,12
2005-10,22
2005-11,16
2005-12,17
2006-01,17
2006-02,14
2006-03,12
2006-04,26
2006-05,16
2006-06,22
2006-07,24
2006-08,12
2006-09,22
2006-10,18
2006-11,29
2006-12,20
2007-01,13
2007-02,7
2007-03,9
2007-04,15
2007-05,9
2007-06,9
2007-07,15
2007-08,8
2007-09,19
2007-10,21
2007-11,24
2007-12,22
2008-01,16
2008-02,25
2008-03,32
2008-04,17
2008-05,19
2008-06,18
2008-07,15
2008-08,15
2008-09,10
2008-10,17
2008-11,15
2008-12,30
2009-01,12
2009-02,18
2009-03,19
2009-04,19
2009-05,16
2009-06,14
2009-07,6
2009-08,13
2009-09,10
2009-10,15
2009-11,23
2009-12,23
2010-01,11
2010-02,8
2010-03,15
2010-04,29
2010-05,15
2010-06,7
2010-07,8
2010-08,11
2010-09,10
2010-10,18
2010-11,26
2010-12,14
2011-01,12
2011-02,20
2011-03,18
2011-04,41
2011-05,21
2011-06,6
2011-07,9
2011-08,15
2011-09,10
2011-10,13
2011-11,17
2011-12,17
2012-01,8
2012-02,13
2012-03,16
2012-04,23
2012-05,14
2012-06,12
2012-07,9
2012-08,9
2012-09,14
2012-10,14
2012-11,20
2012-12,21
2013-01,7
2013-02,14
2013-03,16
2013-04,30
2013-05,21
2013-06,13
2013-07,8
2013-08,8
2013-09,15
2013-10,22
2013-11,21
2013-12,24
2014-01,12
2014-02,13
2014-03,15
2014-04,33
2014-05,26
2014-06,12
2014-07,13
2014-08,9
2014-09,10
2014-10,17
2014-11,22
2014-12,27
2015-01,10
2015-02,14
2015-03,21
2015-04,28
2015-05,18
2015-06,10
2015-07,14
2015-08,10
2015-09,20
2015-10,18
2015-11,35
2015-12,36
2016-01,13
2016-02,19
2016-03,21
2016-04,36
2016-05,28
2016-06,11
2016-07,13
2016-08,13
2016-09,14
2016-10,20
2016-11,29
2016-12,33
2017-01,11
2017-02,18
2017-03,25
2017-04,42
2017-05,29
2017-06,15
2017-07,15
2017-08,10
2017-09,16
2017-10,21
2017-11,36
2017-12,28
2018-01,14
2018-02,24
2018-03,26
2018-04,44
2018-05,27
2018-06,16
2018-07,16
2018-08,13
2018-09,13
2018-10,22
2018-11,34
2018-12,31
2019-01,15
2019-02,16
2019-03,22
2019-04,39
2019-05,25
2019-06,14
2019-07,20
2019-08,12
2019-09,14
2019-10,18
2019-11,30
2019-12,23
2020-01,15
2020-02,21
2020-03,29
2020-04,46
2020-05,33
2020-06,16
2020-07,20
2020-08,36
2020-09,27
2020-10,25
2020-11,35
2020-12,33
2021-01,17
2021-02,24
2021-03,34
2021-04,49
2021-05,53
2021-06,44
2021-07,30
2021-08,20
2021-09,23
2021-10,36
2021-11,58
2021-12,68
2022-01,53
2022-02,59
2022-03,57
2022-04,71
2022-05,100
