Category: All categories

Month,food inflation: (United States)
2004-01,8
2004-02,0
2004-03,10
2004-04,7
2004-05,0
2004-06,7
2004-07,14
2004-08,6
2004-09,19
2004-10,13
2004-11,7
2004-12,0
2005-01,5
2005-02,16
2005-03,5
2005-04,0
2005-05,9
2005-06,10
2005-07,14
2005-08,4
2005-09,0
2005-10,12
2005-11,0
2005-12,8
2006-01,7
2006-02,7
2006-03,9
2006-04,16
2006-05,21
2006-06,0
2006-07,0
2006-08,9
2006-09,12
2006-10,3
2006-11,5
2006-12,3
2007-01,2
2007-02,7
2007-03,11
2007-04,11
2007-05,8
2007-06,17
2007-07,12
2007-08,21
2007-09,16
2007-10,23
2007-11,25
2007-12,16
2008-01,19
2008-02,32
2008-03,50
2008-04,70
2008-05,69
2008-06,48
2008-07,28
2008-08,21
2008-09,21
2008-10,30
2008-11,15
2008-12,18
2009-01,21
2009-02,16
2009-03,15
2009-04,15
2009-05,3
2009-06,12
2009-07,14
2009-08,4
2009-09,10
2009-10,9
2009-11,13
2009-12,10
2010-01,9
2010-02,26
2010-03,19
2010-04,17
2010-05,26
2010-06,13
2010-07,13
2010-08,18
2010-09,16
2010-10,21
2010-11,100
2010-12,28
2011-01,61
2011-02,72
2011-03,49
2011-04,68
2011-05,38
2011-06,18
2011-07,17
2011-08,18
2011-09,22
2011-10,22
2011-11,22
2011-12,15
2012-01,22
2012-02,27
2012-03,23
2012-04,24
2012-05,14
2012-06,11
2012-07,20
2012-08,26
2012-09,32
2012-10,24
2012-11,22
2012-12,15
2013-01,17
2013-02,18
2013-03,22
2013-04,20
2013-05,18
2013-06,12
2013-07,8
2013-08,12
2013-09,15
2013-10,20
2013-11,13
2013-12,15
2014-01,12
2014-02,21
2014-03,16
2014-04,25
2014-05,20
2014-06,16
2014-07,12
2014-08,11
2014-09,23
2014-10,18
2014-11,15
2014-12,13
2015-01,17
2015-02,17
2015-03,17
2015-04,15
2015-05,17
2015-06,10
2015-07,14
2015-08,14
2015-09,17
2015-10,17
2015-11,12
2015-12,10
2016-01,13
2016-02,19
2016-03,14
2016-04,15
2016-05,14
2016-06,13
2016-07,9
2016-08,8
2016-09,9
2016-10,12
2016-11,13
2016-12,14
2017-01,10
2017-02,15
2017-03,15
2017-04,15
2017-05,15
2017-06,10
2017-07,8
2017-08,9
2017-09,12
2017-10,14
2017-11,13
2017-12,14
2018-01,11
2018-02,17
2018-03,11
2018-04,17
2018-05,12
2018-06,10
2018-07,11
2018-08,12
2018-09,11
2018-10,18
2018-11,12
2018-12,18
2019-01,11
2019-02,14
2019-03,17
2019-04,16
2019-05,15
2019-06,12
2019-07,8
2019-08,10
2019-09,17
2019-10,15
2019-11,11
2019-12,14
2020-01,12
2020-02,16
2020-03,15
2020-04,16
2020-05,16
2020-06,12
2020-07,12
2020-08,12
2020-09,18
2020-10,18
2020-11,15
2020-12,13
2021-01,18
2021-02,21
2021-03,25
2021-04,24
2021-05,42
2021-06,24
2021-07,26
2021-08,24
2021-09,36
2021-10,49
2021-11,46
2021-12,39
2022-01,46
2022-02,67
2022-03,76
2022-04,85
2022-05,84
