Category: All categories

Month,hyperinflation: (United States)
2004-01,10
2004-02,21
2004-03,8
2004-04,10
2004-05,16
2004-06,7
2004-07,10
2004-08,9
2004-09,10
2004-10,20
2004-11,14
2004-12,6
2005-01,20
2005-02,16
2005-03,12
2005-04,26
2005-05,6
2005-06,11
2005-07,11
2005-08,12
2005-09,14
2005-10,14
2005-11,13
2005-12,11
2006-01,16
2006-02,8
2006-03,12
2006-04,15
2006-05,14
2006-06,10
2006-07,5
2006-08,10
2006-09,15
2006-10,13
2006-11,13
2006-12,12
2007-01,7
2007-02,12
2007-03,15
2007-04,15
2007-05,14
2007-06,10
2007-07,14
2007-08,9
2007-09,20
2007-10,18
2007-11,19
2007-12,19
2008-01,17
2008-02,16
2008-03,26
2008-04,23
2008-05,19
2008-06,15
2008-07,21
2008-08,10
2008-09,34
2008-10,39
2008-11,42
2008-12,43
2009-01,42
2009-02,58
2009-03,51
2009-04,45
2009-05,36
2009-06,48
2009-07,28
2009-08,28
2009-09,29
2009-10,38
2009-11,31
2009-12,33
2010-01,27
2010-02,30
2010-03,39
2010-04,30
2010-05,28
2010-06,21
2010-07,23
2010-08,35
2010-09,24
2010-10,33
2010-11,52
2010-12,37
2011-01,35
2011-02,40
2011-03,42
2011-04,52
2011-05,31
2011-06,24
2011-07,28
2011-08,31
2011-09,22
2011-10,26
2011-11,30
2011-12,24
2012-01,22
2012-02,27
2012-03,22
2012-04,30
2012-05,21
2012-06,16
2012-07,16
2012-08,15
2012-09,28
2012-10,29
2012-11,27
2012-12,21
2013-01,20
2013-02,22
2013-03,27
2013-04,26
2013-05,22
2013-06,17
2013-07,11
2013-08,13
2013-09,20
2013-10,31
2013-11,21
2013-12,17
2014-01,16
2014-02,24
2014-03,22
2014-04,21
2014-05,21
2014-06,14
2014-07,11
2014-08,10
2014-09,20
2014-10,21
2014-11,19
2014-12,16
2015-01,16
2015-02,20
2015-03,23
2015-04,21
2015-05,22
2015-06,16
2015-07,15
2015-08,11
2015-09,15
2015-10,21
2015-11,23
2015-12,18
2016-01,18
2016-02,22
2016-03,21
2016-04,26
2016-05,21
2016-06,13
2016-07,10
2016-08,9
2016-09,13
2016-10,19
2016-11,23
2016-12,18
2017-01,15
2017-02,20
2017-03,24
2017-04,24
2017-05,18
2017-06,9
2017-07,9
2017-08,9
2017-09,17
2017-10,20
2017-11,24
2017-12,21
2018-01,18
2018-02,27
2018-03,26
2018-04,26
2018-05,23
2018-06,13
2018-07,13
2018-08,17
2018-09,23
2018-10,26
2018-11,24
2018-12,18
2019-01,20
2019-02,29
2019-03,29
2019-04,28
2019-05,24
2019-06,12
2019-07,13
2019-08,11
2019-09,19
2019-10,23
2019-11,23
2019-12,17
2020-01,18
2020-02,24
2020-03,41
2020-04,45
2020-05,30
2020-06,18
2020-07,21
2020-08,20
2020-09,18
2020-10,25
2020-11,18
2020-12,22
2021-01,23
2021-02,37
2021-03,34
2021-04,39
2021-05,55
2021-06,26
2021-07,20
2021-08,15
2021-09,19
2021-10,100
2021-11,33
2021-12,23
2022-01,21
2022-02,26
2022-03,30
2022-04,26
2022-05,30
