Category: All categories

Month,inflation and interest rates: (United States)
2004-01,10
2004-02,20
2004-03,13
2004-04,19
2004-05,26
2004-06,27
2004-07,46
2004-08,25
2004-09,0
2004-10,25
2004-11,25
2004-12,23
2005-01,7
2005-02,21
2005-03,35
2005-04,47
2005-05,42
2005-06,6
2005-07,12
2005-08,11
2005-09,21
2005-10,25
2005-11,20
2005-12,5
2006-01,17
2006-02,31
2006-03,24
2006-04,29
2006-05,20
2006-06,4
2006-07,20
2006-08,11
2006-09,30
2006-10,31
2006-11,13
2006-12,20
2007-01,24
2007-02,25
2007-03,14
2007-04,32
2007-05,24
2007-06,6
2007-07,24
2007-08,10
2007-09,25
2007-10,23
2007-11,14
2007-12,14
2008-01,14
2008-02,21
2008-03,15
2008-04,35
2008-05,21
2008-06,24
2008-07,13
2008-08,23
2008-09,23
2008-10,23
2008-11,27
2008-12,17
2009-01,16
2009-02,30
2009-03,15
2009-04,23
2009-05,18
2009-06,14
2009-07,16
2009-08,16
2009-09,27
2009-10,25
2009-11,18
2009-12,14
2010-01,17
2010-02,19
2010-03,31
2010-04,30
2010-05,14
2010-06,14
2010-07,15
2010-08,14
2010-09,14
2010-10,35
2010-11,42
2010-12,24
2011-01,24
2011-02,33
2011-03,27
2011-04,38
2011-05,28
2011-06,20
2011-07,20
2011-08,22
2011-09,30
2011-10,43
2011-11,22
2011-12,27
2012-01,21
2012-02,36
2012-03,30
2012-04,40
2012-05,25
2012-06,17
2012-07,19
2012-08,13
2012-09,21
2012-10,39
2012-11,31
2012-12,34
2013-01,22
2013-02,31
2013-03,26
2013-04,31
2013-05,31
2013-06,34
2013-07,17
2013-08,10
2013-09,25
2013-10,39
2013-11,42
2013-12,37
2014-01,21
2014-02,39
2014-03,28
2014-04,42
2014-05,34
2014-06,25
2014-07,19
2014-08,16
2014-09,24
2014-10,40
2014-11,37
2014-12,41
2015-01,24
2015-02,38
2015-03,45
2015-04,45
2015-05,33
2015-06,21
2015-07,17
2015-08,14
2015-09,34
2015-10,44
2015-11,51
2015-12,36
2016-01,24
2016-02,57
2016-03,48
2016-04,52
2016-05,36
2016-06,26
2016-07,22
2016-08,18
2016-09,31
2016-10,43
2016-11,59
2016-12,44
2017-01,24
2017-02,58
2017-03,54
2017-04,57
2017-05,38
2017-06,25
2017-07,26
2017-08,17
2017-09,34
2017-10,51
2017-11,48
2017-12,42
2018-01,24
2018-02,64
2018-03,55
2018-04,70
2018-05,38
2018-06,30
2018-07,27
2018-08,16
2018-09,43
2018-10,57
2018-11,54
2018-12,43
2019-01,21
2019-02,57
2019-03,47
2019-04,60
2019-05,35
2019-06,27
2019-07,22
2019-08,12
2019-09,33
2019-10,49
2019-11,45
2019-12,34
2020-01,26
2020-02,57
2020-03,57
2020-04,80
2020-05,57
2020-06,31
2020-07,33
2020-08,26
2020-09,56
2020-10,78
2020-11,73
2020-12,44
2021-01,28
2021-02,70
2021-03,80
2021-04,82
2021-05,68
2021-06,39
2021-07,30
2021-08,21
2021-09,49
2021-10,87
2021-11,82
2021-12,68
2022-01,62
2022-02,75
2022-03,81
2022-04,83
2022-05,100
