Category: All categories

Month,inflation expectations: (United States)
2004-01,23
2004-02,0
2004-03,0
2004-04,21
2004-05,0
2004-06,100
2004-07,0
2004-08,0
2004-09,18
2004-10,36
2004-11,19
2004-12,33
2005-01,0
2005-02,31
2005-03,39
2005-04,15
2005-05,13
2005-06,14
2005-07,0
2005-08,0
2005-09,24
2005-10,11
2005-11,23
2005-12,32
2006-01,10
2006-02,10
2006-03,18
2006-04,28
2006-05,0
2006-06,28
2006-07,9
2006-08,0
2006-09,16
2006-10,8
2006-11,45
2006-12,8
2007-01,13
2007-02,14
2007-03,19
2007-04,0
2007-05,12
2007-06,12
2007-07,12
2007-08,17
2007-09,0
2007-10,10
2007-11,20
2007-12,5
2008-01,0
2008-02,24
2008-03,23
2008-04,27
2008-05,37
2008-06,44
2008-07,28
2008-08,23
2008-09,17
2008-10,23
2008-11,22
2008-12,13
2009-01,12
2009-02,13
2009-03,8
2009-04,27
2009-05,8
2009-06,28
2009-07,23
2009-08,4
2009-09,11
2009-10,32
2009-11,25
2009-12,14
2010-01,17
2010-02,21
2010-03,29
2010-04,36
2010-05,10
2010-06,7
2010-07,6
2010-08,20
2010-09,6
2010-10,22
2010-11,27
2010-12,19
2011-01,13
2011-02,20
2011-03,18
2011-04,51
2011-05,31
2011-06,19
2011-07,23
2011-08,14
2011-09,18
2011-10,29
2011-11,35
2011-12,30
2012-01,5
2012-02,15
2012-03,18
2012-04,33
2012-05,11
2012-06,12
2012-07,13
2012-08,16
2012-09,19
2012-10,24
2012-11,23
2012-12,34
2013-01,11
2013-02,28
2013-03,20
2013-04,29
2013-05,23
2013-06,24
2013-07,11
2013-08,8
2013-09,15
2013-10,22
2013-11,32
2013-12,24
2014-01,15
2014-02,19
2014-03,33
2014-04,39
2014-05,24
2014-06,12
2014-07,18
2014-08,4
2014-09,16
2014-10,27
2014-11,36
2014-12,27
2015-01,15
2015-02,28
2015-03,31
2015-04,56
2015-05,23
2015-06,6
2015-07,15
2015-08,10
2015-09,18
2015-10,39
2015-11,44
2015-12,32
2016-01,19
2016-02,30
2016-03,40
2016-04,52
2016-05,21
2016-06,16
2016-07,22
2016-08,11
2016-09,23
2016-10,28
2016-11,54
2016-12,37
2017-01,18
2017-02,39
2017-03,39
2017-04,56
2017-05,38
2017-06,21
2017-07,21
2017-08,15
2017-09,26
2017-10,47
2017-11,39
2017-12,30
2018-01,10
2018-02,33
2018-03,29
2018-04,79
2018-05,32
2018-06,11
2018-07,23
2018-08,12
2018-09,22
2018-10,45
2018-11,44
2018-12,30
2019-01,14
2019-02,41
2019-03,33
2019-04,40
2019-05,31
2019-06,23
2019-07,17
2019-08,11
2019-09,25
2019-10,41
2019-11,46
2019-12,24
2020-01,17
2020-02,26
2020-03,37
2020-04,51
2020-05,40
2020-06,21
2020-07,29
2020-08,15
2020-09,32
2020-10,45
2020-11,60
2020-12,43
2021-01,20
2021-02,53
2021-03,57
2021-04,70
2021-05,55
2021-06,26
2021-07,32
2021-08,30
2021-09,31
2021-10,69
2021-11,68
2021-12,51
2022-01,33
2022-02,53
2022-03,49
2022-04,82
2022-05,58
