Category: All categories

Month,inflation in economics: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,35
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,15
2004-10,0
2004-11,15
2004-12,14
2005-01,0
2005-02,38
2005-03,11
2005-04,37
2005-05,0
2005-06,0
2005-07,0
2005-08,11
2005-09,29
2005-10,18
2005-11,28
2005-12,9
2006-01,8
2006-02,8
2006-03,7
2006-04,8
2006-05,22
2006-06,15
2006-07,15
2006-08,0
2006-09,0
2006-10,12
2006-11,0
2006-12,6
2007-01,22
2007-02,17
2007-03,5
2007-04,16
2007-05,19
2007-06,0
2007-07,10
2007-08,14
2007-09,0
2007-10,12
2007-11,17
2007-12,13
2008-01,15
2008-02,24
2008-03,15
2008-04,19
2008-05,4
2008-06,12
2008-07,15
2008-08,4
2008-09,17
2008-10,13
2008-11,4
2008-12,14
2009-01,13
2009-02,17
2009-03,28
2009-04,22
2009-05,32
2009-06,13
2009-07,6
2009-08,13
2009-09,9
2009-10,9
2009-11,33
2009-12,23
2010-01,11
2010-02,29
2010-03,29
2010-04,22
2010-05,34
2010-06,15
2010-07,13
2010-08,12
2010-09,21
2010-10,11
2010-11,18
2010-12,24
2011-01,14
2011-02,24
2011-03,20
2011-04,25
2011-05,31
2011-06,23
2011-07,9
2011-08,24
2011-09,29
2011-10,27
2011-11,25
2011-12,34
2012-01,22
2012-02,27
2012-03,32
2012-04,46
2012-05,43
2012-06,21
2012-07,14
2012-08,22
2012-09,40
2012-10,30
2012-11,39
2012-12,37
2013-01,32
2013-02,40
2013-03,33
2013-04,48
2013-05,41
2013-06,21
2013-07,12
2013-08,14
2013-09,43
2013-10,33
2013-11,40
2013-12,42
2014-01,45
2014-02,40
2014-03,52
2014-04,55
2014-05,33
2014-06,29
2014-07,25
2014-08,20
2014-09,43
2014-10,42
2014-11,49
2014-12,78
2015-01,47
2015-02,64
2015-03,61
2015-04,71
2015-05,41
2015-06,34
2015-07,23
2015-08,16
2015-09,35
2015-10,63
2015-11,55
2015-12,66
2016-01,38
2016-02,55
2016-03,57
2016-04,67
2016-05,50
2016-06,20
2016-07,15
2016-08,21
2016-09,38
2016-10,58
2016-11,68
2016-12,58
2017-01,51
2017-02,57
2017-03,66
2017-04,66
2017-05,64
2017-06,24
2017-07,14
2017-08,29
2017-09,31
2017-10,61
2017-11,68
2017-12,69
2018-01,48
2018-02,58
2018-03,59
2018-04,84
2018-05,75
2018-06,40
2018-07,31
2018-08,18
2018-09,48
2018-10,71
2018-11,78
2018-12,67
2019-01,51
2019-02,60
2019-03,58
2019-04,90
2019-05,64
2019-06,30
2019-07,27
2019-08,25
2019-09,55
2019-10,76
2019-11,66
2019-12,70
2020-01,41
2020-02,77
2020-03,57
2020-04,86
2020-05,73
2020-06,36
2020-07,31
2020-08,34
2020-09,83
2020-10,94
2020-11,75
2020-12,59
2021-01,40
2021-02,95
2021-03,100
2021-04,82
2021-05,74
2021-06,51
2021-07,43
2021-08,30
2021-09,66
2021-10,77
2021-11,78
2021-12,62
2022-01,73
2022-02,61
2022-03,80
2022-04,88
2022-05,88
