Category: All categories

Month,inflation index: (United States)
2004-01,100
2004-02,81
2004-03,60
2004-04,82
2004-05,90
2004-06,86
2004-07,38
2004-08,48
2004-09,46
2004-10,75
2004-11,63
2004-12,53
2005-01,65
2005-02,73
2005-03,50
2005-04,57
2005-05,39
2005-06,48
2005-07,37
2005-08,29
2005-09,50
2005-10,39
2005-11,52
2005-12,46
2006-01,60
2006-02,50
2006-03,55
2006-04,62
2006-05,49
2006-06,53
2006-07,44
2006-08,39
2006-09,56
2006-10,54
2006-11,46
2006-12,38
2007-01,41
2007-02,53
2007-03,43
2007-04,43
2007-05,45
2007-06,27
2007-07,46
2007-08,39
2007-09,37
2007-10,46
2007-11,51
2007-12,43
2008-01,55
2008-02,54
2008-03,63
2008-04,56
2008-05,43
2008-06,50
2008-07,46
2008-08,39
2008-09,39
2008-10,64
2008-11,40
2008-12,36
2009-01,42
2009-02,47
2009-03,31
2009-04,45
2009-05,37
2009-06,36
2009-07,34
2009-08,19
2009-09,39
2009-10,43
2009-11,40
2009-12,39
2010-01,31
2010-02,44
2010-03,47
2010-04,33
2010-05,30
2010-06,22
2010-07,20
2010-08,21
2010-09,24
2010-10,35
2010-11,34
2010-12,23
2011-01,28
2011-02,40
2011-03,39
2011-04,46
2011-05,30
2011-06,25
2011-07,24
2011-08,26
2011-09,34
2011-10,32
2011-11,30
2011-12,24
2012-01,21
2012-02,35
2012-03,28
2012-04,35
2012-05,29
2012-06,21
2012-07,25
2012-08,17
2012-09,33
2012-10,38
2012-11,27
2012-12,22
2013-01,29
2013-02,34
2013-03,34
2013-04,38
2013-05,29
2013-06,20
2013-07,17
2013-08,15
2013-09,26
2013-10,32
2013-11,30
2013-12,25
2014-01,27
2014-02,37
2014-03,34
2014-04,34
2014-05,24
2014-06,24
2014-07,25
2014-08,18
2014-09,27
2014-10,37
2014-11,28
2014-12,31
2015-01,23
2015-02,33
2015-03,34
2015-04,35
2015-05,26
2015-06,24
2015-07,21
2015-08,18
2015-09,33
2015-10,37
2015-11,31
2015-12,27
2016-01,22
2016-02,35
2016-03,30
2016-04,34
2016-05,24
2016-06,16
2016-07,16
2016-08,18
2016-09,27
2016-10,31
2016-11,25
2016-12,24
2017-01,24
2017-02,35
2017-03,36
2017-04,30
2017-05,22
2017-06,18
2017-07,16
2017-08,16
2017-09,28
2017-10,39
2017-11,26
2017-12,24
2018-01,27
2018-02,42
2018-03,31
2018-04,32
2018-05,24
2018-06,18
2018-07,19
2018-08,16
2018-09,30
2018-10,38
2018-11,30
2018-12,22
2019-01,21
2019-02,33
2019-03,31
2019-04,28
2019-05,25
2019-06,16
2019-07,17
2019-08,16
2019-09,26
2019-10,35
2019-11,28
2019-12,21
2020-01,20
2020-02,30
2020-03,26
2020-04,30
2020-05,26
2020-06,20
2020-07,20
2020-08,18
2020-09,30
2020-10,42
2020-11,25
2020-12,20
2021-01,18
2021-02,37
2021-03,43
2021-04,33
2021-05,40
2021-06,29
2021-07,25
2021-08,20
2021-09,32
2021-10,41
2021-11,47
2021-12,36
2022-01,36
2022-02,44
2022-03,43
2022-04,44
2022-05,53
