Category: All categories

Month,inflation is: (United States)
2004-01,9
2004-02,8
2004-03,14
2004-04,11
2004-05,8
2004-06,11
2004-07,8
2004-08,8
2004-09,6
2004-10,9
2004-11,10
2004-12,7
2005-01,7
2005-02,16
2005-03,12
2005-04,15
2005-05,13
2005-06,8
2005-07,8
2005-08,7
2005-09,12
2005-10,13
2005-11,14
2005-12,11
2006-01,8
2006-02,11
2006-03,9
2006-04,16
2006-05,12
2006-06,11
2006-07,6
2006-08,5
2006-09,6
2006-10,8
2006-11,8
2006-12,11
2007-01,8
2007-02,12
2007-03,10
2007-04,10
2007-05,8
2007-06,10
2007-07,6
2007-08,9
2007-09,10
2007-10,12
2007-11,13
2007-12,12
2008-01,11
2008-02,14
2008-03,16
2008-04,18
2008-05,13
2008-06,18
2008-07,13
2008-08,12
2008-09,16
2008-10,19
2008-11,17
2008-12,13
2009-01,13
2009-02,19
2009-03,20
2009-04,19
2009-05,18
2009-06,16
2009-07,11
2009-08,10
2009-09,16
2009-10,17
2009-11,18
2009-12,17
2010-01,14
2010-02,19
2010-03,19
2010-04,22
2010-05,20
2010-06,13
2010-07,11
2010-08,11
2010-09,14
2010-10,18
2010-11,23
2010-12,19
2011-01,18
2011-02,23
2011-03,23
2011-04,28
2011-05,23
2011-06,17
2011-07,16
2011-08,14
2011-09,22
2011-10,24
2011-11,25
2011-12,21
2012-01,19
2012-02,25
2012-03,24
2012-04,26
2012-05,22
2012-06,16
2012-07,16
2012-08,15
2012-09,24
2012-10,31
2012-11,27
2012-12,22
2013-01,19
2013-02,27
2013-03,27
2013-04,33
2013-05,28
2013-06,18
2013-07,15
2013-08,14
2013-09,23
2013-10,31
2013-11,30
2013-12,27
2014-01,20
2014-02,30
2014-03,31
2014-04,36
2014-05,30
2014-06,19
2014-07,17
2014-08,14
2014-09,25
2014-10,32
2014-11,32
2014-12,29
2015-01,23
2015-02,32
2015-03,33
2015-04,39
2015-05,29
2015-06,18
2015-07,17
2015-08,14
2015-09,30
2015-10,35
2015-11,34
2015-12,33
2016-01,23
2016-02,37
2016-03,36
2016-04,40
2016-05,30
2016-06,17
2016-07,16
2016-08,14
2016-09,25
2016-10,35
2016-11,36
2016-12,33
2017-01,23
2017-02,39
2017-03,39
2017-04,43
2017-05,34
2017-06,19
2017-07,18
2017-08,15
2017-09,27
2017-10,39
2017-11,41
2017-12,33
2018-01,25
2018-02,45
2018-03,38
2018-04,48
2018-05,34
2018-06,21
2018-07,21
2018-08,17
2018-09,33
2018-10,44
2018-11,40
2018-12,32
2019-01,26
2019-02,41
2019-03,42
2019-04,47
2019-05,37
2019-06,22
2019-07,21
2019-08,18
2019-09,31
2019-10,41
2019-11,40
2019-12,32
2020-01,27
2020-02,41
2020-03,42
2020-04,54
2020-05,42
2020-06,24
2020-07,28
2020-08,25
2020-09,44
2020-10,53
2020-11,45
2020-12,38
2021-01,33
2021-02,51
2021-03,57
2021-04,59
2021-05,64
2021-06,44
2021-07,36
2021-08,29
2021-09,44
2021-10,66
2021-11,79
2021-12,63
2022-01,62
2022-02,79
2022-03,80
2022-04,80
2022-05,100
