Category: All categories

Month,inflation meaning: (United States)
2004-01,0
2004-02,15
2004-03,0
2004-04,7
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,6
2004-10,6
2004-11,6
2004-12,6
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,5
2005-07,0
2005-08,0
2005-09,0
2005-10,4
2005-11,4
2005-12,4
2006-01,3
2006-02,7
2006-03,3
2006-04,3
2006-05,9
2006-06,3
2006-07,0
2006-08,0
2006-09,3
2006-10,0
2006-11,3
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,2
2007-05,0
2007-06,2
2007-07,2
2007-08,2
2007-09,0
2007-10,10
2007-11,5
2007-12,5
2008-01,3
2008-02,3
2008-03,3
2008-04,5
2008-05,8
2008-06,13
2008-07,5
2008-08,2
2008-09,13
2008-10,4
2008-11,1
2008-12,6
2009-01,4
2009-02,9
2009-03,5
2009-04,5
2009-05,8
2009-06,3
2009-07,5
2009-08,3
2009-09,2
2009-10,9
2009-11,10
2009-12,2
2010-01,2
2010-02,4
2010-03,4
2010-04,14
2010-05,5
2010-06,4
2010-07,5
2010-08,4
2010-09,3
2010-10,6
2010-11,3
2010-12,6
2011-01,3
2011-02,8
2011-03,5
2011-04,8
2011-05,3
2011-06,6
2011-07,3
2011-08,5
2011-09,1
2011-10,6
2011-11,6
2011-12,4
2012-01,2
2012-02,5
2012-03,8
2012-04,5
2012-05,4
2012-06,5
2012-07,6
2012-08,4
2012-09,10
2012-10,10
2012-11,7
2012-12,6
2013-01,4
2013-02,8
2013-03,8
2013-04,8
2013-05,8
2013-06,4
2013-07,5
2013-08,4
2013-09,6
2013-10,11
2013-11,10
2013-12,7
2014-01,8
2014-02,7
2014-03,11
2014-04,9
2014-05,9
2014-06,8
2014-07,10
2014-08,10
2014-09,13
2014-10,13
2014-11,16
2014-12,10
2015-01,13
2015-02,15
2015-03,13
2015-04,15
2015-05,15
2015-06,9
2015-07,6
2015-08,9
2015-09,19
2015-10,17
2015-11,16
2015-12,12
2016-01,10
2016-02,14
2016-03,13
2016-04,18
2016-05,20
2016-06,10
2016-07,8
2016-08,10
2016-09,18
2016-10,20
2016-11,18
2016-12,14
2017-01,12
2017-02,22
2017-03,16
2017-04,17
2017-05,17
2017-06,9
2017-07,10
2017-08,13
2017-09,20
2017-10,20
2017-11,21
2017-12,19
2018-01,15
2018-02,19
2018-03,20
2018-04,23
2018-05,19
2018-06,9
2018-07,14
2018-08,17
2018-09,24
2018-10,24
2018-11,23
2018-12,19
2019-01,19
2019-02,23
2019-03,28
2019-04,28
2019-05,26
2019-06,12
2019-07,14
2019-08,16
2019-09,26
2019-10,24
2019-11,25
2019-12,22
2020-01,22
2020-02,28
2020-03,30
2020-04,38
2020-05,31
2020-06,24
2020-07,19
2020-08,23
2020-09,42
2020-10,43
2020-11,35
2020-12,30
2021-01,37
2021-02,49
2021-03,54
2021-04,43
2021-05,70
2021-06,56
2021-07,40
2021-08,43
2021-09,45
2021-10,63
2021-11,82
2021-12,67
2022-01,76
2022-02,81
2022-03,86
2022-04,80
2022-05,100
