Category: All categories

Month,inflation rate: (United States)
2004-01,65
2004-02,50
2004-03,63
2004-04,64
2004-05,46
2004-06,43
2004-07,38
2004-08,35
2004-09,48
2004-10,51
2004-11,62
2004-12,53
2005-01,46
2005-02,62
2005-03,52
2005-04,50
2005-05,39
2005-06,38
2005-07,36
2005-08,35
2005-09,46
2005-10,50
2005-11,50
2005-12,44
2006-01,50
2006-02,51
2006-03,46
2006-04,53
2006-05,43
2006-06,42
2006-07,35
2006-08,34
2006-09,46
2006-10,48
2006-11,46
2006-12,47
2007-01,46
2007-02,48
2007-03,41
2007-04,47
2007-05,43
2007-06,37
2007-07,36
2007-08,34
2007-09,43
2007-10,46
2007-11,47
2007-12,42
2008-01,54
2008-02,54
2008-03,50
2008-04,55
2008-05,43
2008-06,41
2008-07,38
2008-08,34
2008-09,45
2008-10,53
2008-11,45
2008-12,36
2009-01,35
2009-02,38
2009-03,44
2009-04,43
2009-05,34
2009-06,29
2009-07,26
2009-08,25
2009-09,32
2009-10,42
2009-11,40
2009-12,34
2010-01,33
2010-02,40
2010-03,43
2010-04,39
2010-05,29
2010-06,24
2010-07,24
2010-08,19
2010-09,27
2010-10,36
2010-11,36
2010-12,31
2011-01,33
2011-02,38
2011-03,35
2011-04,41
2011-05,31
2011-06,24
2011-07,26
2011-08,24
2011-09,32
2011-10,37
2011-11,33
2011-12,29
2012-01,26
2012-02,41
2012-03,34
2012-04,39
2012-05,28
2012-06,24
2012-07,22
2012-08,23
2012-09,35
2012-10,39
2012-11,34
2012-12,30
2013-01,30
2013-02,38
2013-03,35
2013-04,40
2013-05,32
2013-06,24
2013-07,21
2013-08,21
2013-09,31
2013-10,39
2013-11,35
2013-12,32
2014-01,28
2014-02,40
2014-03,38
2014-04,41
2014-05,34
2014-06,24
2014-07,24
2014-08,21
2014-09,32
2014-10,39
2014-11,36
2014-12,33
2015-01,31
2015-02,43
2015-03,41
2015-04,43
2015-05,34
2015-06,25
2015-07,22
2015-08,22
2015-09,36
2015-10,41
2015-11,38
2015-12,35
2016-01,26
2016-02,41
2016-03,39
2016-04,42
2016-05,30
2016-06,20
2016-07,18
2016-08,19
2016-09,30
2016-10,38
2016-11,37
2016-12,33
2017-01,27
2017-02,46
2017-03,43
2017-04,46
2017-05,34
2017-06,24
2017-07,23
2017-08,21
2017-09,31
2017-10,44
2017-11,40
2017-12,32
2018-01,32
2018-02,48
2018-03,41
2018-04,48
2018-05,36
2018-06,25
2018-07,27
2018-08,26
2018-09,40
2018-10,49
2018-11,40
2018-12,36
2019-01,33
2019-02,47
2019-03,49
2019-04,50
2019-05,37
2019-06,26
2019-07,27
2019-08,25
2019-09,35
2019-10,45
2019-11,42
2019-12,38
2020-01,33
2020-02,49
2020-03,39
2020-04,44
2020-05,38
2020-06,25
2020-07,27
2020-08,25
2020-09,38
2020-10,45
2020-11,38
2020-12,32
2021-01,30
2021-02,45
2021-03,47
2021-04,47
2021-05,48
2021-06,35
2021-07,33
2021-08,30
2021-09,44
2021-10,61
2021-11,71
2021-12,65
2022-01,70
2022-02,80
2022-03,76
2022-04,80
2022-05,100
