Category: All categories

Month,inflation risk: (United States)
2004-01,16
2004-02,15
2004-03,58
2004-04,59
2004-05,14
2004-06,14
2004-07,43
2004-08,26
2004-09,24
2004-10,38
2004-11,13
2004-12,0
2005-01,50
2005-02,0
2005-03,27
2005-04,41
2005-05,28
2005-06,28
2005-07,19
2005-08,0
2005-09,33
2005-10,38
2005-11,39
2005-12,22
2006-01,20
2006-02,20
2006-03,18
2006-04,38
2006-05,12
2006-06,6
2006-07,6
2006-08,0
2006-09,6
2006-10,21
2006-11,15
2006-12,16
2007-01,18
2007-02,14
2007-03,22
2007-04,31
2007-05,20
2007-06,26
2007-07,28
2007-08,23
2007-09,23
2007-10,24
2007-11,28
2007-12,32
2008-01,28
2008-02,23
2008-03,22
2008-04,38
2008-05,19
2008-06,27
2008-07,32
2008-08,16
2008-09,41
2008-10,49
2008-11,30
2008-12,29
2009-01,33
2009-02,32
2009-03,34
2009-04,27
2009-05,41
2009-06,33
2009-07,13
2009-08,13
2009-09,31
2009-10,36
2009-11,45
2009-12,24
2010-01,39
2010-02,46
2010-03,35
2010-04,38
2010-05,45
2010-06,33
2010-07,37
2010-08,32
2010-09,38
2010-10,40
2010-11,46
2010-12,29
2011-01,19
2011-02,50
2011-03,50
2011-04,57
2011-05,30
2011-06,36
2011-07,30
2011-08,25
2011-09,29
2011-10,34
2011-11,37
2011-12,35
2012-01,30
2012-02,59
2012-03,40
2012-04,43
2012-05,30
2012-06,31
2012-07,31
2012-08,18
2012-09,39
2012-10,57
2012-11,54
2012-12,33
2013-01,28
2013-02,48
2013-03,48
2013-04,50
2013-05,40
2013-06,39
2013-07,23
2013-08,18
2013-09,41
2013-10,46
2013-11,44
2013-12,43
2014-01,29
2014-02,47
2014-03,37
2014-04,55
2014-05,48
2014-06,32
2014-07,26
2014-08,24
2014-09,37
2014-10,53
2014-11,40
2014-12,31
2015-01,27
2015-02,46
2015-03,55
2015-04,57
2015-05,49
2015-06,27
2015-07,26
2015-08,21
2015-09,48
2015-10,67
2015-11,55
2015-12,42
2016-01,39
2016-02,59
2016-03,67
2016-04,61
2016-05,50
2016-06,41
2016-07,21
2016-08,20
2016-09,50
2016-10,62
2016-11,63
2016-12,49
2017-01,37
2017-02,70
2017-03,74
2017-04,83
2017-05,55
2017-06,36
2017-07,24
2017-08,24
2017-09,38
2017-10,74
2017-11,59
2017-12,41
2018-01,43
2018-02,73
2018-03,69
2018-04,62
2018-05,47
2018-06,38
2018-07,33
2018-08,24
2018-09,41
2018-10,67
2018-11,61
2018-12,37
2019-01,26
2019-02,66
2019-03,57
2019-04,71
2019-05,45
2019-06,34
2019-07,29
2019-08,29
2019-09,45
2019-10,76
2019-11,53
2019-12,44
2020-01,30
2020-02,74
2020-03,61
2020-04,77
2020-05,62
2020-06,50
2020-07,43
2020-08,33
2020-09,61
2020-10,97
2020-11,80
2020-12,48
2021-01,29
2021-02,83
2021-03,100
2021-04,90
2021-05,73
2021-06,43
2021-07,39
2021-08,31
2021-09,51
2021-10,87
2021-11,87
2021-12,54
2022-01,44
2022-02,83
2022-03,93
2022-04,72
2022-05,71
