Category: All categories

Month,inflation: (United States)
2004-01,35
2004-02,34
2004-03,39
2004-04,44
2004-05,35
2004-06,33
2004-07,29
2004-08,27
2004-09,29
2004-10,34
2004-11,37
2004-12,31
2005-01,30
2005-02,35
2005-03,33
2005-04,38
2005-05,32
2005-06,30
2005-07,25
2005-08,26
2005-09,31
2005-10,35
2005-11,35
2005-12,29
2006-01,31
2006-02,31
2006-03,32
2006-04,38
2006-05,35
2006-06,30
2006-07,24
2006-08,25
2006-09,27
2006-10,29
2006-11,31
2006-12,29
2007-01,25
2007-02,30
2007-03,26
2007-04,31
2007-05,30
2007-06,24
2007-07,25
2007-08,24
2007-09,29
2007-10,32
2007-11,33
2007-12,31
2008-01,34
2008-02,37
2008-03,39
2008-04,42
2008-05,35
2008-06,36
2008-07,33
2008-08,29
2008-09,34
2008-10,40
2008-11,34
2008-12,30
2009-01,29
2009-02,34
2009-03,37
2009-04,33
2009-05,29
2009-06,29
2009-07,23
2009-08,23
2009-09,27
2009-10,29
2009-11,30
2009-12,27
2010-01,26
2010-02,29
2010-03,30
2010-04,30
2010-05,27
2010-06,21
2010-07,20
2010-08,20
2010-09,23
2010-10,28
2010-11,32
2010-12,26
2011-01,26
2011-02,31
2011-03,29
2011-04,36
2011-05,27
2011-06,23
2011-07,23
2011-08,23
2011-09,25
2011-10,26
2011-11,26
2011-12,23
2012-01,22
2012-02,26
2012-03,26
2012-04,28
2012-05,24
2012-06,20
2012-07,19
2012-08,19
2012-09,25
2012-10,29
2012-11,25
2012-12,22
2013-01,24
2013-02,29
2013-03,28
2013-04,33
2013-05,27
2013-06,19
2013-07,19
2013-08,19
2013-09,24
2013-10,30
2013-11,30
2013-12,29
2014-01,27
2014-02,30
2014-03,33
2014-04,35
2014-05,34
2014-06,23
2014-07,22
2014-08,20
2014-09,28
2014-10,33
2014-11,32
2014-12,30
2015-01,31
2015-02,33
2015-03,33
2015-04,37
2015-05,32
2015-06,22
2015-07,22
2015-08,22
2015-09,31
2015-10,34
2015-11,34
2015-12,34
2016-01,29
2016-02,34
2016-03,34
2016-04,35
2016-05,31
2016-06,22
2016-07,19
2016-08,19
2016-09,28
2016-10,31
2016-11,33
2016-12,31
2017-01,29
2017-02,34
2017-03,35
2017-04,34
2017-05,32
2017-06,23
2017-07,22
2017-08,22
2017-09,28
2017-10,34
2017-11,35
2017-12,33
2018-01,32
2018-02,41
2018-03,35
2018-04,37
2018-05,34
2018-06,26
2018-07,27
2018-08,28
2018-09,34
2018-10,37
2018-11,36
2018-12,34
2019-01,32
2019-02,37
2019-03,37
2019-04,40
2019-05,35
2019-06,27
2019-07,27
2019-08,25
2019-09,31
2019-10,35
2019-11,36
2019-12,33
2020-01,31
2020-02,37
2020-03,34
2020-04,38
2020-05,35
2020-06,28
2020-07,30
2020-08,30
2020-09,34
2020-10,35
2020-11,32
2020-12,35
2021-01,38
2021-02,48
2021-03,48
2021-04,45
2021-05,66
2021-06,53
2021-07,45
2021-08,39
2021-09,42
2021-10,58
2021-11,76
2021-12,66
2022-01,71
2022-02,81
2022-03,81
2022-04,82
2022-05,100
