Category: All categories

Month,pce inflation: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,45
2004-05,41
2004-06,85
2004-07,0
2004-08,39
2004-09,0
2004-10,0
2004-11,39
2004-12,0
2005-01,0
2005-02,32
2005-03,55
2005-04,0
2005-05,85
2005-06,0
2005-07,29
2005-08,27
2005-09,0
2005-10,0
2005-11,24
2005-12,0
2006-01,0
2006-02,42
2006-03,37
2006-04,0
2006-05,18
2006-06,19
2006-07,0
2006-08,0
2006-09,0
2006-10,32
2006-11,32
2006-12,0
2007-01,14
2007-02,0
2007-03,27
2007-04,40
2007-05,25
2007-06,13
2007-07,0
2007-08,12
2007-09,24
2007-10,11
2007-11,43
2007-12,44
2008-01,0
2008-02,40
2008-03,20
2008-04,10
2008-05,58
2008-06,31
2008-07,20
2008-08,0
2008-09,18
2008-10,17
2008-11,0
2008-12,0
2009-01,17
2009-02,9
2009-03,24
2009-04,8
2009-05,0
2009-06,17
2009-07,0
2009-08,16
2009-09,31
2009-10,30
2009-11,8
2009-12,15
2010-01,0
2010-02,15
2010-03,33
2010-04,42
2010-05,29
2010-06,7
2010-07,6
2010-08,0
2010-09,18
2010-10,17
2010-11,17
2010-12,6
2011-01,22
2011-02,5
2011-03,13
2011-04,18
2011-05,9
2011-06,4
2011-07,4
2011-08,12
2011-09,8
2011-10,19
2011-11,12
2011-12,7
2012-01,28
2012-02,18
2012-03,14
2012-04,11
2012-05,7
2012-06,11
2012-07,10
2012-08,0
2012-09,3
2012-10,6
2012-11,10
2012-12,12
2013-01,15
2013-02,6
2013-03,20
2013-04,14
2013-05,20
2013-06,21
2013-07,18
2013-08,11
2013-09,11
2013-10,27
2013-11,14
2013-12,14
2014-01,32
2014-02,9
2014-03,24
2014-04,30
2014-05,12
2014-06,55
2014-07,28
2014-08,15
2014-09,21
2014-10,11
2014-11,9
2014-12,33
2015-01,9
2015-02,37
2015-03,35
2015-04,24
2015-05,0
2015-06,26
2015-07,25
2015-08,42
2015-09,53
2015-10,20
2015-11,26
2015-12,31
2016-01,26
2016-02,29
2016-03,43
2016-04,19
2016-05,10
2016-06,5
2016-07,15
2016-08,15
2016-09,37
2016-10,38
2016-11,21
2016-12,21
2017-01,22
2017-02,23
2017-03,38
2017-04,22
2017-05,34
2017-06,17
2017-07,12
2017-08,34
2017-09,27
2017-10,30
2017-11,26
2017-12,22
2018-01,38
2018-02,34
2018-03,36
2018-04,26
2018-05,25
2018-06,27
2018-07,16
2018-08,20
2018-09,31
2018-10,36
2018-11,22
2018-12,15
2019-01,23
2019-02,11
2019-03,25
2019-04,39
2019-05,26
2019-06,24
2019-07,26
2019-08,25
2019-09,31
2019-10,25
2019-11,24
2019-12,20
2020-01,15
2020-02,31
2020-03,17
2020-04,12
2020-05,14
2020-06,4
2020-07,11
2020-08,14
2020-09,32
2020-10,22
2020-11,4
2020-12,10
2021-01,18
2021-02,31
2021-03,53
2021-04,27
2021-05,74
2021-06,100
2021-07,31
2021-08,42
2021-09,49
2021-10,67
2021-11,63
2021-12,72
2022-01,65
2022-02,54
2022-03,61
2022-04,74
2022-05,74
