Category: All categories

Month,ppi: (United States)
2004-01,70
2004-02,72
2004-03,86
2004-04,72
2004-05,58
2004-06,93
2004-07,70
2004-08,68
2004-09,52
2004-10,64
2004-11,78
2004-12,57
2005-01,57
2005-02,66
2005-03,82
2005-04,66
2005-05,59
2005-06,66
2005-07,74
2005-08,67
2005-09,60
2005-10,67
2005-11,62
2005-12,60
2006-01,59
2006-02,59
2006-03,57
2006-04,62
2006-05,59
2006-06,69
2006-07,48
2006-08,70
2006-09,61
2006-10,75
2006-11,61
2006-12,54
2007-01,67
2007-02,72
2007-03,61
2007-04,66
2007-05,63
2007-06,65
2007-07,61
2007-08,65
2007-09,55
2007-10,68
2007-11,54
2007-12,50
2008-01,58
2008-02,62
2008-03,54
2008-04,64
2008-05,67
2008-06,66
2008-07,70
2008-08,66
2008-09,64
2008-10,66
2008-11,63
2008-12,58
2009-01,64
2009-02,69
2009-03,73
2009-04,70
2009-05,63
2009-06,68
2009-07,64
2009-08,70
2009-09,74
2009-10,68
2009-11,64
2009-12,64
2010-01,68
2010-02,59
2010-03,70
2010-04,69
2010-05,63
2010-06,78
2010-07,59
2010-08,57
2010-09,61
2010-10,65
2010-11,62
2010-12,50
2011-01,62
2011-02,66
2011-03,71
2011-04,60
2011-05,60
2011-06,59
2011-07,60
2011-08,57
2011-09,61
2011-10,63
2011-11,55
2011-12,55
2012-01,61
2012-02,66
2012-03,68
2012-04,65
2012-05,63
2012-06,66
2012-07,74
2012-08,67
2012-09,79
2012-10,83
2012-11,75
2012-12,64
2013-01,67
2013-02,73
2013-03,74
2013-04,68
2013-05,64
2013-06,67
2013-07,69
2013-08,69
2013-09,72
2013-10,76
2013-11,70
2013-12,65
2014-01,71
2014-02,66
2014-03,70
2014-04,68
2014-05,67
2014-06,59
2014-07,64
2014-08,65
2014-09,81
2014-10,73
2014-11,70
2014-12,63
2015-01,72
2015-02,69
2015-03,75
2015-04,70
2015-05,66
2015-06,82
2015-07,68
2015-08,68
2015-09,71
2015-10,75
2015-11,74
2015-12,64
2016-01,75
2016-02,100
2016-03,75
2016-04,98
2016-05,74
2016-06,67
2016-07,62
2016-08,62
2016-09,66
2016-10,69
2016-11,66
2016-12,62
2017-01,66
2017-02,73
2017-03,73
2017-04,68
2017-05,72
2017-06,69
2017-07,80
2017-08,67
2017-09,70
2017-10,70
2017-11,72
2017-12,58
2018-01,66
2018-02,72
2018-03,70
2018-04,69
2018-05,66
2018-06,64
2018-07,66
2018-08,63
2018-09,78
2018-10,75
2018-11,66
2018-12,56
2019-01,70
2019-02,69
2019-03,70
2019-04,70
2019-05,66
2019-06,68
2019-07,66
2019-08,67
2019-09,73
2019-10,71
2019-11,66
2019-12,61
2020-01,70
2020-02,72
2020-03,63
2020-04,65
2020-05,65
2020-06,68
2020-07,82
2020-08,71
2020-09,69
2020-10,69
2020-11,62
2020-12,64
2021-01,64
2021-02,71
2021-03,72
2021-04,72
2021-05,66
2021-06,70
2021-07,63
2021-08,63
2021-09,73
2021-10,68
2021-11,68
2021-12,66
2022-01,67
2022-02,81
2022-03,70
2022-04,74
2022-05,85
