Category: All categories

Month,price index: (United States)
2004-01,100
2004-02,78
2004-03,68
2004-04,81
2004-05,76
2004-06,62
2004-07,63
2004-08,64
2004-09,71
2004-10,83
2004-11,62
2004-12,67
2005-01,75
2005-02,80
2005-03,76
2005-04,75
2005-05,62
2005-06,56
2005-07,55
2005-08,59
2005-09,62
2005-10,61
2005-11,59
2005-12,57
2006-01,60
2006-02,58
2006-03,56
2006-04,58
2006-05,51
2006-06,57
2006-07,47
2006-08,48
2006-09,53
2006-10,60
2006-11,55
2006-12,46
2007-01,48
2007-02,53
2007-03,46
2007-04,47
2007-05,43
2007-06,41
2007-07,40
2007-08,41
2007-09,48
2007-10,48
2007-11,48
2007-12,44
2008-01,53
2008-02,52
2008-03,56
2008-04,54
2008-05,48
2008-06,53
2008-07,49
2008-08,43
2008-09,52
2008-10,66
2008-11,52
2008-12,45
2009-01,48
2009-02,49
2009-03,40
2009-04,41
2009-05,39
2009-06,35
2009-07,31
2009-08,35
2009-09,42
2009-10,43
2009-11,36
2009-12,34
2010-01,36
2010-02,38
2010-03,38
2010-04,34
2010-05,30
2010-06,27
2010-07,22
2010-08,22
2010-09,27
2010-10,32
2010-11,28
2010-12,26
2011-01,29
2011-02,35
2011-03,34
2011-04,33
2011-05,27
2011-06,26
2011-07,22
2011-08,24
2011-09,26
2011-10,27
2011-11,25
2011-12,22
2012-01,24
2012-02,29
2012-03,24
2012-04,24
2012-05,22
2012-06,21
2012-07,19
2012-08,18
2012-09,24
2012-10,27
2012-11,22
2012-12,21
2013-01,23
2013-02,26
2013-03,26
2013-04,26
2013-05,22
2013-06,19
2013-07,19
2013-08,18
2013-09,21
2013-10,27
2013-11,22
2013-12,22
2014-01,22
2014-02,27
2014-03,23
2014-04,23
2014-05,20
2014-06,19
2014-07,18
2014-08,17
2014-09,23
2014-10,27
2014-11,24
2014-12,24
2015-01,25
2015-02,27
2015-03,26
2015-04,26
2015-05,21
2015-06,19
2015-07,21
2015-08,21
2015-09,27
2015-10,28
2015-11,23
2015-12,24
2016-01,25
2016-02,31
2016-03,27
2016-04,27
2016-05,22
2016-06,20
2016-07,17
2016-08,16
2016-09,23
2016-10,24
2016-11,24
2016-12,24
2017-01,22
2017-02,28
2017-03,28
2017-04,29
2017-05,28
2017-06,29
2017-07,30
2017-08,30
2017-09,31
2017-10,37
2017-11,33
2017-12,34
2018-01,36
2018-02,43
2018-03,33
2018-04,34
2018-05,27
2018-06,27
2018-07,26
2018-08,26
2018-09,28
2018-10,34
2018-11,29
2018-12,28
2019-01,27
2019-02,28
2019-03,26
2019-04,28
2019-05,26
2019-06,22
2019-07,21
2019-08,21
2019-09,25
2019-10,26
2019-11,24
2019-12,21
2020-01,24
2020-02,32
2020-03,45
2020-04,37
2020-05,31
2020-06,28
2020-07,27
2020-08,25
2020-09,31
2020-10,32
2020-11,26
2020-12,26
2021-01,28
2021-02,37
2021-03,37
2021-04,33
2021-05,38
2021-06,32
2021-07,29
2021-08,27
2021-09,33
2021-10,36
2021-11,37
2021-12,36
2022-01,41
2022-02,46
2022-03,44
2022-04,42
2022-05,56
