Category: All categories

Month,shoe leather costs: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,69
2005-05,0
2005-06,0
2005-07,62
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,41
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,35
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,27
2007-08,0
2007-09,0
2007-10,23
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,21
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,20
2009-01,0
2009-02,0
2009-03,0
2009-04,18
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,17
2009-12,0
2010-01,0
2010-02,16
2010-03,27
2010-04,42
2010-05,30
2010-06,15
2010-07,0
2010-08,12
2010-09,0
2010-10,35
2010-11,35
2010-12,34
2011-01,18
2011-02,49
2011-03,17
2011-04,27
2011-05,9
2011-06,0
2011-07,9
2011-08,8
2011-09,17
2011-10,23
2011-11,24
2011-12,23
2012-01,14
2012-02,29
2012-03,35
2012-04,51
2012-05,28
2012-06,0
2012-07,0
2012-08,7
2012-09,27
2012-10,83
2012-11,46
2012-12,19
2013-01,6
2013-02,13
2013-03,34
2013-04,47
2013-05,12
2013-06,31
2013-07,36
2013-08,12
2013-09,17
2013-10,33
2013-11,69
2013-12,23
2014-01,5
2014-02,18
2014-03,64
2014-04,72
2014-05,30
2014-06,7
2014-07,0
2014-08,0
2014-09,30
2014-10,69
2014-11,81
2014-12,37
2015-01,23
2015-02,31
2015-03,59
2015-04,49
2015-05,19
2015-06,13
2015-07,19
2015-08,19
2015-09,48
2015-10,40
2015-11,59
2015-12,35
2016-01,14
2016-02,40
2016-03,60
2016-04,62
2016-05,38
2016-06,5
2016-07,0
2016-08,20
2016-09,38
2016-10,70
2016-11,60
2016-12,36
2017-01,17
2017-02,54
2017-03,57
2017-04,35
2017-05,49
2017-06,9
2017-07,14
2017-08,13
2017-09,17
2017-10,51
2017-11,30
2017-12,30
2018-01,33
2018-02,63
2018-03,29
2018-04,81
2018-05,33
2018-06,22
2018-07,0
2018-08,9
2018-09,48
2018-10,71
2018-11,42
2018-12,21
2019-01,16
2019-02,65
2019-03,53
2019-04,30
2019-05,38
2019-06,9
2019-07,13
2019-08,8
2019-09,52
2019-10,79
2019-11,47
2019-12,31
2020-01,18
2020-02,100
2020-03,47
2020-04,30
2020-05,23
2020-06,11
2020-07,25
2020-08,4
2020-09,31
2020-10,47
2020-11,31
2020-12,16
2021-01,11
2021-02,35
2021-03,19
2021-04,28
2021-05,24
2021-06,0
2021-07,8
2021-08,4
2021-09,30
2021-10,42
2021-11,17
2021-12,26
2022-01,13
2022-02,48
2022-03,34
2022-04,21
2022-05,21
