Category: All categories

Month,types of inflation: (United States)
2004-01,0
2004-02,25
2004-03,0
2004-04,0
2004-05,0
2004-06,23
2004-07,0
2004-08,0
2004-09,40
2004-10,21
2004-11,21
2004-12,0
2005-01,0
2005-02,17
2005-03,0
2005-04,51
2005-05,0
2005-06,16
2005-07,0
2005-08,0
2005-09,53
2005-10,12
2005-11,13
2005-12,12
2006-01,22
2006-02,0
2006-03,10
2006-04,21
2006-05,20
2006-06,10
2006-07,20
2006-08,9
2006-09,9
2006-10,0
2006-11,0
2006-12,42
2007-01,0
2007-02,16
2007-03,29
2007-04,36
2007-05,7
2007-06,7
2007-07,0
2007-08,13
2007-09,0
2007-10,23
2007-11,23
2007-12,35
2008-01,47
2008-02,16
2008-03,10
2008-04,26
2008-05,36
2008-06,11
2008-07,21
2008-08,10
2008-09,19
2008-10,22
2008-11,20
2008-12,29
2009-01,14
2009-02,33
2009-03,34
2009-04,26
2009-05,40
2009-06,9
2009-07,18
2009-08,26
2009-09,17
2009-10,52
2009-11,37
2009-12,44
2010-01,42
2010-02,27
2010-03,62
2010-04,38
2010-05,36
2010-06,32
2010-07,28
2010-08,7
2010-09,26
2010-10,67
2010-11,62
2010-12,37
2011-01,27
2011-02,42
2011-03,38
2011-04,39
2011-05,55
2011-06,29
2011-07,22
2011-08,20
2011-09,22
2011-10,52
2011-11,49
2011-12,39
2012-01,23
2012-02,49
2012-03,56
2012-04,43
2012-05,45
2012-06,35
2012-07,13
2012-08,14
2012-09,31
2012-10,48
2012-11,39
2012-12,34
2013-01,45
2013-02,34
2013-03,43
2013-04,52
2013-05,52
2013-06,34
2013-07,8
2013-08,17
2013-09,33
2013-10,61
2013-11,48
2013-12,40
2014-01,32
2014-02,44
2014-03,61
2014-04,58
2014-05,48
2014-06,21
2014-07,22
2014-08,22
2014-09,41
2014-10,47
2014-11,63
2014-12,51
2015-01,38
2015-02,40
2015-03,70
2015-04,96
2015-05,55
2015-06,28
2015-07,17
2015-08,17
2015-09,36
2015-10,66
2015-11,41
2015-12,57
2016-01,45
2016-02,44
2016-03,63
2016-04,50
2016-05,55
2016-06,26
2016-07,15
2016-08,15
2016-09,26
2016-10,61
2016-11,42
2016-12,52
2017-01,37
2017-02,68
2017-03,72
2017-04,68
2017-05,52
2017-06,26
2017-07,16
2017-08,11
2017-09,49
2017-10,78
2017-11,61
2017-12,64
2018-01,44
2018-02,62
2018-03,66
2018-04,78
2018-05,69
2018-06,36
2018-07,23
2018-08,18
2018-09,48
2018-10,73
2018-11,42
2018-12,55
2019-01,35
2019-02,81
2019-03,60
2019-04,80
2019-05,64
2019-06,33
2019-07,21
2019-08,23
2019-09,40
2019-10,80
2019-11,60
2019-12,47
2020-01,32
2020-02,73
2020-03,58
2020-04,60
2020-05,53
2020-06,27
2020-07,34
2020-08,15
2020-09,38
2020-10,87
2020-11,48
2020-12,43
2021-01,29
2021-02,62
2021-03,73
2021-04,54
2021-05,51
2021-06,33
2021-07,25
2021-08,19
2021-09,47
2021-10,70
2021-11,58
2021-12,53
2022-01,33
2022-02,45
2022-03,74
2022-04,56
2022-05,100
