Category: All categories

Month,us cpi: (United States)
2004-01,26
2004-02,51
2004-03,54
2004-04,91
2004-05,83
2004-06,38
2004-07,32
2004-08,71
2004-09,68
2004-10,63
2004-11,57
2004-12,70
2005-01,50
2005-02,100
2005-03,90
2005-04,69
2005-05,57
2005-06,42
2005-07,52
2005-08,44
2005-09,50
2005-10,55
2005-11,48
2005-12,66
2006-01,59
2006-02,38
2006-03,34
2006-04,68
2006-05,54
2006-06,71
2006-07,35
2006-08,35
2006-09,44
2006-10,52
2006-11,52
2006-12,32
2007-01,33
2007-02,38
2007-03,49
2007-04,49
2007-05,43
2007-06,31
2007-07,27
2007-08,32
2007-09,50
2007-10,41
2007-11,41
2007-12,50
2008-01,34
2008-02,51
2008-03,73
2008-04,52
2008-05,28
2008-06,37
2008-07,38
2008-08,48
2008-09,47
2008-10,53
2008-11,62
2008-12,31
2009-01,34
2009-02,32
2009-03,45
2009-04,47
2009-05,33
2009-06,27
2009-07,26
2009-08,21
2009-09,50
2009-10,50
2009-11,50
2009-12,35
2010-01,38
2010-02,49
2010-03,41
2010-04,49
2010-05,30
2010-06,15
2010-07,33
2010-08,15
2010-09,31
2010-10,33
2010-11,34
2010-12,29
2011-01,35
2011-02,26
2011-03,41
2011-04,35
2011-05,27
2011-06,27
2011-07,28
2011-08,27
2011-09,32
2011-10,30
2011-11,35
2011-12,24
2012-01,32
2012-02,39
2012-03,31
2012-04,32
2012-05,30
2012-06,24
2012-07,18
2012-08,20
2012-09,34
2012-10,34
2012-11,26
2012-12,18
2013-01,34
2013-02,39
2013-03,31
2013-04,33
2013-05,28
2013-06,19
2013-07,17
2013-08,18
2013-09,30
2013-10,35
2013-11,35
2013-12,24
2014-01,33
2014-02,36
2014-03,31
2014-04,30
2014-05,21
2014-06,18
2014-07,19
2014-08,23
2014-09,31
2014-10,38
2014-11,27
2014-12,30
2015-01,33
2015-02,32
2015-03,31
2015-04,43
2015-05,25
2015-06,21
2015-07,25
2015-08,17
2015-09,32
2015-10,38
2015-11,38
2015-12,36
2016-01,27
2016-02,33
2016-03,28
2016-04,31
2016-05,24
2016-06,19
2016-07,17
2016-08,16
2016-09,29
2016-10,29
2016-11,28
2016-12,21
2017-01,30
2017-02,35
2017-03,23
2017-04,30
2017-05,26
2017-06,16
2017-07,13
2017-08,17
2017-09,19
2017-10,33
2017-11,29
2017-12,23
2018-01,28
2018-02,36
2018-03,25
2018-04,23
2018-05,22
2018-06,24
2018-07,16
2018-08,20
2018-09,29
2018-10,32
2018-11,28
2018-12,22
2019-01,25
2019-02,28
2019-03,28
2019-04,22
2019-05,20
2019-06,16
2019-07,19
2019-08,19
2019-09,31
2019-10,23
2019-11,21
2019-12,22
2020-01,17
2020-02,26
2020-03,21
2020-04,24
2020-05,20
2020-06,19
2020-07,16
2020-08,21
2020-09,23
2020-10,26
2020-11,18
2020-12,19
2021-01,19
2021-02,28
2021-03,29
2021-04,19
2021-05,32
2021-06,26
2021-07,23
2021-08,25
2021-09,39
2021-10,39
2021-11,35
2021-12,35
2022-01,47
2022-02,55
2022-03,52
2022-04,55
2022-05,56
