Category: All categories

Month,usd inflation: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,12
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,17
2005-04,10
2005-05,17
2005-06,0
2005-07,17
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,14
2006-01,0
2006-02,13
2006-03,11
2006-04,0
2006-05,6
2006-06,6
2006-07,0
2006-08,5
2006-09,11
2006-10,5
2006-11,5
2006-12,15
2007-01,9
2007-02,9
2007-03,0
2007-04,8
2007-05,0
2007-06,0
2007-07,11
2007-08,4
2007-09,0
2007-10,6
2007-11,3
2007-12,7
2008-01,9
2008-02,6
2008-03,9
2008-04,6
2008-05,6
2008-06,13
2008-07,9
2008-08,3
2008-09,25
2008-10,10
2008-11,8
2008-12,14
2009-01,3
2009-02,5
2009-03,17
2009-04,5
2009-05,3
2009-06,0
2009-07,5
2009-08,7
2009-09,12
2009-10,9
2009-11,14
2009-12,21
2010-01,11
2010-02,20
2010-03,8
2010-04,0
2010-05,15
2010-06,11
2010-07,10
2010-08,4
2010-09,13
2010-10,11
2010-11,22
2010-12,15
2011-01,8
2011-02,7
2011-03,14
2011-04,16
2011-05,20
2011-06,12
2011-07,5
2011-08,11
2011-09,9
2011-10,12
2011-11,15
2011-12,13
2012-01,18
2012-02,18
2012-03,19
2012-04,22
2012-05,20
2012-06,11
2012-07,9
2012-08,13
2012-09,20
2012-10,11
2012-11,16
2012-12,14
2013-01,15
2013-02,21
2013-03,12
2013-04,29
2013-05,18
2013-06,22
2013-07,16
2013-08,25
2013-09,14
2013-10,23
2013-11,20
2013-12,19
2014-01,22
2014-02,21
2014-03,25
2014-04,19
2014-05,22
2014-06,23
2014-07,20
2014-08,22
2014-09,29
2014-10,26
2014-11,22
2014-12,28
2015-01,28
2015-02,20
2015-03,24
2015-04,25
2015-05,22
2015-06,27
2015-07,29
2015-08,25
2015-09,27
2015-10,20
2015-11,28
2015-12,36
2016-01,36
2016-02,27
2016-03,26
2016-04,28
2016-05,16
2016-06,27
2016-07,25
2016-08,13
2016-09,25
2016-10,26
2016-11,43
2016-12,37
2017-01,59
2017-02,62
2017-03,61
2017-04,59
2017-05,53
2017-06,53
2017-07,50
2017-08,53
2017-09,49
2017-10,52
2017-11,63
2017-12,73
2018-01,62
2018-02,61
2018-03,61
2018-04,55
2018-05,65
2018-06,57
2018-07,62
2018-08,64
2018-09,53
2018-10,70
2018-11,55
2018-12,65
2019-01,69
2019-02,54
2019-03,76
2019-04,53
2019-05,54
2019-06,46
2019-07,47
2019-08,47
2019-09,48
2019-10,47
2019-11,55
2019-12,57
2020-01,71
2020-02,64
2020-03,63
2020-04,51
2020-05,42
2020-06,51
2020-07,48
2020-08,63
2020-09,52
2020-10,49
2020-11,42
2020-12,45
2021-01,65
2021-02,77
2021-03,67
2021-04,59
2021-05,78
2021-06,62
2021-07,53
2021-08,56
2021-09,52
2021-10,80
2021-11,91
2021-12,79
2022-01,76
2022-02,82
2022-03,100
2022-04,82
2022-05,95
