Category: All categories

Month,chinese gdp per capita: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,95
2005-06,98
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,81
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,62
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,50
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,36
2007-11,36
2007-12,37
2008-01,65
2008-02,0
2008-03,33
2008-04,97
2008-05,33
2008-06,0
2008-07,33
2008-08,33
2008-09,0
2008-10,56
2008-11,0
2008-12,0
2009-01,29
2009-02,0
2009-03,27
2009-04,55
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,26
2009-10,25
2009-11,77
2009-12,76
2010-01,24
2010-02,0
2010-03,44
2010-04,23
2010-05,24
2010-06,24
2010-07,21
2010-08,0
2010-09,58
2010-10,38
2010-11,37
2010-12,18
2011-01,14
2011-02,0
2011-03,28
2011-04,15
2011-05,14
2011-06,29
2011-07,14
2011-08,0
2011-09,40
2011-10,13
2011-11,13
2011-12,12
2012-01,23
2012-02,47
2012-03,22
2012-04,59
2012-05,33
2012-06,23
2012-07,0
2012-08,11
2012-09,44
2012-10,41
2012-11,32
2012-12,30
2013-01,38
2013-02,61
2013-03,64
2013-04,47
2013-05,28
2013-06,20
2013-07,38
2013-08,47
2013-09,37
2013-10,27
2013-11,28
2013-12,18
2014-01,52
2014-02,28
2014-03,60
2014-04,53
2014-05,67
2014-06,11
2014-07,21
2014-08,10
2014-09,20
2014-10,28
2014-11,50
2014-12,20
2015-01,47
2015-02,50
2015-03,19
2015-04,20
2015-05,10
2015-06,63
2015-07,31
2015-08,20
2015-09,48
2015-10,55
2015-11,38
2015-12,37
2016-01,31
2016-02,32
2016-03,7
2016-04,61
2016-05,23
2016-06,24
2016-07,32
2016-08,24
2016-09,38
2016-10,30
2016-11,37
2016-12,71
2017-01,34
2017-02,43
2017-03,39
2017-04,41
2017-05,71
2017-06,68
2017-07,37
2017-08,28
2017-09,35
2017-10,54
2017-11,82
2017-12,14
2018-01,52
2018-02,36
2018-03,39
2018-04,54
2018-05,66
2018-06,21
2018-07,63
2018-08,34
2018-09,28
2018-10,40
2018-11,61
2018-12,61
2019-01,39
2019-02,56
2019-03,46
2019-04,61
2019-05,40
2019-06,42
2019-07,7
2019-08,78
2019-09,32
2019-10,54
2019-11,44
2019-12,25
2020-01,52
2020-02,37
2020-03,27
2020-04,100
2020-05,69
2020-06,23
2020-07,57
2020-08,34
2020-09,50
2020-10,69
2020-11,12
2020-12,44
2021-01,43
2021-02,49
2021-03,24
2021-04,58
2021-05,19
2021-06,73
2021-07,26
2021-08,46
2021-09,83
2021-10,94
2021-11,21
2021-12,41
2022-01,27
2022-02,46
2022-03,81
2022-04,14
2022-05,22
