Category: All categories

Month,chinese gdp: (United States)
2004-01,25
2004-02,49
2004-03,31
2004-04,0
2004-05,22
2004-06,0
2004-07,45
2004-08,0
2004-09,39
2004-10,60
2004-11,21
2004-12,18
2005-01,0
2005-02,34
2005-03,43
2005-04,33
2005-05,74
2005-06,60
2005-07,15
2005-08,28
2005-09,52
2005-10,12
2005-11,75
2005-12,47
2006-01,42
2006-02,11
2006-03,58
2006-04,71
2006-05,29
2006-06,20
2006-07,20
2006-08,9
2006-09,27
2006-10,42
2006-11,16
2006-12,33
2007-01,36
2007-02,31
2007-03,35
2007-04,14
2007-05,32
2007-06,14
2007-07,6
2007-08,6
2007-09,25
2007-10,61
2007-11,61
2007-12,40
2008-01,45
2008-02,42
2008-03,56
2008-04,100
2008-05,51
2008-06,11
2008-07,26
2008-08,20
2008-09,33
2008-10,52
2008-11,76
2008-12,47
2009-01,26
2009-02,42
2009-03,50
2009-04,51
2009-05,17
2009-06,4
2009-07,34
2009-08,29
2009-09,24
2009-10,39
2009-11,40
2009-12,47
2010-01,33
2010-02,80
2010-03,73
2010-04,62
2010-05,57
2010-06,23
2010-07,46
2010-08,32
2010-09,52
2010-10,39
2010-11,35
2010-12,47
2011-01,35
2011-02,30
2011-03,58
2011-04,47
2011-05,43
2011-06,28
2011-07,32
2011-08,32
2011-09,30
2011-10,44
2011-11,33
2011-12,45
2012-01,39
2012-02,43
2012-03,43
2012-04,49
2012-05,36
2012-06,22
2012-07,39
2012-08,22
2012-09,40
2012-10,59
2012-11,40
2012-12,55
2013-01,35
2013-02,60
2013-03,43
2013-04,38
2013-05,37
2013-06,14
2013-07,40
2013-08,26
2013-09,25
2013-10,31
2013-11,34
2013-12,29
2014-01,43
2014-02,26
2014-03,44
2014-04,55
2014-05,55
2014-06,20
2014-07,23
2014-08,18
2014-09,30
2014-10,40
2014-11,45
2014-12,39
2015-01,33
2015-02,43
2015-03,44
2015-04,55
2015-05,40
2015-06,27
2015-07,49
2015-08,44
2015-09,56
2015-10,59
2015-11,47
2015-12,34
2016-01,60
2016-02,41
2016-03,34
2016-04,52
2016-05,33
2016-06,28
2016-07,24
2016-08,27
2016-09,35
2016-10,41
2016-11,56
2016-12,50
2017-01,29
2017-02,51
2017-03,40
2017-04,54
2017-05,41
2017-06,33
2017-07,38
2017-08,28
2017-09,36
2017-10,55
2017-11,52
2017-12,33
2018-01,56
2018-02,54
2018-03,47
2018-04,62
2018-05,51
2018-06,39
2018-07,39
2018-08,46
2018-09,44
2018-10,62
2018-11,53
2018-12,61
2019-01,43
2019-02,56
2019-03,39
2019-04,53
2019-05,39
2019-06,43
2019-07,42
2019-08,50
2019-09,50
2019-10,53
2019-11,43
2019-12,35
2020-01,39
2020-02,52
2020-03,53
2020-04,79
2020-05,50
2020-06,35
2020-07,40
2020-08,34
2020-09,41
2020-10,41
2020-11,29
2020-12,36
2021-01,33
2021-02,46
2021-03,41
2021-04,42
2021-05,36
2021-06,36
2021-07,21
2021-08,28
2021-09,44
2021-10,50
2021-11,36
2021-12,35
2022-01,29
2022-02,42
2022-03,54
2022-04,42
2022-05,39
