Category: All categories

Month,countries by gdp: (United States)
2004-01,10
2004-02,10
2004-03,0
2004-04,19
2004-05,34
2004-06,0
2004-07,18
2004-08,0
2004-09,8
2004-10,16
2004-11,8
2004-12,7
2005-01,32
2005-02,7
2005-03,23
2005-04,53
2005-05,18
2005-06,12
2005-07,30
2005-08,11
2005-09,21
2005-10,5
2005-11,0
2005-12,5
2006-01,17
2006-02,13
2006-03,12
2006-04,16
2006-05,11
2006-06,4
2006-07,12
2006-08,7
2006-09,22
2006-10,3
2006-11,10
2006-12,10
2007-01,0
2007-02,9
2007-03,6
2007-04,11
2007-05,10
2007-06,14
2007-07,5
2007-08,15
2007-09,7
2007-10,15
2007-11,13
2007-12,21
2008-01,22
2008-02,13
2008-03,12
2008-04,14
2008-05,16
2008-06,19
2008-07,20
2008-08,14
2008-09,20
2008-10,21
2008-11,29
2008-12,9
2009-01,30
2009-02,31
2009-03,37
2009-04,42
2009-05,26
2009-06,12
2009-07,17
2009-08,25
2009-09,34
2009-10,45
2009-11,38
2009-12,28
2010-01,30
2010-02,44
2010-03,37
2010-04,41
2010-05,50
2010-06,35
2010-07,23
2010-08,40
2010-09,35
2010-10,37
2010-11,39
2010-12,40
2011-01,36
2011-02,42
2011-03,49
2011-04,42
2011-05,40
2011-06,30
2011-07,38
2011-08,43
2011-09,52
2011-10,40
2011-11,50
2011-12,37
2012-01,36
2012-02,56
2012-03,54
2012-04,51
2012-05,40
2012-06,36
2012-07,43
2012-08,33
2012-09,52
2012-10,42
2012-11,39
2012-12,37
2013-01,42
2013-02,44
2013-03,42
2013-04,48
2013-05,40
2013-06,37
2013-07,27
2013-08,36
2013-09,48
2013-10,42
2013-11,52
2013-12,38
2014-01,41
2014-02,65
2014-03,57
2014-04,62
2014-05,52
2014-06,43
2014-07,49
2014-08,42
2014-09,51
2014-10,47
2014-11,54
2014-12,56
2015-01,53
2015-02,58
2015-03,58
2015-04,54
2015-05,59
2015-06,46
2015-07,55
2015-08,40
2015-09,63
2015-10,60
2015-11,51
2015-12,43
2016-01,44
2016-02,62
2016-03,54
2016-04,57
2016-05,49
2016-06,56
2016-07,40
2016-08,35
2016-09,55
2016-10,52
2016-11,56
2016-12,60
2017-01,60
2017-02,60
2017-03,71
2017-04,69
2017-05,58
2017-06,51
2017-07,56
2017-08,44
2017-09,65
2017-10,59
2017-11,61
2017-12,56
2018-01,65
2018-02,78
2018-03,68
2018-04,68
2018-05,71
2018-06,64
2018-07,63
2018-08,56
2018-09,56
2018-10,69
2018-11,75
2018-12,61
2019-01,66
2019-02,69
2019-03,67
2019-04,63
2019-05,63
2019-06,46
2019-07,43
2019-08,51
2019-09,58
2019-10,70
2019-11,57
2019-12,58
2020-01,57
2020-02,75
2020-03,63
2020-04,69
2020-05,61
2020-06,61
2020-07,62
2020-08,57
2020-09,73
2020-10,68
2020-11,62
2020-12,54
2021-01,53
2021-02,61
2021-03,63
2021-04,63
2021-05,50
2021-06,54
2021-07,43
2021-08,36
2021-09,64
2021-10,64
2021-11,56
2021-12,55
2022-01,49
2022-02,100
2022-03,92
2022-04,72
2022-05,61
