Category: All categories

Month,current gdp: (United States)
2004-01,73
2004-02,57
2004-03,36
2004-04,76
2004-05,51
2004-06,32
2004-07,20
2004-08,48
2004-09,57
2004-10,41
2004-11,97
2004-12,81
2005-01,24
2005-02,69
2005-03,76
2005-04,87
2005-05,61
2005-06,18
2005-07,35
2005-08,45
2005-09,61
2005-10,71
2005-11,44
2005-12,56
2006-01,28
2006-02,35
2006-03,48
2006-04,51
2006-05,37
2006-06,27
2006-07,15
2006-08,29
2006-09,48
2006-10,71
2006-11,53
2006-12,34
2007-01,51
2007-02,66
2007-03,53
2007-04,56
2007-05,60
2007-06,32
2007-07,19
2007-08,18
2007-09,47
2007-10,50
2007-11,65
2007-12,47
2008-01,58
2008-02,60
2008-03,57
2008-04,48
2008-05,39
2008-06,24
2008-07,20
2008-08,24
2008-09,77
2008-10,100
2008-11,59
2008-12,54
2009-01,57
2009-02,92
2009-03,64
2009-04,67
2009-05,71
2009-06,28
2009-07,34
2009-08,41
2009-09,53
2009-10,65
2009-11,68
2009-12,52
2010-01,50
2010-02,75
2010-03,76
2010-04,83
2010-05,45
2010-06,28
2010-07,26
2010-08,31
2010-09,50
2010-10,57
2010-11,54
2010-12,41
2011-01,42
2011-02,54
2011-03,46
2011-04,65
2011-05,44
2011-06,32
2011-07,33
2011-08,39
2011-09,63
2011-10,61
2011-11,61
2011-12,39
2012-01,41
2012-02,65
2012-03,52
2012-04,64
2012-05,49
2012-06,30
2012-07,23
2012-08,27
2012-09,63
2012-10,67
2012-11,62
2012-12,51
2013-01,46
2013-02,70
2013-03,52
2013-04,55
2013-05,45
2013-06,25
2013-07,24
2013-08,24
2013-09,47
2013-10,66
2013-11,42
2013-12,55
2014-01,34
2014-02,59
2014-03,51
2014-04,55
2014-05,57
2014-06,32
2014-07,19
2014-08,23
2014-09,54
2014-10,56
2014-11,54
2014-12,47
2015-01,43
2015-02,67
2015-03,47
2015-04,65
2015-05,50
2015-06,33
2015-07,34
2015-08,28
2015-09,54
2015-10,61
2015-11,65
2015-12,47
2016-01,50
2016-02,67
2016-03,54
2016-04,64
2016-05,49
2016-06,27
2016-07,29
2016-08,28
2016-09,50
2016-10,73
2016-11,59
2016-12,52
2017-01,49
2017-02,68
2017-03,64
2017-04,58
2017-05,57
2017-06,27
2017-07,26
2017-08,31
2017-09,49
2017-10,64
2017-11,58
2017-12,57
2018-01,47
2018-02,64
2018-03,60
2018-04,70
2018-05,53
2018-06,44
2018-07,52
2018-08,44
2018-09,66
2018-10,75
2018-11,59
2018-12,41
2019-01,47
2019-02,59
2019-03,57
2019-04,63
2019-05,57
2019-06,31
2019-07,30
2019-08,30
2019-09,56
2019-10,55
2019-11,66
2019-12,53
2020-01,48
2020-02,66
2020-03,55
2020-04,57
2020-05,49
2020-06,27
2020-07,46
2020-08,38
2020-09,53
2020-10,74
2020-11,62
2020-12,31
2021-01,45
2021-02,46
2021-03,50
2021-04,51
2021-05,36
2021-06,18
2021-07,21
2021-08,20
2021-09,42
2021-10,51
2021-11,47
2021-12,33
2022-01,31
2022-02,48
2022-03,47
2022-04,53
2022-05,39
