Category: All categories

Month,eu gdp: (United States)
2004-01,53
2004-02,17
2004-03,66
2004-04,67
2004-05,61
2004-06,62
2004-07,32
2004-08,14
2004-09,0
2004-10,14
2004-11,29
2004-12,78
2005-01,11
2005-02,36
2005-03,41
2005-04,81
2005-05,73
2005-06,32
2005-07,32
2005-08,30
2005-09,27
2005-10,52
2005-11,44
2005-12,58
2006-01,30
2006-02,69
2006-03,55
2006-04,36
2006-05,41
2006-06,7
2006-07,14
2006-08,19
2006-09,39
2006-10,29
2006-11,17
2006-12,18
2007-01,10
2007-02,49
2007-03,29
2007-04,45
2007-05,9
2007-06,10
2007-07,14
2007-08,17
2007-09,30
2007-10,23
2007-11,43
2007-12,53
2008-01,54
2008-02,37
2008-03,18
2008-04,35
2008-05,25
2008-06,19
2008-07,25
2008-08,14
2008-09,20
2008-10,24
2008-11,27
2008-12,26
2009-01,22
2009-02,26
2009-03,33
2009-04,27
2009-05,24
2009-06,25
2009-07,12
2009-08,6
2009-09,23
2009-10,19
2009-11,25
2009-12,36
2010-01,13
2010-02,51
2010-03,34
2010-04,37
2010-05,39
2010-06,29
2010-07,14
2010-08,24
2010-09,17
2010-10,23
2010-11,28
2010-12,30
2011-01,17
2011-02,29
2011-03,22
2011-04,21
2011-05,28
2011-06,19
2011-07,19
2011-08,18
2011-09,20
2011-10,23
2011-11,31
2011-12,23
2012-01,28
2012-02,19
2012-03,20
2012-04,16
2012-05,27
2012-06,28
2012-07,18
2012-08,17
2012-09,17
2012-10,19
2012-11,26
2012-12,18
2013-01,23
2013-02,26
2013-03,32
2013-04,36
2013-05,13
2013-06,16
2013-07,10
2013-08,5
2013-09,10
2013-10,20
2013-11,23
2013-12,18
2014-01,24
2014-02,30
2014-03,29
2014-04,20
2014-05,18
2014-06,21
2014-07,11
2014-08,10
2014-09,25
2014-10,21
2014-11,24
2014-12,32
2015-01,22
2015-02,25
2015-03,21
2015-04,25
2015-05,14
2015-06,35
2015-07,33
2015-08,20
2015-09,21
2015-10,20
2015-11,28
2015-12,17
2016-01,23
2016-02,34
2016-03,32
2016-04,37
2016-05,35
2016-06,100
2016-07,35
2016-08,15
2016-09,27
2016-10,31
2016-11,30
2016-12,20
2017-01,29
2017-02,33
2017-03,35
2017-04,32
2017-05,38
2017-06,26
2017-07,19
2017-08,18
2017-09,29
2017-10,33
2017-11,31
2017-12,28
2018-01,42
2018-02,43
2018-03,38
2018-04,35
2018-05,41
2018-06,36
2018-07,52
2018-08,30
2018-09,27
2018-10,39
2018-11,48
2018-12,35
2019-01,31
2019-02,45
2019-03,24
2019-04,36
2019-05,33
2019-06,21
2019-07,28
2019-08,24
2019-09,26
2019-10,31
2019-11,31
2019-12,36
2020-01,28
2020-02,49
2020-03,32
2020-04,41
2020-05,32
2020-06,22
2020-07,34
2020-08,24
2020-09,31
2020-10,31
2020-11,27
2020-12,30
2021-01,23
2021-02,24
2021-03,30
2021-04,28
2021-05,26
2021-06,22
2021-07,13
2021-08,21
2021-09,20
2021-10,21
2021-11,15
2021-12,23
2022-01,28
2022-02,50
2022-03,59
2022-04,34
2022-05,32
