Category: All categories

Month,gdp by state: (United States)
2004-01,20
2004-02,20
2004-03,0
2004-04,0
2004-05,35
2004-06,18
2004-07,37
2004-08,33
2004-09,16
2004-10,33
2004-11,67
2004-12,45
2005-01,26
2005-02,14
2005-03,12
2005-04,27
2005-05,12
2005-06,12
2005-07,24
2005-08,23
2005-09,11
2005-10,50
2005-11,61
2005-12,29
2006-01,9
2006-02,27
2006-03,32
2006-04,8
2006-05,31
2006-06,0
2006-07,32
2006-08,22
2006-09,22
2006-10,14
2006-11,13
2006-12,20
2007-01,30
2007-02,25
2007-03,17
2007-04,40
2007-05,32
2007-06,22
2007-07,21
2007-08,25
2007-09,15
2007-10,32
2007-11,41
2007-12,28
2008-01,8
2008-02,21
2008-03,29
2008-04,33
2008-05,29
2008-06,13
2008-07,21
2008-08,25
2008-09,46
2008-10,56
2008-11,31
2008-12,27
2009-01,32
2009-02,49
2009-03,17
2009-04,49
2009-05,39
2009-06,43
2009-07,32
2009-08,38
2009-09,43
2009-10,29
2009-11,52
2009-12,32
2010-01,45
2010-02,50
2010-03,33
2010-04,43
2010-05,42
2010-06,43
2010-07,32
2010-08,51
2010-09,32
2010-10,48
2010-11,47
2010-12,38
2011-01,59
2011-02,38
2011-03,50
2011-04,60
2011-05,34
2011-06,50
2011-07,49
2011-08,39
2011-09,41
2011-10,42
2011-11,44
2011-12,31
2012-01,38
2012-02,37
2012-03,38
2012-04,41
2012-05,30
2012-06,45
2012-07,43
2012-08,36
2012-09,38
2012-10,57
2012-11,67
2012-12,43
2013-01,41
2013-02,53
2013-03,39
2013-04,47
2013-05,36
2013-06,38
2013-07,37
2013-08,18
2013-09,44
2013-10,47
2013-11,58
2013-12,37
2014-01,26
2014-02,42
2014-03,42
2014-04,50
2014-05,53
2014-06,38
2014-07,37
2014-08,34
2014-09,52
2014-10,53
2014-11,47
2014-12,51
2015-01,44
2015-02,38
2015-03,41
2015-04,62
2015-05,40
2015-06,73
2015-07,64
2015-08,37
2015-09,52
2015-10,47
2015-11,45
2015-12,41
2016-01,45
2016-02,56
2016-03,45
2016-04,58
2016-05,39
2016-06,56
2016-07,35
2016-08,46
2016-09,54
2016-10,51
2016-11,96
2016-12,82
2017-01,80
2017-02,97
2017-03,68
2017-04,69
2017-05,57
2017-06,73
2017-07,53
2017-08,52
2017-09,59
2017-10,59
2017-11,64
2017-12,63
2018-01,67
2018-02,62
2018-03,68
2018-04,63
2018-05,71
2018-06,56
2018-07,67
2018-08,54
2018-09,53
2018-10,62
2018-11,94
2018-12,49
2019-01,49
2019-02,65
2019-03,64
2019-04,80
2019-05,58
2019-06,49
2019-07,62
2019-08,51
2019-09,71
2019-10,69
2019-11,52
2019-12,46
2020-01,43
2020-02,65
2020-03,80
2020-04,100
2020-05,80
2020-06,50
2020-07,74
2020-08,67
2020-09,63
2020-10,94
2020-11,89
2020-12,73
2021-01,51
2021-02,59
2021-03,62
2021-04,48
2021-05,50
2021-06,50
2021-07,46
2021-08,34
2021-09,38
2021-10,50
2021-11,32
2021-12,62
2022-01,34
2022-02,87
2022-03,77
2022-04,52
2022-05,57
