Category: All categories

Month,gdp calculation: (United States)
2004-01,20
2004-02,100
2004-03,26
2004-04,19
2004-05,18
2004-06,36
2004-07,19
2004-08,0
2004-09,32
2004-10,33
2004-11,51
2004-12,0
2005-01,13
2005-02,56
2005-03,24
2005-04,27
2005-05,12
2005-06,12
2005-07,25
2005-08,12
2005-09,75
2005-10,50
2005-11,31
2005-12,29
2006-01,35
2006-02,27
2006-03,0
2006-04,25
2006-05,16
2006-06,0
2006-07,8
2006-08,15
2006-09,37
2006-10,0
2006-11,7
2006-12,34
2007-01,24
2007-02,25
2007-03,23
2007-04,12
2007-05,16
2007-06,6
2007-07,11
2007-08,15
2007-09,15
2007-10,32
2007-11,23
2007-12,19
2008-01,12
2008-02,30
2008-03,25
2008-04,29
2008-05,25
2008-06,4
2008-07,4
2008-08,8
2008-09,35
2008-10,28
2008-11,8
2008-12,35
2009-01,22
2009-02,65
2009-03,31
2009-04,31
2009-05,21
2009-06,18
2009-07,14
2009-08,14
2009-09,10
2009-10,48
2009-11,36
2009-12,26
2010-01,24
2010-02,54
2010-03,48
2010-04,24
2010-05,9
2010-06,12
2010-07,22
2010-08,21
2010-09,45
2010-10,47
2010-11,31
2010-12,21
2011-01,22
2011-02,40
2011-03,27
2011-04,28
2011-05,33
2011-06,28
2011-07,22
2011-08,12
2011-09,36
2011-10,50
2011-11,33
2011-12,33
2012-01,31
2012-02,41
2012-03,38
2012-04,38
2012-05,23
2012-06,20
2012-07,19
2012-08,15
2012-09,41
2012-10,49
2012-11,24
2012-12,25
2013-01,34
2013-02,53
2013-03,20
2013-04,43
2013-05,29
2013-06,24
2013-07,32
2013-08,13
2013-09,47
2013-10,58
2013-11,24
2013-12,28
2014-01,20
2014-02,50
2014-03,42
2014-04,35
2014-05,49
2014-06,25
2014-07,20
2014-08,16
2014-09,51
2014-10,50
2014-11,48
2014-12,38
2015-01,21
2015-02,62
2015-03,53
2015-04,30
2015-05,35
2015-06,28
2015-07,20
2015-08,12
2015-09,68
2015-10,65
2015-11,40
2015-12,28
2016-01,32
2016-02,51
2016-03,49
2016-04,23
2016-05,21
2016-06,30
2016-07,18
2016-08,3
2016-09,42
2016-10,72
2016-11,37
2016-12,25
2017-01,26
2017-02,69
2017-03,49
2017-04,33
2017-05,29
2017-06,30
2017-07,20
2017-08,14
2017-09,59
2017-10,64
2017-11,38
2017-12,32
2018-01,45
2018-02,67
2018-03,48
2018-04,53
2018-05,27
2018-06,20
2018-07,27
2018-08,16
2018-09,44
2018-10,50
2018-11,36
2018-12,29
2019-01,22
2019-02,67
2019-03,48
2019-04,31
2019-05,24
2019-06,17
2019-07,15
2019-08,13
2019-09,42
2019-10,39
2019-11,21
2019-12,28
2020-01,19
2020-02,55
2020-03,42
2020-04,48
2020-05,35
2020-06,21
2020-07,23
2020-08,13
2020-09,60
2020-10,72
2020-11,41
2020-12,15
2021-01,20
2021-02,51
2021-03,43
2021-04,31
2021-05,26
2021-06,17
2021-07,19
2021-08,7
2021-09,40
2021-10,57
2021-11,33
2021-12,14
2022-01,19
2022-02,50
2022-03,33
2022-04,27
2022-05,27
