Category: All categories

Month,gdp definition economics: (United States)
2004-01,0
2004-02,23
2004-03,0
2004-04,0
2004-05,20
2004-06,21
2004-07,0
2004-08,0
2004-09,19
2004-10,57
2004-11,20
2004-12,0
2005-01,0
2005-02,32
2005-03,41
2005-04,0
2005-05,0
2005-06,14
2005-07,14
2005-08,13
2005-09,0
2005-10,12
2005-11,0
2005-12,0
2006-01,10
2006-02,21
2006-03,0
2006-04,10
2006-05,18
2006-06,10
2006-07,0
2006-08,0
2006-09,0
2006-10,8
2006-11,0
2006-12,0
2007-01,7
2007-02,0
2007-03,7
2007-04,7
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,12
2007-10,5
2007-11,5
2007-12,5
2008-01,5
2008-02,10
2008-03,0
2008-04,5
2008-05,10
2008-06,15
2008-07,5
2008-08,0
2008-09,22
2008-10,0
2008-11,9
2008-12,0
2009-01,0
2009-02,0
2009-03,4
2009-04,0
2009-05,20
2009-06,8
2009-07,0
2009-08,12
2009-09,8
2009-10,7
2009-11,11
2009-12,15
2010-01,4
2010-02,11
2010-03,13
2010-04,17
2010-05,18
2010-06,4
2010-07,6
2010-08,9
2010-09,21
2010-10,9
2010-11,28
2010-12,3
2011-01,2
2011-02,26
2011-03,13
2011-04,34
2011-05,9
2011-06,11
2011-07,11
2011-08,14
2011-09,33
2011-10,25
2011-11,29
2011-12,19
2012-01,16
2012-02,11
2012-03,22
2012-04,14
2012-05,31
2012-06,16
2012-07,10
2012-08,20
2012-09,20
2012-10,34
2012-11,16
2012-12,8
2013-01,10
2013-02,12
2013-03,27
2013-04,22
2013-05,23
2013-06,8
2013-07,10
2013-08,10
2013-09,23
2013-10,38
2013-11,11
2013-12,23
2014-01,28
2014-02,33
2014-03,21
2014-04,22
2014-05,29
2014-06,21
2014-07,8
2014-08,6
2014-09,41
2014-10,36
2014-11,20
2014-12,24
2015-01,41
2015-02,21
2015-03,32
2015-04,44
2015-05,23
2015-06,18
2015-07,19
2015-08,12
2015-09,46
2015-10,44
2015-11,47
2015-12,43
2016-01,31
2016-02,39
2016-03,38
2016-04,39
2016-05,55
2016-06,14
2016-07,6
2016-08,14
2016-09,50
2016-10,65
2016-11,46
2016-12,42
2017-01,48
2017-02,63
2017-03,58
2017-04,64
2017-05,73
2017-06,33
2017-07,8
2017-08,22
2017-09,44
2017-10,63
2017-11,67
2017-12,66
2018-01,48
2018-02,64
2018-03,57
2018-04,61
2018-05,83
2018-06,28
2018-07,19
2018-08,26
2018-09,47
2018-10,68
2018-11,63
2018-12,66
2019-01,50
2019-02,67
2019-03,82
2019-04,65
2019-05,79
2019-06,27
2019-07,7
2019-08,25
2019-09,54
2019-10,63
2019-11,62
2019-12,70
2020-01,46
2020-02,60
2020-03,49
2020-04,47
2020-05,39
2020-06,22
2020-07,18
2020-08,16
2020-09,61
2020-10,100
2020-11,49
2020-12,51
2021-01,30
2021-02,46
2021-03,54
2021-04,63
2021-05,36
2021-06,21
2021-07,10
2021-08,16
2021-09,44
2021-10,52
2021-11,43
2021-12,39
2022-01,32
2022-02,45
2022-03,38
2022-04,49
2022-05,48
