Category: All categories

Month,gdp definition: (United States)
2004-01,18
2004-02,8
2004-03,15
2004-04,17
2004-05,16
2004-06,5
2004-07,11
2004-08,13
2004-09,24
2004-10,31
2004-11,22
2004-12,15
2005-01,13
2005-02,23
2005-03,24
2005-04,15
2005-05,21
2005-06,17
2005-07,7
2005-08,9
2005-09,12
2005-10,21
2005-11,15
2005-12,5
2006-01,16
2006-02,13
2006-03,9
2006-04,11
2006-05,13
2006-06,6
2006-07,8
2006-08,4
2006-09,12
2006-10,12
2006-11,19
2006-12,7
2007-01,11
2007-02,10
2007-03,8
2007-04,9
2007-05,6
2007-06,7
2007-07,3
2007-08,4
2007-09,10
2007-10,14
2007-11,9
2007-12,13
2008-01,15
2008-02,14
2008-03,12
2008-04,16
2008-05,10
2008-06,10
2008-07,3
2008-08,4
2008-09,19
2008-10,23
2008-11,19
2008-12,15
2009-01,15
2009-02,21
2009-03,23
2009-04,20
2009-05,18
2009-06,13
2009-07,8
2009-08,11
2009-09,24
2009-10,24
2009-11,25
2009-12,21
2010-01,20
2010-02,22
2010-03,22
2010-04,22
2010-05,23
2010-06,13
2010-07,12
2010-08,10
2010-09,17
2010-10,21
2010-11,20
2010-12,12
2011-01,14
2011-02,18
2011-03,17
2011-04,23
2011-05,20
2011-06,10
2011-07,13
2011-08,16
2011-09,24
2011-10,25
2011-11,22
2011-12,19
2012-01,16
2012-02,23
2012-03,23
2012-04,19
2012-05,21
2012-06,12
2012-07,11
2012-08,11
2012-09,26
2012-10,29
2012-11,27
2012-12,18
2013-01,19
2013-02,27
2013-03,24
2013-04,27
2013-05,24
2013-06,11
2013-07,8
2013-08,9
2013-09,25
2013-10,33
2013-11,26
2013-12,25
2014-01,21
2014-02,35
2014-03,27
2014-04,31
2014-05,32
2014-06,14
2014-07,9
2014-08,9
2014-09,33
2014-10,34
2014-11,27
2014-12,25
2015-01,25
2015-02,28
2015-03,31
2015-04,43
2015-05,38
2015-06,24
2015-07,22
2015-08,22
2015-09,56
2015-10,56
2015-11,47
2015-12,43
2016-01,40
2016-02,54
2016-03,46
2016-04,50
2016-05,48
2016-06,24
2016-07,19
2016-08,25
2016-09,49
2016-10,100
2016-11,49
2016-12,42
2017-01,43
2017-02,58
2017-03,52
2017-04,49
2017-05,46
2017-06,21
2017-07,16
2017-08,18
2017-09,44
2017-10,55
2017-11,49
2017-12,40
2018-01,40
2018-02,48
2018-03,43
2018-04,43
2018-05,43
2018-06,21
2018-07,35
2018-08,22
2018-09,36
2018-10,50
2018-11,47
2018-12,39
2019-01,41
2019-02,47
2019-03,48
2019-04,46
2019-05,44
2019-06,19
2019-07,18
2019-08,23
2019-09,39
2019-10,42
2019-11,31
2019-12,30
2020-01,27
2020-02,44
2020-03,44
2020-04,43
2020-05,30
2020-06,18
2020-07,25
2020-08,20
2020-09,41
2020-10,57
2020-11,31
2020-12,24
2021-01,22
2021-02,28
2021-03,29
2021-04,29
2021-05,21
2021-06,11
2021-07,10
2021-08,12
2021-09,26
2021-10,24
2021-11,20
2021-12,20
2022-01,18
2022-02,29
2022-03,27
2022-04,26
2022-05,26
