Category: All categories

Month,gdp growth rate: (United States)
2004-01,32
2004-02,36
2004-03,46
2004-04,71
2004-05,41
2004-06,19
2004-07,5
2004-08,35
2004-09,46
2004-10,21
2004-11,57
2004-12,23
2005-01,21
2005-02,65
2005-03,46
2005-04,42
2005-05,25
2005-06,6
2005-07,16
2005-08,21
2005-09,47
2005-10,55
2005-11,43
2005-12,58
2006-01,20
2006-02,51
2006-03,39
2006-04,50
2006-05,39
2006-06,22
2006-07,21
2006-08,17
2006-09,43
2006-10,36
2006-11,30
2006-12,28
2007-01,31
2007-02,41
2007-03,42
2007-04,36
2007-05,38
2007-06,22
2007-07,21
2007-08,20
2007-09,49
2007-10,37
2007-11,58
2007-12,33
2008-01,36
2008-02,65
2008-03,35
2008-04,65
2008-05,24
2008-06,21
2008-07,30
2008-08,21
2008-09,48
2008-10,62
2008-11,50
2008-12,31
2009-01,31
2009-02,69
2009-03,36
2009-04,64
2009-05,50
2009-06,40
2009-07,31
2009-08,28
2009-09,44
2009-10,64
2009-11,65
2009-12,55
2010-01,46
2010-02,69
2010-03,58
2010-04,68
2010-05,44
2010-06,36
2010-07,22
2010-08,28
2010-09,35
2010-10,57
2010-11,48
2010-12,36
2011-01,41
2011-02,59
2011-03,55
2011-04,61
2011-05,44
2011-06,29
2011-07,32
2011-08,35
2011-09,43
2011-10,58
2011-11,51
2011-12,38
2012-01,35
2012-02,66
2012-03,53
2012-04,62
2012-05,45
2012-06,36
2012-07,32
2012-08,24
2012-09,59
2012-10,73
2012-11,57
2012-12,38
2013-01,41
2013-02,69
2013-03,44
2013-04,63
2013-05,40
2013-06,26
2013-07,28
2013-08,18
2013-09,52
2013-10,69
2013-11,55
2013-12,49
2014-01,36
2014-02,72
2014-03,59
2014-04,56
2014-05,48
2014-06,29
2014-07,25
2014-08,22
2014-09,56
2014-10,65
2014-11,59
2014-12,41
2015-01,40
2015-02,71
2015-03,62
2015-04,64
2015-05,40
2015-06,37
2015-07,29
2015-08,20
2015-09,63
2015-10,79
2015-11,58
2015-12,52
2016-01,45
2016-02,83
2016-03,68
2016-04,63
2016-05,46
2016-06,35
2016-07,28
2016-08,26
2016-09,56
2016-10,84
2016-11,66
2016-12,49
2017-01,47
2017-02,81
2017-03,75
2017-04,82
2017-05,47
2017-06,34
2017-07,35
2017-08,27
2017-09,62
2017-10,87
2017-11,72
2017-12,61
2018-01,52
2018-02,84
2018-03,75
2018-04,73
2018-05,52
2018-06,46
2018-07,62
2018-08,38
2018-09,73
2018-10,90
2018-11,67
2018-12,48
2019-01,42
2019-02,88
2019-03,77
2019-04,74
2019-05,61
2019-06,40
2019-07,34
2019-08,32
2019-09,76
2019-10,85
2019-11,62
2019-12,50
2020-01,41
2020-02,88
2020-03,70
2020-04,70
2020-05,42
2020-06,38
2020-07,36
2020-08,29
2020-09,60
2020-10,100
2020-11,60
2020-12,39
2021-01,44
2021-02,60
2021-03,76
2021-04,69
2021-05,41
2021-06,25
2021-07,28
2021-08,17
2021-09,53
2021-10,77
2021-11,62
2021-12,41
2022-01,34
2022-02,69
2022-03,59
2022-04,63
2022-05,49
