Category: All categories

Month,gdp growth: (United States)
2004-01,45
2004-02,49
2004-03,24
2004-04,57
2004-05,38
2004-06,27
2004-07,23
2004-08,34
2004-09,30
2004-10,36
2004-11,39
2004-12,24
2005-01,22
2005-02,38
2005-03,41
2005-04,43
2005-05,30
2005-06,22
2005-07,19
2005-08,17
2005-09,38
2005-10,38
2005-11,45
2005-12,37
2006-01,26
2006-02,36
2006-03,37
2006-04,42
2006-05,39
2006-06,18
2006-07,21
2006-08,18
2006-09,33
2006-10,37
2006-11,25
2006-12,30
2007-01,28
2007-02,31
2007-03,41
2007-04,31
2007-05,29
2007-06,22
2007-07,18
2007-08,20
2007-09,32
2007-10,32
2007-11,43
2007-12,30
2008-01,35
2008-02,45
2008-03,33
2008-04,47
2008-05,25
2008-06,20
2008-07,23
2008-08,25
2008-09,39
2008-10,52
2008-11,43
2008-12,29
2009-01,26
2009-02,45
2009-03,36
2009-04,41
2009-05,33
2009-06,22
2009-07,25
2009-08,25
2009-09,32
2009-10,39
2009-11,40
2009-12,32
2010-01,32
2010-02,39
2010-03,35
2010-04,41
2010-05,29
2010-06,24
2010-07,19
2010-08,23
2010-09,28
2010-10,38
2010-11,35
2010-12,29
2011-01,29
2011-02,36
2011-03,35
2011-04,38
2011-05,29
2011-06,23
2011-07,25
2011-08,28
2011-09,32
2011-10,42
2011-11,35
2011-12,27
2012-01,28
2012-02,39
2012-03,34
2012-04,42
2012-05,30
2012-06,24
2012-07,26
2012-08,25
2012-09,37
2012-10,49
2012-11,38
2012-12,27
2013-01,31
2013-02,40
2013-03,30
2013-04,39
2013-05,27
2013-06,19
2013-07,21
2013-08,16
2013-09,29
2013-10,40
2013-11,35
2013-12,29
2014-01,26
2014-02,41
2014-03,36
2014-04,38
2014-05,32
2014-06,24
2014-07,22
2014-08,18
2014-09,33
2014-10,41
2014-11,38
2014-12,31
2015-01,31
2015-02,42
2015-03,35
2015-04,41
2015-05,31
2015-06,24
2015-07,23
2015-08,22
2015-09,37
2015-10,41
2015-11,37
2015-12,32
2016-01,31
2016-02,48
2016-03,40
2016-04,42
2016-05,32
2016-06,26
2016-07,24
2016-08,25
2016-09,35
2016-10,59
2016-11,47
2016-12,38
2017-01,36
2017-02,48
2017-03,47
2017-04,47
2017-05,35
2017-06,26
2017-07,27
2017-08,28
2017-09,40
2017-10,54
2017-11,48
2017-12,55
2018-01,47
2018-02,52
2018-03,46
2018-04,46
2018-05,34
2018-06,37
2018-07,100
2018-08,40
2018-09,54
2018-10,58
2018-11,47
2018-12,35
2019-01,35
2019-02,53
2019-03,51
2019-04,53
2019-05,38
2019-06,29
2019-07,35
2019-08,29
2019-09,44
2019-10,51
2019-11,44
2019-12,35
2020-01,34
2020-02,64
2020-03,43
2020-04,42
2020-05,27
2020-06,25
2020-07,25
2020-08,24
2020-09,39
2020-10,71
2020-11,43
2020-12,24
2021-01,30
2021-02,35
2021-03,39
2021-04,35
2021-05,27
2021-06,17
2021-07,18
2021-08,15
2021-09,29
2021-10,38
2021-11,33
2021-12,25
2022-01,27
2022-02,36
2022-03,32
2022-04,42
2022-05,32
