Category: All categories

Month,gdp is: (United States)
2004-01,9
2004-02,20
2004-03,15
2004-04,13
2004-05,15
2004-06,7
2004-07,10
2004-08,6
2004-09,14
2004-10,18
2004-11,16
2004-12,15
2005-01,12
2005-02,12
2005-03,15
2005-04,18
2005-05,7
2005-06,11
2005-07,8
2005-08,6
2005-09,13
2005-10,16
2005-11,13
2005-12,8
2006-01,9
2006-02,14
2006-03,16
2006-04,16
2006-05,11
2006-06,6
2006-07,7
2006-08,7
2006-09,10
2006-10,13
2006-11,10
2006-12,9
2007-01,10
2007-02,11
2007-03,10
2007-04,11
2007-05,8
2007-06,6
2007-07,10
2007-08,6
2007-09,11
2007-10,15
2007-11,13
2007-12,12
2008-01,13
2008-02,15
2008-03,14
2008-04,16
2008-05,15
2008-06,9
2008-07,9
2008-08,8
2008-09,21
2008-10,26
2008-11,24
2008-12,14
2009-01,19
2009-02,27
2009-03,23
2009-04,25
2009-05,22
2009-06,15
2009-07,13
2009-08,11
2009-09,23
2009-10,31
2009-11,31
2009-12,21
2010-01,23
2010-02,35
2010-03,34
2010-04,31
2010-05,30
2010-06,17
2010-07,14
2010-08,14
2010-09,26
2010-10,30
2010-11,33
2010-12,25
2011-01,26
2011-02,37
2011-03,36
2011-04,38
2011-05,30
2011-06,21
2011-07,23
2011-08,21
2011-09,37
2011-10,48
2011-11,42
2011-12,29
2012-01,29
2012-02,44
2012-03,37
2012-04,40
2012-05,35
2012-06,23
2012-07,19
2012-08,20
2012-09,45
2012-10,54
2012-11,45
2012-12,33
2013-01,30
2013-02,52
2013-03,44
2013-04,50
2013-05,39
2013-06,22
2013-07,19
2013-08,17
2013-09,40
2013-10,59
2013-11,45
2013-12,35
2014-01,29
2014-02,51
2014-03,49
2014-04,50
2014-05,44
2014-06,26
2014-07,23
2014-08,17
2014-09,44
2014-10,59
2014-11,49
2014-12,39
2015-01,36
2015-02,58
2015-03,53
2015-04,55
2015-05,44
2015-06,28
2015-07,24
2015-08,19
2015-09,49
2015-10,71
2015-11,58
2015-12,42
2016-01,41
2016-02,72
2016-03,63
2016-04,64
2016-05,50
2016-06,28
2016-07,23
2016-08,21
2016-09,52
2016-10,78
2016-11,62
2016-12,50
2017-01,44
2017-02,73
2017-03,72
2017-04,68
2017-05,54
2017-06,31
2017-07,26
2017-08,22
2017-09,54
2017-10,75
2017-11,69
2017-12,50
2018-01,45
2018-02,74
2018-03,66
2018-04,72
2018-05,56
2018-06,35
2018-07,46
2018-08,31
2018-09,64
2018-10,80
2018-11,67
2018-12,50
2019-01,50
2019-02,77
2019-03,73
2019-04,74
2019-05,57
2019-06,32
2019-07,29
2019-08,27
2019-09,58
2019-10,74
2019-11,65
2019-12,50
2020-01,47
2020-02,79
2020-03,71
2020-04,80
2020-05,62
2020-06,42
2020-07,45
2020-08,33
2020-09,77
2020-10,100
2020-11,68
2020-12,48
2021-01,44
2021-02,72
2021-03,71
2021-04,67
2021-05,52
2021-06,29
2021-07,27
2021-08,25
2021-09,58
2021-10,74
2021-11,64
2021-12,46
2022-01,38
2022-02,75
2022-03,64
2022-04,70
2022-05,61
