Category: All categories

Month,gdp list: (United States)
2004-01,51
2004-02,10
2004-03,13
2004-04,39
2004-05,62
2004-06,36
2004-07,9
2004-08,17
2004-09,56
2004-10,41
2004-11,17
2004-12,15
2005-01,33
2005-02,28
2005-03,53
2005-04,34
2005-05,30
2005-06,31
2005-07,24
2005-08,11
2005-09,48
2005-10,30
2005-11,31
2005-12,24
2006-01,17
2006-02,40
2006-03,28
2006-04,42
2006-05,20
2006-06,12
2006-07,12
2006-08,15
2006-09,30
2006-10,14
2006-11,17
2006-12,24
2007-01,33
2007-02,41
2007-03,28
2007-04,46
2007-05,29
2007-06,34
2007-07,18
2007-08,20
2007-09,20
2007-10,34
2007-11,43
2007-12,40
2008-01,41
2008-02,60
2008-03,38
2008-04,47
2008-05,48
2008-06,24
2008-07,38
2008-08,33
2008-09,69
2008-10,60
2008-11,47
2008-12,35
2009-01,27
2009-02,46
2009-03,43
2009-04,47
2009-05,32
2009-06,36
2009-07,35
2009-08,34
2009-09,45
2009-10,67
2009-11,46
2009-12,30
2010-01,56
2010-02,77
2010-03,52
2010-04,54
2010-05,47
2010-06,34
2010-07,30
2010-08,41
2010-09,51
2010-10,60
2010-11,50
2010-12,50
2011-01,49
2011-02,63
2011-03,58
2011-04,47
2011-05,61
2011-06,36
2011-07,54
2011-08,53
2011-09,63
2011-10,47
2011-11,56
2011-12,39
2012-01,48
2012-02,65
2012-03,49
2012-04,62
2012-05,52
2012-06,43
2012-07,40
2012-08,40
2012-09,56
2012-10,53
2012-11,61
2012-12,34
2013-01,50
2013-02,51
2013-03,54
2013-04,50
2013-05,46
2013-06,31
2013-07,37
2013-08,50
2013-09,45
2013-10,56
2013-11,53
2013-12,58
2014-01,62
2014-02,94
2014-03,87
2014-04,92
2014-05,88
2014-06,77
2014-07,78
2014-08,59
2014-09,81
2014-10,94
2014-11,89
2014-12,93
2015-01,76
2015-02,86
2015-03,94
2015-04,100
2015-05,88
2015-06,74
2015-07,88
2015-08,75
2015-09,98
2015-10,95
2015-11,85
2015-12,76
2016-01,70
2016-02,97
2016-03,64
2016-04,63
2016-05,71
2016-06,66
2016-07,53
2016-08,51
2016-09,54
2016-10,59
2016-11,61
2016-12,62
2017-01,52
2017-02,71
2017-03,65
2017-04,59
2017-05,57
2017-06,50
2017-07,48
2017-08,42
2017-09,57
2017-10,61
2017-11,55
2017-12,55
2018-01,57
2018-02,58
2018-03,52
2018-04,67
2018-05,51
2018-06,47
2018-07,58
2018-08,47
2018-09,50
2018-10,49
2018-11,62
2018-12,41
2019-01,46
2019-02,54
2019-03,51
2019-04,49
2019-05,39
2019-06,43
2019-07,27
2019-08,38
2019-09,45
2019-10,49
2019-11,38
2019-12,40
2020-01,43
2020-02,54
2020-03,42
2020-04,50
2020-05,48
2020-06,39
2020-07,42
2020-08,31
2020-09,48
2020-10,44
2020-11,36
2020-12,32
2021-01,35
2021-02,35
2021-03,41
2021-04,36
2021-05,36
2021-06,32
2021-07,24
2021-08,27
2021-09,29
2021-10,40
2021-11,28
2021-12,27
2022-01,36
2022-02,50
2022-03,54
2022-04,40
2022-05,37
