Category: All categories

Month,gdp meaning: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,7
2004-06,0
2004-07,0
2004-08,7
2004-09,7
2004-10,7
2004-11,0
2004-12,6
2005-01,6
2005-02,6
2005-03,0
2005-04,11
2005-05,5
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,4
2006-01,0
2006-02,4
2006-03,3
2006-04,7
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,3
2006-10,6
2006-11,6
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,11
2007-06,0
2007-07,0
2007-08,0
2007-09,6
2007-10,2
2007-11,6
2007-12,0
2008-01,5
2008-02,4
2008-03,0
2008-04,3
2008-05,7
2008-06,2
2008-07,0
2008-08,2
2008-09,3
2008-10,9
2008-11,5
2008-12,5
2009-01,3
2009-02,3
2009-03,3
2009-04,13
2009-05,6
2009-06,3
2009-07,6
2009-08,1
2009-09,3
2009-10,7
2009-11,3
2009-12,4
2010-01,6
2010-02,9
2010-03,7
2010-04,8
2010-05,8
2010-06,3
2010-07,2
2010-08,2
2010-09,5
2010-10,9
2010-11,9
2010-12,4
2011-01,5
2011-02,9
2011-03,9
2011-04,9
2011-05,4
2011-06,5
2011-07,2
2011-08,6
2011-09,7
2011-10,8
2011-11,6
2011-12,5
2012-01,6
2012-02,7
2012-03,11
2012-04,13
2012-05,10
2012-06,7
2012-07,3
2012-08,7
2012-09,15
2012-10,13
2012-11,15
2012-12,10
2013-01,4
2013-02,7
2013-03,10
2013-04,7
2013-05,7
2013-06,9
2013-07,4
2013-08,5
2013-09,7
2013-10,15
2013-11,16
2013-12,11
2014-01,11
2014-02,14
2014-03,9
2014-04,15
2014-05,11
2014-06,10
2014-07,8
2014-08,6
2014-09,13
2014-10,12
2014-11,16
2014-12,19
2015-01,14
2015-02,17
2015-03,18
2015-04,21
2015-05,21
2015-06,9
2015-07,10
2015-08,9
2015-09,18
2015-10,23
2015-11,16
2015-12,16
2016-01,13
2016-02,18
2016-03,19
2016-04,17
2016-05,19
2016-06,12
2016-07,6
2016-08,11
2016-09,25
2016-10,27
2016-11,29
2016-12,21
2017-01,29
2017-02,32
2017-03,30
2017-04,32
2017-05,27
2017-06,15
2017-07,12
2017-08,16
2017-09,33
2017-10,32
2017-11,27
2017-12,25
2018-01,31
2018-02,28
2018-03,32
2018-04,29
2018-05,28
2018-06,18
2018-07,29
2018-08,23
2018-09,73
2018-10,40
2018-11,37
2018-12,31
2019-01,33
2019-02,44
2019-03,33
2019-04,34
2019-05,34
2019-06,16
2019-07,16
2019-08,29
2019-09,39
2019-10,36
2019-11,36
2019-12,25
2020-01,30
2020-02,43
2020-03,41
2020-04,45
2020-05,44
2020-06,31
2020-07,42
2020-08,34
2020-09,55
2020-10,100
2020-11,56
2020-12,34
2021-01,55
2021-02,69
2021-03,54
2021-04,47
2021-05,53
2021-06,35
2021-07,31
2021-08,36
2021-09,57
2021-10,49
2021-11,44
2021-12,48
2022-01,47
2022-02,67
2022-03,67
2022-04,59
2022-05,67
