Category: All categories

Month,gdp per capita by country: (United States)
2004-01,0
2004-02,35
2004-03,23
2004-04,52
2004-05,16
2004-06,32
2004-07,0
2004-08,60
2004-09,0
2004-10,15
2004-11,15
2004-12,13
2005-01,12
2005-02,12
2005-03,21
2005-04,12
2005-05,11
2005-06,0
2005-07,0
2005-08,10
2005-09,0
2005-10,9
2005-11,0
2005-12,9
2006-01,0
2006-02,0
2006-03,14
2006-04,7
2006-05,0
2006-06,7
2006-07,14
2006-08,7
2006-09,13
2006-10,0
2006-11,6
2006-12,18
2007-01,5
2007-02,11
2007-03,5
2007-04,20
2007-05,19
2007-06,15
2007-07,9
2007-08,0
2007-09,27
2007-10,32
2007-11,16
2007-12,17
2008-01,37
2008-02,15
2008-03,15
2008-04,11
2008-05,11
2008-06,8
2008-07,7
2008-08,33
2008-09,14
2008-10,31
2008-11,56
2008-12,27
2009-01,19
2009-02,24
2009-03,31
2009-04,68
2009-05,53
2009-06,35
2009-07,35
2009-08,34
2009-09,80
2009-10,82
2009-11,93
2009-12,63
2010-01,100
2010-02,89
2010-03,92
2010-04,98
2010-05,89
2010-06,42
2010-07,31
2010-08,60
2010-09,76
2010-10,46
2010-11,60
2010-12,54
2011-01,61
2011-02,66
2011-03,77
2011-04,90
2011-05,69
2011-06,56
2011-07,59
2011-08,55
2011-09,70
2011-10,67
2011-11,79
2011-12,60
2012-01,65
2012-02,65
2012-03,56
2012-04,66
2012-05,56
2012-06,57
2012-07,40
2012-08,39
2012-09,56
2012-10,42
2012-11,47
2012-12,21
2013-01,44
2013-02,52
2013-03,24
2013-04,50
2013-05,36
2013-06,17
2013-07,29
2013-08,27
2013-09,38
2013-10,46
2013-11,36
2013-12,31
2014-01,39
2014-02,46
2014-03,53
2014-04,50
2014-05,48
2014-06,35
2014-07,32
2014-08,29
2014-09,51
2014-10,52
2014-11,43
2014-12,40
2015-01,44
2015-02,64
2015-03,48
2015-04,46
2015-05,37
2015-06,38
2015-07,44
2015-08,25
2015-09,53
2015-10,47
2015-11,56
2015-12,38
2016-01,29
2016-02,57
2016-03,49
2016-04,37
2016-05,38
2016-06,26
2016-07,22
2016-08,25
2016-09,44
2016-10,62
2016-11,52
2016-12,37
2017-01,55
2017-02,58
2017-03,49
2017-04,47
2017-05,50
2017-06,40
2017-07,30
2017-08,41
2017-09,63
2017-10,49
2017-11,51
2017-12,31
2018-01,40
2018-02,61
2018-03,51
2018-04,49
2018-05,39
2018-06,33
2018-07,43
2018-08,38
2018-09,46
2018-10,65
2018-11,56
2018-12,50
2019-01,40
2019-02,71
2019-03,59
2019-04,61
2019-05,64
2019-06,46
2019-07,43
2019-08,52
2019-09,55
2019-10,74
2019-11,54
2019-12,55
2020-01,55
2020-02,71
2020-03,59
2020-04,61
2020-05,44
2020-06,38
2020-07,46
2020-08,45
2020-09,61
2020-10,65
2020-11,43
2020-12,34
2021-01,43
2021-02,72
2021-03,61
2021-04,61
2021-05,43
2021-06,38
2021-07,44
2021-08,40
2021-09,58
2021-10,56
2021-11,39
2021-12,39
2022-01,40
2022-02,82
2022-03,70
2022-04,48
2022-05,59
