Category: All categories

Month,gdp per capita definition: (United States)
2004-01,41
2004-02,20
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,19
2004-08,0
2004-09,16
2004-10,84
2004-11,34
2004-12,31
2005-01,0
2005-02,14
2005-03,12
2005-04,28
2005-05,49
2005-06,13
2005-07,25
2005-08,12
2005-09,33
2005-10,41
2005-11,10
2005-12,0
2006-01,18
2006-02,18
2006-03,8
2006-04,34
2006-05,16
2006-06,0
2006-07,25
2006-08,8
2006-09,15
2006-10,14
2006-11,55
2006-12,21
2007-01,12
2007-02,19
2007-03,23
2007-04,0
2007-05,11
2007-06,0
2007-07,0
2007-08,5
2007-09,0
2007-10,32
2007-11,23
2007-12,38
2008-01,0
2008-02,22
2008-03,21
2008-04,8
2008-05,17
2008-06,18
2008-07,0
2008-08,0
2008-09,23
2008-10,36
2008-11,20
2008-12,8
2009-01,11
2009-02,19
2009-03,56
2009-04,32
2009-05,22
2009-06,15
2009-07,4
2009-08,11
2009-09,34
2009-10,19
2009-11,37
2009-12,23
2010-01,34
2010-02,26
2010-03,41
2010-04,24
2010-05,48
2010-06,39
2010-07,8
2010-08,19
2010-09,26
2010-10,23
2010-11,35
2010-12,22
2011-01,27
2011-02,31
2011-03,30
2011-04,33
2011-05,27
2011-06,6
2011-07,10
2011-08,20
2011-09,27
2011-10,51
2011-11,26
2011-12,26
2012-01,33
2012-02,39
2012-03,42
2012-04,27
2012-05,36
2012-06,17
2012-07,9
2012-08,15
2012-09,53
2012-10,49
2012-11,44
2012-12,35
2013-01,32
2013-02,48
2013-03,21
2013-04,42
2013-05,42
2013-06,22
2013-07,9
2013-08,15
2013-09,62
2013-10,54
2013-11,44
2013-12,39
2014-01,27
2014-02,45
2014-03,42
2014-04,49
2014-05,69
2014-06,21
2014-07,17
2014-08,14
2014-09,82
2014-10,55
2014-11,60
2014-12,41
2015-01,48
2015-02,43
2015-03,58
2015-04,87
2015-05,62
2015-06,41
2015-07,25
2015-08,29
2015-09,83
2015-10,90
2015-11,100
2015-12,80
2016-01,69
2016-02,73
2016-03,69
2016-04,66
2016-05,63
2016-06,28
2016-07,25
2016-08,32
2016-09,88
2016-10,86
2016-11,69
2016-12,56
2017-01,59
2017-02,78
2017-03,87
2017-04,66
2017-05,81
2017-06,18
2017-07,22
2017-08,19
2017-09,83
2017-10,95
2017-11,92
2017-12,70
2018-01,71
2018-02,93
2018-03,82
2018-04,74
2018-05,78
2018-06,26
2018-07,17
2018-08,27
2018-09,66
2018-10,89
2018-11,69
2018-12,63
2019-01,64
2019-02,91
2019-03,85
2019-04,84
2019-05,78
2019-06,29
2019-07,14
2019-08,24
2019-09,61
2019-10,88
2019-11,64
2019-12,43
2020-01,53
2020-02,62
2020-03,62
2020-04,53
2020-05,39
2020-06,24
2020-07,17
2020-08,13
2020-09,75
2020-10,73
2020-11,40
2020-12,32
2021-01,26
2021-02,38
2021-03,46
2021-04,50
2021-05,32
2021-06,12
2021-07,10
2021-08,12
2021-09,38
2021-10,31
2021-11,38
2021-12,23
2022-01,23
2022-02,44
2022-03,35
2022-04,28
2022-05,21
