Category: All categories

Month,gdp per capita meaning: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,63
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,52
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,61
2007-06,0
2007-07,0
2007-08,0
2007-09,19
2007-10,0
2007-11,17
2007-12,0
2008-01,0
2008-02,16
2008-03,0
2008-04,0
2008-05,0
2008-06,17
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,15
2009-01,0
2009-02,0
2009-03,0
2009-04,13
2009-05,0
2009-06,0
2009-07,0
2009-08,13
2009-09,0
2009-10,12
2009-11,0
2009-12,12
2010-01,12
2010-02,0
2010-03,0
2010-04,0
2010-05,12
2010-06,12
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,18
2010-12,0
2011-01,7
2011-02,23
2011-03,7
2011-04,7
2011-05,0
2011-06,0
2011-07,0
2011-08,20
2011-09,7
2011-10,6
2011-11,0
2011-12,18
2012-01,17
2012-02,6
2012-03,28
2012-04,12
2012-05,17
2012-06,6
2012-07,6
2012-08,16
2012-09,11
2012-10,25
2012-11,16
2012-12,0
2013-01,14
2013-02,5
2013-03,14
2013-04,9
2013-05,5
2013-06,10
2013-07,0
2013-08,5
2013-09,18
2013-10,13
2013-11,28
2013-12,27
2014-01,13
2014-02,19
2014-03,13
2014-04,35
2014-05,9
2014-06,0
2014-07,0
2014-08,15
2014-09,0
2014-10,18
2014-11,5
2014-12,15
2015-01,19
2015-02,30
2015-03,19
2015-04,24
2015-05,35
2015-06,10
2015-07,15
2015-08,10
2015-09,10
2015-10,37
2015-11,28
2015-12,28
2016-01,11
2016-02,24
2016-03,22
2016-04,15
2016-05,20
2016-06,8
2016-07,12
2016-08,8
2016-09,43
2016-10,34
2016-11,42
2016-12,44
2017-01,69
2017-02,44
2017-03,73
2017-04,39
2017-05,43
2017-06,46
2017-07,19
2017-08,29
2017-09,50
2017-10,49
2017-11,56
2017-12,25
2018-01,50
2018-02,44
2018-03,60
2018-04,59
2018-05,34
2018-06,25
2018-07,21
2018-08,35
2018-09,67
2018-10,51
2018-11,48
2018-12,28
2019-01,47
2019-02,85
2019-03,80
2019-04,49
2019-05,78
2019-06,18
2019-07,24
2019-08,43
2019-09,65
2019-10,71
2019-11,51
2019-12,29
2020-01,51
2020-02,60
2020-03,55
2020-04,49
2020-05,49
2020-06,26
2020-07,38
2020-08,46
2020-09,100
2020-10,90
2020-11,54
2020-12,29
2021-01,44
2021-02,60
2021-03,78
2021-04,63
2021-05,63
2021-06,51
2021-07,37
2021-08,34
2021-09,92
2021-10,76
2021-11,93
2021-12,59
2022-01,59
2022-02,79
2022-03,66
2022-04,73
2022-05,95
