Category: All categories

Month,gdp per capita: (United States)
2004-01,47
2004-02,43
2004-03,39
2004-04,56
2004-05,53
2004-06,28
2004-07,30
2004-08,22
2004-09,36
2004-10,39
2004-11,47
2004-12,37
2005-01,40
2005-02,42
2005-03,49
2005-04,45
2005-05,60
2005-06,29
2005-07,28
2005-08,25
2005-09,33
2005-10,47
2005-11,35
2005-12,39
2006-01,30
2006-02,52
2006-03,49
2006-04,52
2006-05,39
2006-06,25
2006-07,26
2006-08,17
2006-09,42
2006-10,36
2006-11,44
2006-12,36
2007-01,35
2007-02,43
2007-03,26
2007-04,38
2007-05,40
2007-06,25
2007-07,25
2007-08,26
2007-09,42
2007-10,48
2007-11,47
2007-12,42
2008-01,38
2008-02,45
2008-03,45
2008-04,48
2008-05,40
2008-06,27
2008-07,19
2008-08,28
2008-09,52
2008-10,53
2008-11,52
2008-12,38
2009-01,37
2009-02,51
2009-03,50
2009-04,58
2009-05,44
2009-06,25
2009-07,26
2009-08,26
2009-09,47
2009-10,57
2009-11,61
2009-12,45
2010-01,58
2010-02,66
2010-03,62
2010-04,61
2010-05,60
2010-06,34
2010-07,26
2010-08,32
2010-09,44
2010-10,60
2010-11,57
2010-12,40
2011-01,49
2011-02,69
2011-03,59
2011-04,58
2011-05,54
2011-06,37
2011-07,33
2011-08,34
2011-09,52
2011-10,53
2011-11,52
2011-12,44
2012-01,49
2012-02,63
2012-03,51
2012-04,58
2012-05,51
2012-06,34
2012-07,31
2012-08,32
2012-09,62
2012-10,62
2012-11,56
2012-12,42
2013-01,49
2013-02,65
2013-03,52
2013-04,62
2013-05,49
2013-06,33
2013-07,30
2013-08,25
2013-09,56
2013-10,63
2013-11,53
2013-12,46
2014-01,46
2014-02,70
2014-03,59
2014-04,64
2014-05,62
2014-06,35
2014-07,31
2014-08,33
2014-09,64
2014-10,66
2014-11,59
2014-12,50
2015-01,55
2015-02,70
2015-03,67
2015-04,65
2015-05,62
2015-06,43
2015-07,38
2015-08,36
2015-09,73
2015-10,77
2015-11,77
2015-12,61
2016-01,56
2016-02,83
2016-03,76
2016-04,79
2016-05,68
2016-06,43
2016-07,36
2016-08,37
2016-09,70
2016-10,77
2016-11,74
2016-12,67
2017-01,71
2017-02,91
2017-03,84
2017-04,84
2017-05,77
2017-06,45
2017-07,43
2017-08,38
2017-09,77
2017-10,86
2017-11,83
2017-12,67
2018-01,81
2018-02,97
2018-03,88
2018-04,92
2018-05,87
2018-06,53
2018-07,49
2018-08,50
2018-09,74
2018-10,89
2018-11,86
2018-12,72
2019-01,74
2019-02,100
2019-03,92
2019-04,94
2019-05,85
2019-06,47
2019-07,43
2019-08,51
2019-09,86
2019-10,96
2019-11,78
2019-12,66
2020-01,76
2020-02,98
2020-03,73
2020-04,78
2020-05,71
2020-06,51
2020-07,50
2020-08,51
2020-09,81
2020-10,81
2020-11,54
2020-12,51
2021-01,50
2021-02,67
2021-03,67
2021-04,64
2021-05,59
2021-06,44
2021-07,41
2021-08,42
2021-09,65
2021-10,67
2021-11,61
2021-12,51
2022-01,58
2022-02,87
2022-03,78
2022-04,69
2022-05,64
