Category: All categories

Month,gdp ppp per capita: (United States)
2004-01,94
2004-02,46
2004-03,0
2004-04,0
2004-05,41
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,78
2004-12,35
2005-01,0
2005-02,0
2005-03,27
2005-04,31
2005-05,28
2005-06,0
2005-07,0
2005-08,26
2005-09,24
2005-10,46
2005-11,0
2005-12,89
2006-01,0
2006-02,41
2006-03,18
2006-04,58
2006-05,18
2006-06,38
2006-07,56
2006-08,0
2006-09,69
2006-10,16
2006-11,31
2006-12,62
2007-01,27
2007-02,44
2007-03,26
2007-04,13
2007-05,36
2007-06,39
2007-07,49
2007-08,0
2007-09,35
2007-10,42
2007-11,63
2007-12,33
2008-01,38
2008-02,89
2008-03,38
2008-04,38
2008-05,38
2008-06,30
2008-07,19
2008-08,29
2008-09,35
2008-10,57
2008-11,27
2008-12,9
2009-01,33
2009-02,35
2009-03,24
2009-04,48
2009-05,16
2009-06,8
2009-07,32
2009-08,16
2009-09,46
2009-10,44
2009-11,83
2009-12,15
2010-01,42
2010-02,43
2010-03,60
2010-04,48
2010-05,58
2010-06,36
2010-07,50
2010-08,54
2010-09,58
2010-10,29
2010-11,78
2010-12,22
2011-01,22
2011-02,52
2011-03,51
2011-04,75
2011-05,34
2011-06,49
2011-07,9
2011-08,41
2011-09,32
2011-10,53
2011-11,54
2011-12,30
2012-01,49
2012-02,42
2012-03,41
2012-04,39
2012-05,57
2012-06,35
2012-07,31
2012-08,33
2012-09,40
2012-10,37
2012-11,35
2012-12,18
2013-01,26
2013-02,49
2013-03,36
2013-04,31
2013-05,46
2013-06,36
2013-07,29
2013-08,20
2013-09,59
2013-10,59
2013-11,42
2013-12,56
2014-01,45
2014-02,60
2014-03,44
2014-04,89
2014-05,63
2014-06,38
2014-07,22
2014-08,31
2014-09,59
2014-10,79
2014-11,45
2014-12,59
2015-01,71
2015-02,76
2015-03,52
2015-04,38
2015-05,52
2015-06,38
2015-07,55
2015-08,51
2015-09,59
2015-10,53
2015-11,61
2015-12,56
2016-01,42
2016-02,34
2016-03,61
2016-04,74
2016-05,40
2016-06,44
2016-07,34
2016-08,44
2016-09,52
2016-10,78
2016-11,68
2016-12,54
2017-01,66
2017-02,75
2017-03,58
2017-04,61
2017-05,73
2017-06,53
2017-07,59
2017-08,39
2017-09,91
2017-10,89
2017-11,71
2017-12,42
2018-01,74
2018-02,100
2018-03,86
2018-04,95
2018-05,67
2018-06,60
2018-07,59
2018-08,79
2018-09,86
2018-10,63
2018-11,80
2018-12,70
2019-01,71
2019-02,89
2019-03,94
2019-04,77
2019-05,83
2019-06,49
2019-07,39
2019-08,64
2019-09,88
2019-10,79
2019-11,78
2019-12,53
2020-01,69
2020-02,64
2020-03,59
2020-04,82
2020-05,45
2020-06,48
2020-07,47
2020-08,36
2020-09,73
2020-10,89
2020-11,53
2020-12,58
2021-01,43
2021-02,57
2021-03,41
2021-04,55
2021-05,67
2021-06,45
2021-07,34
2021-08,32
2021-09,74
2021-10,41
2021-11,36
2021-12,42
2022-01,49
2022-02,73
2022-03,72
2022-04,70
2022-05,47
